process_or_mode	sample_class	batch	campaigns	generated_events	reference_class	sigma_reference_pb	external_branching_factor	external_H_to_bb_power	effective_reference_factor_pb	additional_k_factor	filter_efficiency_multiplier	exact_generation_scope_embedded	external_Z_to_bb_factor_applied	decay_mode	process_denominator_sumw	process_denominator_sumw2	negative_weight_events	zero_weight_events	positive_weight_events	weight_convention_class	all_campaign_denominators_frozen	all_campaign_denominator_use_authorized	candidate_cross_campaign_process_aggregation_ready	global_ordinary_registry_frozen	cross_campaign_process_aggregation_authorized	integrated_luminosity_contract_frozen	preexisting_batch_process_binding	reference_frozen	physical_weight_application_authorized	physical_yield_calculation_authorized	source_reference_registry	source_process_denominator_binding
ttz_zbb	background	B	2	40000	generator_fiducial_LO_campaign_mean	0.08497805148363113	1	0	0.08497805148363113	1	1	True	False		3397.50699698925	288.57701513454737	0	0	40000	positive_generator_weights	True	True	True	True	True	False	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_batch_B_complete_mixed_reference_freeze_20260731_v1/batch_B_complete_reference_registry.tsv	docs/checkpoints/hh4b_physical_normalization_batch_B_complete_mixed_reference_freeze_20260731_v1/batch_B_process_denominator_binding.tsv
tw_antitop	background	B	2	70000	generator_fiducial_LO_campaign_mean	28.00627994537354	1	0	28.00627994537354	1	1	True	False		1961350.0022888184	54955693.98836484	0	0	70000	positive_generator_weights	True	True	True	True	True	False	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_batch_B_complete_mixed_reference_freeze_20260731_v1/batch_B_complete_reference_registry.tsv	docs/checkpoints/hh4b_physical_normalization_batch_B_complete_mixed_reference_freeze_20260731_v1/batch_B_process_denominator_binding.tsv
tw_top	background	B	2	70000	generator_fiducial_LO_campaign_mean	28.04204940795898	1	0	28.04204940795898	1	1	True	False		1962216.3009643555	55004200.81896729	0	0	70000	positive_generator_weights	True	True	True	True	True	False	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_batch_B_complete_mixed_reference_freeze_20260731_v1/batch_B_complete_reference_registry.tsv	docs/checkpoints/hh4b_physical_normalization_batch_B_complete_mixed_reference_freeze_20260731_v1/batch_B_process_denominator_binding.tsv
vbf_hbb	background	A	2	50000	generator_fiducial_LO_production_banner	2.7924382	0.5824	1	1.62631600768	1	1	False	False		139642.37689971924	390001.48041388567	0	0	50000	positive_generator_weights	True	True	True	True	True	False	False	True	False	False	docs/checkpoints/hh4b_physical_normalization_batch_A_complete_mixed_reference_freeze_20260731_v1/batch_A_complete_reference_registry.tsv	candidate aggregate from frozen PN-c5l campaign denominators; no Batch-A process-binding TSV exists
vbf_hh4b	signal	A	2	100000	generator_fiducial_LO_production_banner	0.001426874505	1	0	0.001426874505	1	1	False	False		142.44402525946498	0.20290463737587486	0	0	100000	positive_generator_weights	True	True	True	True	True	False	False	True	False	False	docs/checkpoints/hh4b_physical_normalization_batch_A_complete_mixed_reference_freeze_20260731_v1/batch_A_complete_reference_registry.tsv	candidate aggregate from frozen PN-c5l campaign denominators; no Batch-A process-binding TSV exists
wh_hbb	background	A	2	60000	authoritative_inclusive_13TeV	1.373	0.5824	1	0.7996352	1	1	False	False		54805.500507354736	50060.7652479583	0	0	60000	positive_generator_weights	True	True	True	True	True	False	False	True	False	False	docs/checkpoints/hh4b_physical_normalization_batch_A_complete_mixed_reference_freeze_20260731_v1/batch_A_complete_reference_registry.tsv	candidate aggregate from frozen PN-c5l campaign denominators; no Batch-A process-binding TSV exists
ww	background	C	2	40000	generator_fiducial_LO_campaign_mean	64.70650100708008	1	0	64.70650100708008	1	1	True	False	inclusive_WW_generation_scope	2587468.032836914	167374823.97736922	0	0	40000	positive_generator_weights	True	True	True	True	True	False	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_batch_C_complete_generator_fiducial_freeze_20260731_v1/batch_C_complete_reference_registry.tsv	docs/checkpoints/hh4b_physical_normalization_batch_C_complete_generator_fiducial_freeze_20260731_v1/batch_C_process_denominator_binding.tsv
wwz_zbb	background	C	2	26000	generator_fiducial_LO_campaign_mean	0.09537744522094727	1	0	0.09537744522094727	1	1	True	False	inclusive_unforced_Z_decay_sampling	2477.0847733467817	237.5680453885531	43	0	25957	signed_generator_weights	True	True	True	True	True	False	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_batch_C_complete_generator_fiducial_freeze_20260731_v1/batch_C_complete_reference_registry.tsv	docs/checkpoints/hh4b_physical_normalization_batch_C_complete_generator_fiducial_freeze_20260731_v1/batch_C_process_denominator_binding.tsv
wz_zbb	background	C	2	60000	generator_fiducial_LO_campaign_mean	3.559330105781555	1	0	3.559330105781555	1	1	True	False	forced_Z_to_bb_embedded_in_generation_scope	213782.60135650635	761720.3870392643	0	0	60000	positive_generator_weights	True	True	True	True	True	False	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_batch_C_complete_generator_fiducial_freeze_20260731_v1/batch_C_complete_reference_registry.tsv	docs/checkpoints/hh4b_physical_normalization_batch_C_complete_generator_fiducial_freeze_20260731_v1/batch_C_process_denominator_binding.tsv
wzz_zbb	background	C	2	16500	generator_fiducial_LO_campaign_mean	0.03051775554195046	1	0	0.03051775554195046	1	1	True	False	inclusive_unforced_Z_decay_sampling	502.87738835439086	15.43094142507427	28	0	16472	signed_generator_weights	True	True	True	True	True	False	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_batch_C_complete_generator_fiducial_freeze_20260731_v1/batch_C_complete_reference_registry.tsv	docs/checkpoints/hh4b_physical_normalization_batch_C_complete_generator_fiducial_freeze_20260731_v1/batch_C_process_denominator_binding.tsv
zbbbb	background	D	3	250000	generator_fiducial_LO_three_campaign_mean	6.909267425537109	1	0	6.909267425537109	1	1	True	False	forced_Z_to_bb_embedded_in_generation_scope	1727662.8112792969	11939371.721238172	0	0	250000	positive_generator_weights	True	True	True	True	True	False	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_batch_D_zbbbb_complete_generator_fiducial_freeze_20260731_v1/batch_D_complete_reference_registry.tsv	docs/checkpoints/hh4b_physical_normalization_batch_D_zbbbb_complete_generator_fiducial_freeze_20260731_v1/batch_D_process_denominator_binding.tsv
zzz_zbb	background	C	2	7500	generator_fiducial_LO_campaign_mean	0.01052282797172666	1	0	0.01052282797172666	1	1	True	False	inclusive_unforced_Z_decay_sampling	78.76503587514162	0.8343055928479527	16	0	7484	signed_generator_weights	True	True	True	True	True	False	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_batch_C_complete_generator_fiducial_freeze_20260731_v1/batch_C_complete_reference_registry.tsv	docs/checkpoints/hh4b_physical_normalization_batch_C_complete_generator_fiducial_freeze_20260731_v1/batch_C_process_denominator_binding.tsv
