k_lattice,n_events
818,10
820,8
822,16
824,10
826,17
828,16
830,15
832,14
834,13
836,12
838,13
840,16
842,10
844,10
846,16
848,11
850,9
852,9
854,9
856,12
858,7
860,6
862,15
864,10
866,11
868,8
870,7
872,10
874,13
876,5
878,10
880,6
882,10
884,10
886,6
888,6
890,14
892,9
894,8
896,5
898,8
900,12
902,7
904,10
906,9
908,16
910,15
912,9
914,11
916,15
918,11
920,5
922,7
924,6
926,9
928,12
930,7
932,8
934,9
936,11
938,13
940,9
942,4
944,7
946,12
948,7
950,17
952,12
954,7
956,13
958,9
960,9
962,10
964,12
966,7
968,10
970,3
972,3
974,6
976,15
978,8
980,16
982,12
984,6
986,12
988,9
990,11
992,11
994,10
996,10
998,8
1000,11
1002,8
1004,9
1006,10
1008,10
1010,15
1012,7
1014,6
1016,10
1018,6
1020,8
1022,12
1024,4
1026,11
1028,12
1030,10
1032,5
1034,10
1036,6
1038,11
1040,4
1042,9
1044,11
1046,9
1048,9
1050,11
1052,5
1054,14
1056,10
1058,12
1060,7
1062,4
1064,11
1066,7
1068,12
1070,13
1072,6
1074,7
1076,3
1078,4
1080,3
1082,12
1084,7
1086,4
1088,3
1090,12
1092,6
1094,6
1096,10
1098,3
1100,6
1102,6
1104,7
1106,5
1108,8
1110,8
1112,7
1114,5
1116,6
1118,13
1120,9
1122,4
1124,6
1126,14
1128,7
1130,9
1132,7
1134,10
1136,3
1138,13
1140,9
1142,10
1144,9
1146,6
1148,10
1150,7
1152,8
1154,13
1156,5
1158,5
1160,9
1162,6
1164,11
1166,7
1168,11
1170,4
1172,8
1174,8
1176,8
1178,12
1180,2
1182,7
1184,8
1186,9
1188,7
1190,6
1192,4
1194,12
1196,2
1198,9
1200,10
1202,4
1204,7
1206,6
1208,9
1210,10
1212,9
1214,7
1216,10
1218,8
1220,9
1222,4
1224,7
1226,8
1228,8
1230,8
1232,12
1234,6
1236,7
1238,9
1240,8
1242,3
1244,6
1246,7
1248,8
1250,10
1252,8
1254,4
1256,4
1258,8
1260,6
1262,10
1264,3
1266,2
1268,3
1270,4
1272,7
1274,7
1276,2
1278,9
1282,9
1284,4
1286,7
1288,6
1290,10
1292,14
1294,6
1296,6
1298,11
1300,3
1302,3
1304,6
1306,6
1308,9
1310,5
1312,4
1314,10
1316,9
1318,6
1320,4
1322,6
1324,2
1326,7
1328,8
1330,7
1332,4
1334,9
1336,7
1338,4
1340,13
1342,6
1344,7
1346,12
1348,6
1350,6
1352,10
1354,10
1356,2
1358,11
1360,10
1362,8
1364,4
1366,8
1368,6
1370,8
1372,5
1374,5
1376,6
1378,9
1380,10
1382,3
1384,3
1386,8
1388,7
1390,5
1392,6
1394,6
1396,3
1398,6
1400,11
1402,9
1404,7
1406,15
1408,4
1410,5
1412,5
1414,12
1416,7
1418,6
1420,4
1422,8
1424,5
1426,6
1428,7
1430,6
1432,2
1434,7
1436,7
1438,4
1440,7
1442,4
1444,4
1446,3
1448,3
1450,8
1452,10
1454,6
1456,6
1458,5
1460,7
1462,3
1464,8
1466,8
1468,5
1470,4
1472,11
1474,9
1476,6
1478,7
1480,7
1482,10
1484,1
1486,5
1488,3
1490,9
1492,5
1494,4
1496,4
1498,5
1500,3
1502,4
1504,7
1506,5
1508,6
1510,6
1512,9
1514,3
1516,2
1518,7
1520,7
1522,5
1524,2
1526,2
1528,9
1530,2
1532,4
1534,6
1536,3
1538,4
1540,4
1542,7
1544,3
1546,4
1548,8
1550,4
1552,6
1554,5
1556,4
1558,8
1560,4
1562,6
1564,8
1566,6
1568,5
1570,6
1572,4
1574,5
1576,6
1578,1
1580,3
1582,6
1584,3
1586,13
1588,4
1590,11
1592,4
1594,7
1596,6
1598,4
1600,3
1602,3
1604,6
1606,6
1608,4
1610,3
1612,3
1614,2
1616,9
1618,4
1620,9
1622,7
1624,6
1626,6
1628,2
1630,6
1632,4
1634,8
1636,10
1638,5
1640,4
1642,7
1644,6
1646,7
1648,4
1650,4
1652,11
1654,5
1656,4
1658,1
1660,7
1662,4
1664,4
1666,7
1668,4
1670,4
1672,5
1674,7
1676,4
1678,4
1680,4
1682,2
1684,2
1686,4
1688,5
1690,4
1692,2
1694,6
1696,4
1698,4
1700,5
1702,5
1704,1
1706,4
1708,2
1710,5
1712,2
1714,2
1716,4
1718,8
1720,5
1722,8
1724,3
1726,5
1728,4
1730,4
1732,2
1734,6
1736,1
1738,6
1740,4
1742,7
1744,6
1746,3
1748,2
1750,2
1752,5
1754,10
1756,3
1758,1
1760,2
1762,3
1764,8
1766,4
1768,3
1770,3
1772,2
1774,2
1776,2
1778,4
1780,4
1782,4
1784,5
1788,4
1790,5
1792,1
1794,3
1796,3
1798,8
1800,4
1802,5
1804,4
1806,3
1808,1
1810,3
1812,6
1814,2
1816,5
1818,3
1820,4
1822,4
1824,4
1826,1
1828,1
1830,5
1832,4
1834,4
1836,4
1838,3
1840,4
1842,2
1844,4
1846,2
1848,5
1850,5
1854,5
1856,2
1858,10
1860,3
1862,5
1864,2
1866,5
1868,2
1870,2
1872,3
1874,6
1876,6
1878,7
1880,2
1882,5
1884,2
1886,1
1888,4
1890,7
1892,5
1894,9
1896,6
1898,6
1900,6
1902,5
1904,3
1906,1
1908,4
1910,5
1912,4
1914,7
1916,1
1918,2
1920,3
1922,2
1924,2
1926,3
1928,6
1930,3
1932,6
1934,5
1936,4
1938,4
1940,5
1942,3
1944,4
1946,6
1948,6
1950,4
1952,2
1954,2
1956,2
1958,2
1960,6
1962,8
1964,1
1966,2
1968,3
1970,3
1972,3
1974,2
1976,2
1978,2
1980,2
1982,5
1984,2
1986,3
1988,7
1990,3
1992,3
1994,2
1996,5
1998,5
2000,4
2002,4
2004,1
2006,2
2008,3
2010,4
2012,6
2014,3
2016,4
2018,9
2020,5
2022,2
2024,4
2026,2
2028,5
2030,2
2032,1
2034,6
2036,3
2038,2
2040,2
2042,2
2044,2
2046,2
2048,2
2050,3
2052,7
2054,2
2056,2
2058,4
2060,6
2062,3
2064,3
2066,1
2068,5
2070,6
2072,4
2074,5
2076,2
2078,4
2080,1
2082,2
2084,2
2086,4
2088,4
2090,2
2092,2
2094,1
2096,4
2098,2
2100,2
2102,3
2104,5
2106,8
2108,4
2110,4
2112,3
2114,4
2116,8
2118,5
2120,3
2122,3
2124,1
2126,2
2128,1
2130,1
2132,1
2134,3
2136,3
2138,2
2140,3
2142,2
2144,4
2146,2
2148,1
2150,2
2152,3
2154,6
2156,3
2158,1
2160,2
2162,1
2164,4
2166,2
2168,1
2170,4
2172,5
2174,5
2176,4
2178,2
2180,1
2182,1
2184,4
2186,5
2188,4
2190,2
2192,3
2194,4
2196,4
2198,1
2200,2
2202,3
2204,9
2206,4
2208,1
2210,4
2212,2
2214,5
2216,1
2218,3
2222,3
2224,2
2226,3
2228,4
2230,3
2232,3
2234,2
2236,3
2238,5
2240,7
2242,2
2244,4
2246,3
2248,3
2250,3
2252,1
2254,5
2256,6
2258,1
2260,2
2262,2
2264,3
2266,1
2268,6
2270,2
2272,3
2274,1
2276,3
2280,5
2282,3
2284,3
2286,3
2288,4
2290,2
2292,1
2294,1
2296,2
2298,4
2300,4
2302,1
2304,2
2306,3
2308,3
2310,6
2312,3
2314,3
2316,4
2318,2
2322,2
2324,4
2326,1
2328,5
2330,3
2332,4
2334,5
2336,5
2338,2
2340,3
2342,2
2344,3
2346,1
2348,1
2350,2
2352,2
2354,1
2356,2
2358,1
2360,2
2362,5
2364,3
2366,4
2368,1
2372,5
2374,5
2376,3
2378,3
2380,1
2384,4
2388,5
2390,2
2394,3
2398,3
2402,5
2404,1
2406,5
2408,2
2410,4
2412,2
2414,3
2416,2
2418,5
2420,4
2422,2
2424,1
2428,2
2430,3
2432,2
2434,4
2436,4
2438,4
2440,2
2442,2
2444,3
2448,3
2450,1
2452,3
2454,5
2456,2
2458,4
2460,4
2462,3
2464,4
2466,1
2468,2
2470,4
2472,1
2474,5
2476,1
2478,1
2480,1
2484,4
2486,5
2488,2
2490,1
2492,4
2494,1
2496,3
2498,6
2500,2
2502,4
2504,3
2506,7
2508,4
2510,3
2512,2
2514,1
2516,2
2518,2
2520,2
2522,3
2524,3
2526,5
2528,1
2532,3
2534,1
2536,1
2538,2
2540,2
2542,3
2544,2
2546,2
2548,2
2550,1
2552,3
2554,3
2558,3
2560,5
2562,2
2564,2
2566,9
2568,4
2570,3
2574,2
2576,2
2578,5
2580,2
2582,1
2584,4
2588,8
2590,1
2592,4
2594,6
2596,3
2598,3
2600,4
2604,4
2606,2
2608,2
2610,2
2612,2
2614,1
2618,2
2620,3
2622,5
2624,3
2626,2
2628,3
2630,1
2632,2
2634,4
2638,8
2640,3
2642,2
2644,4
2646,5
2648,5
2650,3
2652,1
2654,1
2656,3
2658,2
2660,1
2662,2
2664,2
2668,3
2670,2
2672,4
2674,1
2676,6
2678,1
2680,2
2682,1
2684,2
2686,2
2690,1
2692,2
2694,3
2698,1
2700,3
2702,3
2704,2
2706,3
2708,1
2710,1
2712,1
2714,1
2718,4
2720,2
2722,2
2724,2
2726,4
2728,2
2732,2
2734,1
2736,5
2738,2
2740,3
2742,1
2746,2
2748,2
2750,4
2752,4
2754,1
2756,5
2758,1
2760,3
2762,2
2766,2
2768,1
2770,5
2772,3
2774,8
2776,3
2780,2
2782,1
2784,5
2786,1
2790,2
2792,2
2794,1
2796,2
2798,4
2800,1
2802,1
2804,2
2806,4
2808,1
2810,1
2814,5
2816,2
2818,6
2820,2
2822,2
2824,4
2826,3
2828,2
2830,3
2834,3
2838,2
2840,2
2842,2
2846,1
2850,3
2852,2
2854,2
2856,4
2858,2
2860,3
2862,2
2864,1
2868,1
2870,1
2872,1
2874,2
2876,1
2878,6
2880,2
2882,5
2884,2
2886,2
2890,1
2892,2
2894,2
2896,3
2897,1
2899,3
2903,1
2905,2
2907,3
2909,3
2911,2
2913,2
2915,2
2917,3
2921,5
2923,2
2925,3
2927,2
2929,1
2931,1
2933,4
2935,2
2937,2
2939,2
2941,6
2943,4
2945,2
2947,2
2949,1
2951,1
2953,5
2955,1
2957,2
2959,3
2963,5
2965,2
2967,1
2969,3
2973,3
2975,4
2977,2
2979,2
2981,1
2983,2
2985,3
2987,1
2991,3
2993,3
2995,3
2997,5
2999,7
3001,1
3007,1
3009,2
3011,2
3013,2
3015,3
3017,2
3019,5
3021,4
3025,3
3027,2
3029,2
3031,1
3033,3
3035,6
3037,1
3039,5
3041,2
3043,2
3045,5
3047,1
3049,3
3051,3
3053,4
3055,6
3057,3
3059,3
3061,1
3063,1
3065,2
3069,2
3071,3
3073,1
3075,2
3077,1
3079,2
3081,2
3085,2
3087,1
3089,3
3091,1
3093,6
3095,2
3097,1
3099,3
3101,1
3103,3
3105,1
3109,4
3111,1
3113,2
3115,5
3119,4
3121,3
3125,3
3127,1
3129,1
3133,3
3135,2
3137,4
3141,3
3143,1
3145,2
3147,1
3149,1
3151,3
3153,4
3155,1
3157,3
3159,3
3161,2
3163,1
3165,2
3167,3
3169,3
3171,1
3173,2
3175,1
3177,1
3179,8
3181,1
3183,4
3185,2
3187,3
3189,2
3191,1
3195,5
3197,1
3199,5
3201,6
3203,2
3205,1
3207,1
3209,1
3211,1
3213,7
3215,3
3219,4
3221,3
3223,2
3225,2
3229,3
3231,6
3233,3
3237,3
3239,3
3241,1
3243,1
3245,2
3247,6
3249,1
3251,1
3253,3
3255,2
3257,1
3259,4
3263,1
3265,2
3267,1
3269,3
3273,2
3275,1
3277,1
3279,2
3281,4
3283,2
3285,1
3287,2
3289,1
3291,5
3295,2
3297,3
3299,4
3301,5
3303,1
3307,2
3309,2
3311,1
3313,6
3315,3
3317,5
3319,1
3323,1
3325,2
3327,3
3329,4
3331,2
3333,3
3335,2
3337,1
3339,3
3341,1
3343,3
3347,1
3349,3
3351,2
3353,1
3355,1
3361,4
3365,2
3367,2
3369,5
3371,1
3375,2
3379,4
3383,6
3387,2
3389,2
3391,1
3393,2
3395,2
3397,3
3401,4
3403,1
3405,2
3407,2
3409,3
3411,2
3413,2
3415,1
3417,2
3419,1
3421,3
3423,2
3425,1
3427,1
3429,2
3431,2
3433,1
3435,1
3437,3
3439,1
3441,2
3443,2
3445,2
3447,1
3449,2
3451,7
3453,1
3455,2
3459,1
3463,3
3465,2
3467,1
3469,1
3471,1
3473,1
3475,2
3477,1
3481,2
3483,1
3485,1
3487,4
3489,2
3491,1
3493,2
3495,3
3497,3
3499,1
3501,2
3503,3
3505,5
3507,4
3509,2
3513,4
3517,1
3519,1
3521,1
3523,2
3525,1
3527,1
3529,2
3531,1
3533,1
3535,1
3537,2
3541,2
3543,4
3545,2
3547,1
3549,1
3553,2
3555,1
3557,1
3559,2
3561,3
3565,1
3567,3
3569,3
3571,3
3577,2
3579,2
3585,2
3587,1
3591,6
3593,1
3599,2
3601,1
3607,5
3609,2
3611,1
3613,3
3621,3
3623,2
3625,1
3627,2
3631,1
3633,2
3637,2
3639,1
3641,3
3643,4
3645,2
3647,2
3649,3
3653,3
3655,3
3657,1
3659,1
3661,3
3667,6
3669,1
3671,2
3673,1
3675,1
3677,1
3679,2
3681,2
3683,1
3685,1
3687,2
3689,4
3691,4
3693,1
3695,1
3697,1
3699,1
3701,1
3703,3
3705,1
3707,2
3709,3
3711,2
3713,1
3715,3
3721,3
3723,1
3725,2
3727,2
3729,2
3731,3
3733,3
3735,1
3739,1
3741,4
3743,2
3745,2
3747,2
3749,2
3753,3
3755,3
3757,1
3759,1
3761,2
3767,1
3771,2
3773,2
3775,1
3777,1
3779,5
3781,1
3783,1
3785,2
3787,1
3793,1
3795,2
3797,3
3799,2
3801,1
3803,2
3807,1
3809,3
3811,2
3813,1
3815,1
3817,4
3819,2
3823,1
3825,5
3827,1
3829,3
3831,1
3833,4
3835,1
3837,2
3839,1
3841,2
3845,4
3847,2
3851,1
3853,1
3855,3
3857,1
3859,1
3865,3
3869,4
3871,1
3873,2
3875,2
3877,2
3879,3
3881,3
3883,5
3885,1
3887,2
3889,2
3891,2
3893,2
3895,1
3897,1
3899,2
3901,3
3903,1
3905,1
3907,2
3909,2
3911,2
3913,1
3915,2
3917,3
3919,1
3921,1
3923,4
3925,1
3927,2
3929,1
3931,1
3933,1
3935,3
3939,1
3941,2
3945,1
3947,2
3949,3
3951,1
3953,1
3955,1
3959,3
3961,4
3963,3
3965,2
3967,2
3969,1
3971,1
3975,3
3977,2
3979,4
3981,1
3985,2
3987,1
3989,2
3991,3
3995,2
3999,1
4001,1
4003,3
4005,1
4007,2
4009,2
4011,2
4013,2
4015,2
4017,1
4019,1
4021,2
4023,1
4025,3
4027,3
4031,1
4039,2
4041,1
4043,1
4045,1
4047,3
4049,2
4053,2
4055,2
4057,1
4059,2
4065,3
4069,1
4071,2
4075,2
4079,3
4081,4
4083,2
4085,2
4087,1
4089,1
4091,1
4093,1
4095,3
4097,1
4103,2
4105,1
4107,5
4109,1
4111,4
4113,1
4115,1
4117,3
4119,2
4121,2
4123,3
4127,1
4129,3
4131,4
4133,4
4135,1
4137,5
4139,4
4141,2
4143,4
4145,2
4147,1
4149,2
4153,3
4157,1
4159,2
4163,2
4165,2
4167,1
4169,2
4171,1
4175,3
4177,2
4179,2
4181,1
4183,2
4185,3
4187,3
4191,2
4197,1
4199,2
4201,1
4203,1
4207,1
4209,2
4211,2
4213,1
4217,1
4219,2
4221,1
4225,3
4227,1
4231,1
4233,3
4235,1
4237,1
4239,5
4243,1
4247,3
4249,3
4251,1
4253,3
4255,2
4257,1
4259,2
4261,3
4263,5
4265,3
4267,2
4269,4
4271,2
4273,2
4275,2
4277,2
4281,1
4285,1
4287,1
4289,1
4291,1
4293,1
4295,2
4297,2
4299,2
4301,1
4303,2
4307,1
4309,3
4311,3
4313,2
4315,3
4319,5
4321,2
4325,1
4327,1
4329,1
4331,1
4335,1
4337,2
4339,1
4343,2
4345,2
4347,1
4351,2
4357,4
4361,1
4363,5
4369,2
4371,3
4373,3
4375,1
4377,1
4381,1
4383,1
4385,1
4387,3
4389,1
4393,3
4397,2
4401,4
4403,2
4405,3
4407,1
4409,1
4411,5
4413,1
4415,2
4417,1
4425,1
4427,3
4431,4
4433,1
4437,1
4439,1
4441,1
4443,1
4445,1
4451,3
4453,2
4455,1
4457,3
4461,2
4463,3
4465,1
4467,1
4469,1
4471,3
4475,1
4477,3
4479,2
4481,3
4483,1
4485,1
4487,2
4489,1
4491,1
4493,2
4495,2
4499,1
4501,2
4503,1
4505,2
4507,1
4511,1
4513,1
4515,1
4517,3
4519,1
4521,1
4527,2
4529,1
4531,1
4533,2
4537,2
4539,1
4543,2
4545,4
4547,2
4549,1
4551,1
4555,1
4557,2
4561,1
4565,1
4567,2
4569,2
4571,1
4573,2
4575,2
4577,1
4581,1
4583,3
4587,3
4589,1
4591,1
4595,4
4597,1
4599,3
4601,5
4603,4
4607,1
4609,2
4611,2
4613,2
4617,4
4621,3
4623,2
4625,2
4627,1
4629,1
4631,2
4633,2
4637,2
4639,2
4641,3
4643,1
4645,2
4647,2
4649,1
4651,1
4653,1
4655,1
4659,1
4661,2
4663,1
4665,3
4667,1
4669,1
4671,3
4673,2
4675,1
4677,1
4679,3
4681,1
4683,3
4685,1
4687,3
4689,1
4691,1
4697,1
4699,3
4701,2
4705,1
4707,2
4709,2
4713,2
4715,1
4717,4
4719,3
4721,2
4723,1
4725,1
4729,2
4731,1
4739,1
4741,1
4743,2
4745,2
4751,1
4753,1
4757,3
4759,2
4761,1
4765,2
4767,2
4769,1
4771,1
4773,1
4775,3
4777,1
4781,1
4783,2
4785,2
4787,1
4791,1
4793,3
4795,1
4799,1
4801,1
4803,1
4805,3
4813,1
4817,1
4819,2
4821,2
4825,2
4827,1
4829,4
4831,3
4835,2
4839,1
4843,1
4845,3
4847,1
4849,1
4853,5
4859,1
4863,1
4865,2
4869,1
4873,1
4877,1
4881,2
4883,2
4885,2
4887,1
4889,2
4891,1
4893,1
4895,2
4897,1
4899,2
4903,2
4905,3
4909,1
4911,2
4915,2
4919,1
4921,2
4923,1
4927,1
4929,1
4937,2
4939,2
4943,1
4945,1
4947,5
4949,2
4951,1
4953,3
4955,1
4957,2
4959,2
4961,1
4965,2
4969,3
4971,7
4973,1
4977,3
4981,1
4983,2
4985,3
4987,3
4989,1
4991,2
4997,2
4999,3
5001,3
5005,2
5009,1
5011,1
5013,3
5015,3
5016,1
5018,3
5022,1
5026,2
5032,3
5038,2
5040,1
5042,3
5046,3
5048,2
5050,1
5052,2
5054,1
5058,2
5060,3
5062,3
5064,2
5066,3
5068,1
5070,2
5072,2
5074,1
5076,2
5078,1
5080,1
5082,3
5084,1
5086,4
5090,1
5092,2
5094,2
5100,2
5102,2
5104,2
5108,2
5112,2
5114,3
5116,3
5118,2
5120,2
5122,2
5124,2
5126,1
5128,2
5130,1
5134,2
5136,1
5138,3
5140,3
5144,2
5150,1
5152,3
5154,2
5156,3
5158,2
5160,2
5166,2
5170,3
5172,1
5174,1
5176,1
5178,2
5180,1
5182,1
5184,1
5186,3
5188,2
5190,1
5192,1
5194,2
5196,1
5200,2
5202,1
5204,1
5208,1
5212,2
5214,2
5216,2
5218,1
5220,2
5222,2
5224,4
5226,2
5228,3
5234,3
5236,2
5238,1
5244,2
5246,2
5248,4
5250,1
5252,1
5254,4
5256,1
5260,1
5262,1
5264,2
5266,2
5268,2
5270,2
5272,4
5276,2
5278,1
5280,2
5282,1
5284,3
5286,1
5288,2
5290,1
5292,1
5294,1
5296,2
5298,2
5300,2
5302,2
5304,2
