representative_index	member_index	sample_class	process_or_mode	dataset_split	candidate_rows	zero_row_4b_candidate_file	resolution_method	layout_rule	bundle_campaign	schema_stratum_key	representative_selection_reasons	remote_bundle_path	root_container_member	root_archive_member	root_basename	archive_depth
11	235	background	qcd_hardqcd	train	0	True	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""qcd_hardqcd_importance_adaptive500k_phys_20260717_0022"",""qcd_hardqcd""]"	"[""primary_schema_stratum"",""zero_row_background_campaign_coverage""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1819_seed1201819_bundle.tar.gz		root/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1819_seed1201819_delphes.root	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1819_seed1201819_delphes.root	1
12	278	background	qcd_hardqcd	train	0	True	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717"",""qcd_hardqcd""]"	"[""primary_schema_stratum"",""zero_row_background_campaign_coverage""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin00_pthat50to75_shard9773_seed1209773_bundle.tar.gz		root/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin00_pthat50to75_shard9773_seed1209773_delphes.root	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin00_pthat50to75_shard9773_seed1209773_delphes.root	1
13	365	background	schannel_single_top	train	8	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	unified_background_5m_single_top_pilot50k_20260722_v1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""unified_background_5m_single_top_pilot50k_20260722_v1"",""schannel_single_top""]"	"[""background_process_coverage"",""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/schannel_single_top_run2_frozen_v2_single_top_pilot_shard4203_10kevt_bundle.tar.gz		root/schannel_single_top_run2_frozen_v2_single_top_pilot_shard4203_10kevt_delphes.root	schannel_single_top_run2_frozen_v2_single_top_pilot_shard4203_10kevt_delphes.root	1
14	366	background	schannel_single_top	train	4	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	unified_background_5m_single_top_scaleout280k_20260722_v1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""unified_background_5m_single_top_scaleout280k_20260722_v1"",""schannel_single_top""]"	"[""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/schannel_single_top_run2_frozen_v2_single_top_scaleout_shard4315_10kevt_bundle.tar.gz		root/schannel_single_top_run2_frozen_v2_single_top_scaleout_shard4315_10kevt_delphes.root	schannel_single_top_run2_frozen_v2_single_top_scaleout_shard4315_10kevt_delphes.root	1
15	368	background	tchannel_antitop	train	8	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	unified_background_5m_single_top_pilot50k_20260722_v1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""unified_background_5m_single_top_pilot50k_20260722_v1"",""tchannel_antitop""]"	"[""background_process_coverage"",""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/tchannel_antitop_run2_frozen_v2_single_top_pilot_shard4202_10kevt_bundle.tar.gz		root/tchannel_antitop_run2_frozen_v2_single_top_pilot_shard4202_10kevt_delphes.root	tchannel_antitop_run2_frozen_v2_single_top_pilot_shard4202_10kevt_delphes.root	1
16	369	background	tchannel_antitop	train	1	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	unified_background_5m_single_top_scaleout280k_20260722_v1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""unified_background_5m_single_top_scaleout280k_20260722_v1"",""tchannel_antitop""]"	"[""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/tchannel_antitop_run2_frozen_v2_single_top_scaleout_shard4308_10kevt_bundle.tar.gz		root/tchannel_antitop_run2_frozen_v2_single_top_scaleout_shard4308_10kevt_delphes.root	tchannel_antitop_run2_frozen_v2_single_top_scaleout_shard4308_10kevt_delphes.root	1
17	376	background	tchannel_top	train	7	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	unified_background_5m_single_top_pilot50k_20260722_v1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""unified_background_5m_single_top_pilot50k_20260722_v1"",""tchannel_top""]"	"[""background_process_coverage"",""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/tchannel_top_run2_frozen_v2_single_top_pilot_shard4201_10kevt_bundle.tar.gz		root/tchannel_top_run2_frozen_v2_single_top_pilot_shard4201_10kevt_delphes.root	tchannel_top_run2_frozen_v2_single_top_pilot_shard4201_10kevt_delphes.root	1
18	377	background	tchannel_top	train	7	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	unified_background_5m_single_top_scaleout280k_20260722_v1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""unified_background_5m_single_top_scaleout280k_20260722_v1"",""tchannel_top""]"	"[""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/tchannel_top_run2_frozen_v2_single_top_scaleout_shard4301_10kevt_bundle.tar.gz		root/tchannel_top_run2_frozen_v2_single_top_scaleout_shard4301_10kevt_delphes.root	tchannel_top_run2_frozen_v2_single_top_scaleout_shard4301_10kevt_delphes.root	1
19	380	background	tchannel_top	train	0	True	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	unified_background_5m_single_top_scaleout280k_20260722_v1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""unified_background_5m_single_top_scaleout280k_20260722_v1"",""tchannel_top""]"	"[""zero_row_background_campaign_coverage""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/tchannel_top_run2_frozen_v2_single_top_scaleout_shard4304_10kevt_bundle.tar.gz		root/tchannel_top_run2_frozen_v2_single_top_scaleout_shard4304_10kevt_delphes.root	tchannel_top_run2_frozen_v2_single_top_scaleout_shard4304_10kevt_delphes.root	1
20	384	background	tw_antitop	train	18	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	unified_background_5m_single_top_pilot50k_20260722_v1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""unified_background_5m_single_top_pilot50k_20260722_v1"",""tw_antitop""]"	"[""background_process_coverage"",""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/tw_antitop_run2_frozen_v2_single_top_pilot_shard4205_10kevt_bundle.tar.gz		root/tw_antitop_run2_frozen_v2_single_top_pilot_shard4205_10kevt_delphes.root	tw_antitop_run2_frozen_v2_single_top_pilot_shard4205_10kevt_delphes.root	1
21	385	background	tw_antitop	train	17	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	unified_background_5m_single_top_scaleout280k_20260722_v1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""unified_background_5m_single_top_scaleout280k_20260722_v1"",""tw_antitop""]"	"[""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/tw_antitop_run2_frozen_v2_single_top_scaleout_shard4323_10kevt_bundle.tar.gz		root/tw_antitop_run2_frozen_v2_single_top_scaleout_shard4323_10kevt_delphes.root	tw_antitop_run2_frozen_v2_single_top_scaleout_shard4323_10kevt_delphes.root	1
22	391	background	tw_top	train	9	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	unified_background_5m_single_top_scaleout280k_20260722_v1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""unified_background_5m_single_top_scaleout280k_20260722_v1"",""tw_top""]"	"[""background_process_coverage"",""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/tw_top_run2_frozen_v2_single_top_scaleout_shard4317_10kevt_bundle.tar.gz		root/tw_top_run2_frozen_v2_single_top_scaleout_shard4317_10kevt_delphes.root	tw_top_run2_frozen_v2_single_top_scaleout_shard4317_10kevt_delphes.root	1
23	396	background	tw_top	validation	19	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	unified_background_5m_single_top_pilot50k_20260722_v1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""unified_background_5m_single_top_pilot50k_20260722_v1"",""tw_top""]"	"[""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/tw_top_run2_frozen_v2_single_top_pilot_shard4204_10kevt_bundle.tar.gz		root/tw_top_run2_frozen_v2_single_top_pilot_shard4204_10kevt_delphes.root	tw_top_run2_frozen_v2_single_top_pilot_shard4204_10kevt_delphes.root	1
24	398	background	wwz_zbb	train	9	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	final_background_triboson_zbb_scaleout40k_20260722_v1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""final_background_triboson_zbb_scaleout40k_20260722_v1"",""wwz_zbb""]"	"[""background_process_coverage"",""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wwz_zbb_run2_frozen_v2_train_shard9901_5200_bundle.tar.gz		root/wwz_zbb_run2_frozen_v2_train_shard9901_5200_delphes.root	wwz_zbb_run2_frozen_v2_train_shard9901_5200_delphes.root	1
25	402	background	wwz_zbb	validation	14	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	final_background_triboson_zbb_pilot10k_20260722_v1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""final_background_triboson_zbb_pilot10k_20260722_v1"",""wwz_zbb""]"	"[""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_pilot10k_20260722_v1/wwz_zbb_run2_frozen_v2_pilot_validation_shard9601_5200_bundle.tar.gz		root/wwz_zbb_run2_frozen_v2_pilot_validation_shard9601_5200_delphes.root	wwz_zbb_run2_frozen_v2_pilot_validation_shard9601_5200_delphes.root	1
26	403	background	wzz_zbb	train	9	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	final_background_triboson_zbb_scaleout40k_20260722_v1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""final_background_triboson_zbb_scaleout40k_20260722_v1"",""wzz_zbb""]"	"[""background_process_coverage"",""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wzz_zbb_run2_frozen_v2_train_shard9911_3300_bundle.tar.gz		root/wzz_zbb_run2_frozen_v2_train_shard9911_3300_delphes.root	wzz_zbb_run2_frozen_v2_train_shard9911_3300_delphes.root	1
27	407	background	wzz_zbb	validation	13	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	final_background_triboson_zbb_pilot10k_20260722_v1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""final_background_triboson_zbb_pilot10k_20260722_v1"",""wzz_zbb""]"	"[""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_pilot10k_20260722_v1/wzz_zbb_run2_frozen_v2_pilot_validation_shard9602_3300_bundle.tar.gz		root/wzz_zbb_run2_frozen_v2_pilot_validation_shard9602_3300_delphes.root	wzz_zbb_run2_frozen_v2_pilot_validation_shard9602_3300_delphes.root	1
28	408	background	zzz_zbb	train	12	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	final_background_triboson_zbb_scaleout40k_20260722_v1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""final_background_triboson_zbb_scaleout40k_20260722_v1"",""zzz_zbb""]"	"[""background_process_coverage"",""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/zzz_zbb_run2_frozen_v2_train_shard9921_1500_bundle.tar.gz		root/zzz_zbb_run2_frozen_v2_train_shard9921_1500_delphes.root	zzz_zbb_run2_frozen_v2_train_shard9921_1500_delphes.root	1
29	412	background	zzz_zbb	validation	15	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	final_background_triboson_zbb_pilot10k_20260722_v1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""final_background_triboson_zbb_pilot10k_20260722_v1"",""zzz_zbb""]"	"[""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_pilot10k_20260722_v1/zzz_zbb_run2_frozen_v2_pilot_validation_shard9603_1500_bundle.tar.gz		root/zzz_zbb_run2_frozen_v2_pilot_validation_shard9603_1500_delphes.root	zzz_zbb_run2_frozen_v2_pilot_validation_shard9603_1500_delphes.root	1
30	413	background	qcd_bbbb_general	train	334	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	unified_background_5m_wavea_pilots_20260720_retry1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""unified_background_5m_wavea_pilots_20260720_retry1"",""qcd_bbbb_general""]"	"[""background_process_coverage"",""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_pilots_20260720_retry1/qcd_bbbb_general_run2_frozen_v2_unified5m_pilot_shard000_10k_bundle.tar.gz		root/qcd_bbbb_general_run2_frozen_v2_unified5m_pilot_shard000_10k_delphes.root	qcd_bbbb_general_run2_frozen_v2_unified5m_pilot_shard000_10k_delphes.root	1
31	414	background	qcd_bbbb_general	train	382	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	unified_background_5m_wavea_proven111_20260720_v1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""unified_background_5m_wavea_proven111_20260720_v1"",""qcd_bbbb_general""]"	"[""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_bundle.tar.gz		root/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_delphes.root	qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_delphes.root	1
32	428	background	qcd_bbbb_iht400to600	train	1481	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	unified_background_5m_wavea_pilots_20260720_retry1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""unified_background_5m_wavea_pilots_20260720_retry1"",""qcd_bbbb_iht400to600""]"	"[""background_process_coverage"",""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_pilots_20260720_retry1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_pilot_shard000_10k_bundle.tar.gz		root/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_pilot_shard000_10k_delphes.root	qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_pilot_shard000_10k_delphes.root	1
33	429	background	qcd_bbbb_iht400to600	train	1490	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	unified_background_5m_wavea_proven111_20260720_v1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""unified_background_5m_wavea_proven111_20260720_v1"",""qcd_bbbb_iht400to600""]"	"[""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard001_10k_bundle.tar.gz		root/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard001_10k_delphes.root	qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard001_10k_delphes.root	1
34	443	background	ttbar_inclusive	train	36	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	unified_background_5m_wavea_pilots_20260720_retry1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""unified_background_5m_wavea_pilots_20260720_retry1"",""ttbar_inclusive""]"	"[""background_process_coverage"",""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_pilots_20260720_retry1/ttbar_inclusive_run2_frozen_v2_unified5m_pilot_shard000_10k_bundle.tar.gz		root/ttbar_inclusive_run2_frozen_v2_unified5m_pilot_shard000_10k_delphes.root	ttbar_inclusive_run2_frozen_v2_unified5m_pilot_shard000_10k_delphes.root	1
35	444	background	ttbar_inclusive	train	41	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	unified_background_5m_wavea_proven111_20260720_v1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""unified_background_5m_wavea_proven111_20260720_v1"",""ttbar_inclusive""]"	"[""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard001_10k_bundle.tar.gz		root/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard001_10k_delphes.root	ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard001_10k_delphes.root	1
