sample_class	process_or_mode	btag_bin	rows	yield	sumw2	negative_rows	neff
background	ttbar_inclusive	1	228878	25824798.356059853	2913871199.5106587	0	228877.72467195906
background	ttbar_inclusive	2	181559	20485595.32925296	2311425602.6391153	0	181558.78152199928
background	ttbar_inclusive	3	31539	3558611.7913614386	401526150.40436995	0	31538.961706138587
background	ttbar_inclusive	ge4	2745	309716.845874078	34945223.070018396	0	2744.996774694702
background	tth_hbb	0	675	688.8496624700447	702.9838832598876	0	674.9996248629079
background	tth_hbb	1	3401	3470.7634925832826	3541.9599870950005	0	3400.9981098992603
background	tth_hbb	2	6463	6595.60903766517	6730.942713036506	0	6462.9964081369435
background	tth_hbb	3	5450	5561.862705372565	5676.024576723797	0	5449.996971519374
background	tth_hbb	ge4	2411	2460.441119068281	2510.8974965958773	0	2410.9986602835475
background	tttt	0	877	30.706313449223497	1.0751235228316174	0	876.9947504809961
background	tttt	1	4674	163.66723001848027	5.7310914618320625	0	4673.972202383788
background	tttt	2	9403	329.26177438281644	11.52972078063719	0	9402.943760076838
background	tttt	3	9050	316.9212040052375	11.09830361011961	0	9049.946106767835
background	tttt	ge4	5803	203.22658991368922	7.117231043196236	0	5802.965591152028
background	ttw	0	4831	3933.809718931828	3203.265221622913	0	4830.963980223365
background	ttw	1	13425	10931.77183952621	8901.640631138416	0	13424.90002724084
background	ttw	2	10920	8892.805967143777	7241.995911815823	0	10919.917510618881
background	ttw	3	2136	1739.2914845936634	1416.2724613648945	0	2135.9836831570087
background	ttw	ge4	232	188.89279208670067	153.79633102960966	0	231.998297120886
background	ttz_zbb	0	1051	308.206283029567	90.3819047152746	0	1050.9970242179238
background	ttz_zbb	1	5446	1597.0660309348777	468.34870792515943	0	5445.9847203713525
background	ttz_zbb	2	9734	2854.454304983507	837.0590316697147	0	9733.9722420603
background	ttz_zbb	3	7791	2284.682304445616	669.9766507642117	0	7790.977829291473
background	ttz_zbb	ge4	3169	929.3444367817251	272.54133374114554	0	3168.991177673803
background	tw_antitop	0	4858	268352.52686869714	14823626.160142234	0	4857.993442282266
background	tw_antitop	1	9442	521567.19157758733	28810919.51625332	0	9441.987270717551
background	tw_antitop	2	3838	212011.53146288148	11711555.641731875	0	3837.9947846611994
background	tw_antitop	3	533	29442.454847267996	1626377.6634853361	0	532.9992946261528
background	tw_antitop	ge4	64	3534.9432617946286	195247.50077313514	0	63.99991710330049
background	tw_top	0	6064	335197.3031492534	18528573.888811402	0	6063.997839919031
background	tw_top	1	11533	637504.0807288779	35239018.602328196	0	11532.995783234457
background	tw_top	2	4841	267593.5786317508	14791644.125958113	0	4840.998249767503
background	tw_top	3	725	40075.48282812649	2215234.3915964924	0	724.9997246341075
background	tw_top	ge4	47	2597.7894024815955	143585.36188790304	0	46.999984475536166
background	vbf_hbb	0	1067	4794.785605171521	21546.392261507797	0	1066.998536020861
background	vbf_hbb	1	3312	14883.26952383945	66881.64476102087	0	3311.995578319672
background	vbf_hbb	2	2693	12101.503562216976	54380.4627977753	0	2692.996361780527
