selection_id	evaluation_role	scope	outer_fold	sqrt_s_tev	luminosity_fb_inverse	luminosity_pb_inverse_internal	yield_interpretation	signal_total_rows	signal_selected_rows	signal_negative_weight_rows	signal_selected_negative_weight_rows	signal_total_signed_yield	signal_selected_signed_yield	signal_total_sumw2	signal_selected_sumw2	signal_physical_efficiency	signal_raw_efficiency	signal_total_effective_events	signal_selected_effective_events	signal_finite_mc_relative_uncertainty	background_total_rows	background_selected_rows	background_negative_weight_rows	background_selected_negative_weight_rows	background_total_signed_yield	background_selected_signed_yield	background_total_sumw2	background_selected_sumw2	background_physical_efficiency	background_raw_efficiency	background_total_effective_events	background_selected_effective_events	background_finite_mc_relative_uncertainty	background_rejection	signal_over_background	asimov_significance_stat_only	systematics_included	official_cms_result	validation_payloads_opened	test_payloads_opened
nested_outer_oof	primary_train_only_generalization_estimate_pooled_nested_outer_oof	ge4tag	3	13.0	138.0	138000.0	Run-2 expected-yield projection	1846	1085	0	0	19.07042212629741	11.427312261759754	0.2598989151566783	0.15633362568608525	0.5992165346986165	0.5877573131094258	1399.3171147172013	835.2871300379982	0.03460047851761084	4266	1201	0	0	1177423.6803655247	26574.67048087739	421781937990.89905	2883043.2691537803	0.02257018516276777	0.2815283638068448	3.286832361027775	244.954045165788	0.06389364907091341	44.30623819824128	0.00043000767478876636	0.07009370726157434	False	False	0	0
nested_outer_oof	primary_train_only_generalization_estimate_pooled_nested_outer_oof	combined	3	13.0	138.0	138000.0	Run-2 expected-yield projection	7279	4326	0	0	72.61835728485258	44.850522991294994	0.9825863704481202	0.6116929532720671	0.6176196304656748	0.5943124055502129	5366.882722325461	3288.528013658481	0.017438102540747933	20376	9106	0	0	31667185.836527392	8312155.2923291605	19666170679590.688	4001187471401.263	0.2624848110987265	0.4468983117393011	50.99165847502106	17.267855129916935	0.24064719383514424	3.8097442507782944	5.395775393258728e-06	0.015556442815405221	False	False	0	0
nested_outer_oof	primary_train_only_generalization_estimate_pooled_nested_outer_oof	exact3tag	4	13.0	138.0	138000.0	Run-2 expected-yield projection	5373	3222	0	0	53.94901064475096	33.266233554970945	0.7310634470459894	0.45334844160740156	0.6166236073173962	0.5996649916247906	3981.1807871230644	2441.0413566442207	0.020240089626719533	16301	8443	1	1	38306802.77669568	10389988.529338803	19147972283519.348	5536489048791.838	0.2712308983317097	0.5179436844365376	76.63532813005273	19.498252536659304	0.22646555424225978	3.686895579194008	3.2017584486291956e-06	0.01032038422991165	False	False	0	0
nested_outer_oof	primary_train_only_generalization_estimate_pooled_nested_outer_oof	ge4tag	4	13.0	138.0	138000.0	Run-2 expected-yield projection	1837	1124	0	0	17.85190249837576	11.182622648136928	0.24023361511106864	0.15124700770143887	0.626410694835151	0.6118671747414263	1326.5854683332834	826.8001542052015	0.03477760940575353	4241	1410	0	0	4765398.716250088	1373584.3692412723	2340661741884.6685	744935608328.342	0.28824122618687226	0.33246875736854514	9.701967831777775	2.5327477950179236	0.6283534834183145	3.4693163543221988	8.141198239110627e-06	0.009541472672093364	False	False	0	0
nested_outer_oof	primary_train_only_generalization_estimate_pooled_nested_outer_oof	combined	4	13.0	138.0	138000.0	Run-2 expected-yield projection	7210	4346	0	0	71.80091314312672	44.44885620310787	0.971297062157058	0.6045954493088405	0.6190569765387841	0.6027739251040222	5307.7182347672	3267.8062992752207	0.017493304152318916	20542	9853	1	1	43072201.492945775	11763572.898580076	21488634025404.016	6281424657120.18	0.2731128776992436	0.4796514458183234	86.33468927134561	22.030296452469265	0.21305406722581102	3.661489741619641	3.77851666209958e-06	0.012959572995668708	False	False	0	0
nested_outer_oof	primary_train_only_generalization_estimate_pooled_nested_outer_oof	exact3tag	pooled	13.0	138.0	138000.0	Run-2 expected-yield projection	27676	16201	0	0	233.62584936620615	143.16240598737429	3.040840964608016	1.88489309834692	0.6127849566978724	0.5853808353808354	17949.323271865713	10873.547420842393	0.009589906515386822	81002	40426	2	1	166275898.12377232	48637480.35308288	144409476709488.1	38899645674347.49	0.2925107060127148	0.4990740969358781	191.45332374887406	60.813008809911324	0.12823357627218193	3.4186782891855323	2.943458521043637e-06	0.020527839398965603	False	False	0	0
nested_outer_oof	primary_train_only_generalization_estimate_pooled_nested_outer_oof	ge4tag	pooled	13.0	138.0	138000.0	Run-2 expected-yield projection	9337	5483	0	0	79.2373685205979	47.8081705453805	1.0327529105067936	0.6273897571096627	0.6033538397095138	0.5872335868051837	6079.441177258959	3643.064211672616	0.01656786651946851	21368	6379	0	0	9211825.27867382	1470751.5038337412	6800874306537.926	744954234390.6675	0.15965907508457192	0.29853051291651067	12.477472915980407	2.9036817111302398	0.5868478197159438	6.2633458165174565	3.250594707587319e-05	0.03942122554154197	False	False	0	0
nested_outer_oof	primary_train_only_generalization_estimate_pooled_nested_outer_oof	combined	pooled	13.0	138.0	138000.0	Run-2 expected-yield projection	37013	21684	0	0	312.8632178868041	190.97057653275482	4.073593875114809	2.5122828554565824	0.610396382875053	0.5858482154918542	24028.755960294922	14516.582407128974	0.008299803454569037	102370	46805	2	1	175487723.40244615	50108231.856916614	151210351016026.0	39644599908738.16	0.28553696455451394	0.457214027547133	203.66291631522995	63.33359160154102	0.12565591628044132	3.5021735331541732	3.8111617483943304e-06	0.026978117645712747	False	False	0	0
historical_rhh125125_lt34	fixed_historical_comparator_on_category_matched_train_universe	exact3tag	0	13.0	138.0	138000.0	Run-2 expected-yield projection	5405	3057	0	0	54.1614917640692	31.95911636567136	0.7335798599699261	0.43663529162987363	0.590070829379797	0.5655874190564293	3998.8382317769688	2339.2179662388107	0.020675911023765807	16005	7409	1	0	29804053.907410175	10517665.865557712	23107202262838.92	7891540386384.149	0.3528938008980955	0.46291783817557014	38.44176457244022	14.017706283348792	0.2670923947957295	2.833713704958983	3.038613013019186e-06	0.009854506000357753	False	False	0	0
historical_rhh125125_lt34	fixed_historical_comparator_on_category_matched_train_universe	ge4tag	0	13.0	138.0	138000.0	Run-2 expected-yield projection	1834	1067	0	0	18.47947620006338	10.933770295961356	0.2505953254362041	0.14877318399774886	0.5916710072076532	0.5817884405670665	1362.7191171035824	803.5543077888001	0.03527705995362975	4361	1191	0	0	525078.5564721678	19215.618370020595	205862359562.0135	6216906.52783283	0.036595701982431145	0.273102499426737	1.3392807264692899	59.392880959236074	0.1297575999303098	27.32561327775813	0.0005690043424790205	0.07886813754311894	False	False	0	0
historical_rhh125125_lt34	fixed_historical_comparator_on_category_matched_train_universe	combined	0	13.0	138.0	138000.0	Run-2 expected-yield projection	7239	4124	0	0	72.64096796413259	42.892886661632716	0.9841751854061302	0.5854084756276225	0.5904779061150677	0.5696919464014366	5361.555854091816	3142.762366389043	0.017837920663840802	20366	8600	1	0	30329132.463882342	10536881.483927732	23313064622400.934	7891546603290.678	0.3474178332161545	0.4222724148089954	39.456686236259785	14.068962269074438	0.2666054158916469	2.8783784376947215	4.07073826606655e-06	0.013213836617372887	False	False	0	0
historical_rhh125125_lt34	fixed_historical_comparator_on_category_matched_train_universe	exact3tag	1	13.0	138.0	138000.0	Run-2 expected-yield projection	5750	3130	0	0	36.06719549015676	21.031385480248815	0.42762423067765104	0.25569363056552874	0.5831167406955323	0.5443478260869565	3042.0226385762903	1729.8795212087377	0.024043189051193795	15827	7199	0	0	55881415.580051094	16901499.42233243	78465452673582.3	22639496270985.613	0.3024529576943293	0.4548556264611108	39.79754784849074	12.61780206166518	0.28151928115278946	3.3062992923700842	1.2443502765476211e-06	0.005115701270960602	False	False	0	0
historical_rhh125125_lt34	fixed_historical_comparator_on_category_matched_train_universe	ge4tag	1	13.0	138.0	138000.0	Run-2 expected-yield projection	1911	1108	0	0	11.612878134358706	7.083748636239155	0.13599229545540276	0.08459499987587232	0.6099907838764501	0.5798011512297226	991.6660213128919	593.1732941077996	0.04105907914908133	4240	1158	0	0	1973111.9877702089	25406.9792285493	3590915111173.7	2747765.4214489744	0.012876602740253701	0.27311320754716983	1.0841723615710903	234.92347217163007	0.06524343144295683	77.66023540307631	0.00027881113187510666	0.04443922194987034	False	False	0	0
historical_rhh125125_lt34	fixed_historical_comparator_on_category_matched_train_universe	combined	1	13.0	138.0	138000.0	Run-2 expected-yield projection	7661	4238	0	0	47.68007362451547	28.11513411648797	0.5636165261330538	0.34028863044140106	0.589662137225227	0.5531914893617021	4033.5748073904665	2322.9126561259764	0.020748349736669808	20067	8357	0	0	57854527.5678213	16926906.401560977	82056367784756.0	22639499018751.035	0.2925770395708101	0.4164548761648478	40.79081795182275	12.65576416200276	0.28109674288071435	3.4179032006986247	1.6609729769578703e-06	0.006833626573959632	False	False	0	0
historical_rhh125125_lt34	fixed_historical_comparator_on_category_matched_train_universe	exact3tag	2	13.0	138.0	138000.0	Run-2 expected-yield projection	5715	3120	0	0	35.90021630867406	20.730666367199056	0.4258859716230072	0.25102712099923224	0.5774524083352166	0.5459317585301837	3026.2220802859665	1712.0083531907794	0.024168353265096205	16759	8049	0	0	11793863.70345349	2314891.3899012543	4444460747947.732	946624267425.9115	0.19627930660445106	0.4802792529387195	31.296309933632802	5.660875525207647	0.42029884570170806	5.094780582322084	8.955351623681731e-06	0.013625338620848164	False	False	0	0
historical_rhh125125_lt34	fixed_historical_comparator_on_category_matched_train_universe	ge4tag	2	13.0	138.0	138000.0	Run-2 expected-yield projection	1909	1098	0	0	12.222689561502637	7.302678704202741	0.14603275934743992	0.08846159837612053	0.5974690486457026	0.5751702462022001	1023.0179911990039	602.8504711171031	0.040728198217916976	4260	1384	0	0	770812.3378158313	25638.416650956104	241653155926.64523	6773274.615109672	0.03326155458746931	0.3248826291079812	2.4586960507540994	97.04735828983951	0.10150983947330103	30.064740280561992	0.000284833451442112	0.045605369412004375	False	False	0	0
historical_rhh125125_lt34	fixed_historical_comparator_on_category_matched_train_universe	combined	2	13.0	138.0	138000.0	Run-2 expected-yield projection	7624	4218	0	0	48.122905870176695	28.033345071401797	0.5719187309704471	0.33948871937535274	0.5825364151331301	0.5532528856243442	4049.2013007868286	2314.8587597792866	0.020784412403785694	21019	9433	0	0	12564676.041269321	2340529.8065522104	4686113903874.378	946631040700.5266	0.18627856371820653	0.44878443313192823	33.68912648314478	5.786921767646066	0.41569633387141003	5.368304221589088	1.1977350167865276e-05	0.01832386012253648	False	False	0	0
historical_rhh125125_lt34	fixed_historical_comparator_on_category_matched_train_universe	exact3tag	3	13.0	138.0	138000.0	Run-2 expected-yield projection	5433	3079	0	0	53.54793515855517	31.822690539016723	0.722687455291442	0.4337427284891231	0.5942841763139866	0.5667218847782073	3967.664498325192	2334.7564503722147	0.020695656526270024	16110	7462	0	0	30489762.156161867	7808512.062981777	19244388741599.79	3798053642249.4927	0.2561027541962542	0.46319056486654253	48.30631977048913	16.05371234346738	0.2495814258940268	3.9046827244727305	4.075384693311831e-06	0.01138813109087284	False	False	0	0
