qcd_threshold,top_threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_sqrtB_10pct_syst,n_signal_test_rows,n_background_test_rows,neff_background_rows
0.65,0.9,13.536363702172157,140313.89191496713,9.64720136932375e-05,0.0361369653462018,0.0009643765484353,10,64,9.843167830083836
0.65,0.925,10.239442275927882,120870.36353610308,8.47142506762581e-05,0.0294521082394457,0.0008467922897231,8,45,7.416357916137763
0.65,0.95,6.419503853891008,60824.82297481568,0.0001055408555245,0.0260292129881555,0.0010545420430935,3,24,3.8401174995577727
0.675,0.5,61.08797565837222,405019.8800454004,0.0001508271042189,0.0959881371376312,0.0015080848795003,46,347,77.66945709565586
0.675,0.525,61.08797565837222,379876.0724428369,0.000160810274955,0.0991139453460987,0.0016078911298349,46,329,71.19444292831548
0.675,0.55,60.739297661177154,360737.8467294542,0.0001683751738606,0.1011285805490841,0.001683518411029,44,311,65.1712139035227
0.675,0.575,57.44237623493288,353224.23907929834,0.0001626229739631,0.0966511772035539,0.0016259995905722,42,292,62.70187508829429
0.675,0.6,53.79677681149353,339279.66002084035,0.0001585617505281,0.0923586005957299,0.0015853838828059,38,277,58.47291613997773
0.675,0.625,49.976838389456674,316717.12849818263,0.0001577964495524,0.0888040970772873,0.0015777154419079,33,257,53.09496243342704
0.675,0.65,46.67991696321239,296844.62646346894,0.0001572537037956,0.0856772422253299,0.0015722722294174,31,236,48.53214209418156
0.675,0.675,43.38299553696812,270182.4794801961,0.0001605692405385,0.0834624145688344,0.0016053953382293,29,217,43.33877032310723
0.675,0.7,43.38299553696812,259043.00945103576,0.0001674741025781,0.0852380680488931,0.0016744178639444,29,195,40.14601793591438
0.675,0.725,39.91173511212632,228910.62024052505,0.0001743551044953,0.0834195105839425,0.0017431703330413,26,174,34.1532608140668
0.675,0.75,30.19530983199103,213851.62093839725,0.0001411974793527,0.0652954947645775,0.0014116447797104,21,155,31.12225004058424
0.675,0.775,30.0209708333935,178470.42920613542,0.0001682125771027,0.0710626826893754,0.0016816547072169,20,137,24.933559241305385
0.675,0.8,26.549710408551704,154808.395022138,0.0001715004564497,0.0674780516440391,0.0017144509207035,17,113,20.008013506535363
0.675,0.825,23.42712798090497,138610.3455953542,0.0001690142815839,0.062924710609334,0.0016895334714048,16,101,17.038124964605604
0.675,0.85,20.1302065546607,129055.76708066268,0.0001559806819177,0.0560350189215746,0.0015592028551057,14,86,14.936104445816024
0.675,0.875,13.885041699367225,120464.99597016064,0.0001152620442772,0.0400052282976043,0.0011521423356994,12,75,13.158877996716614
0.675,0.9,13.536363702172157,92357.57870913405,0.0001465647312474,0.0445415930123406,0.0014648544927567,10,51,8.06463498967747
0.675,0.925,10.239442275927882,78084.2636133304,0.0001311332373784,0.0366432969940223,0.0013104934888926,8,35,5.883243327609838
0.675,0.95,6.419503853891008,53686.756598879976,0.0001195733223717,0.0277056204367983,0.0011946211567407,3,19,3.0292368267290484
0.7,0.5,54.66847180448121,351679.4220042208,0.000155449731727,0.0921856782582553,0.0015542763538329,43,291,60.91824485841333
0.7,0.525,54.66847180448121,331705.8276847177,0.0001648101035368,0.0949205799513238,0.0016478526634147,43,276,56.30861594543845
0.7,0.55,54.31979380728614,316221.4388634684,0.0001717777074271,0.0965967372540705,0.0017175055288361,41,261,51.81525941094559
0.7,0.575,51.02287238104186,310920.1329713764,0.0001641028256788,0.0915040847830278,0.0016407644217482,39,245,50.192057852798406
0.7,0.6,47.377272957602536,297220.0025781068,0.0001594013611017,0.0869022542557375,0.0015937455248385,35,231,46.37613912094772
0.7,0.625,43.55733453556565,274901.9197206376,0.0001584468183409,0.0830753939056238,0.0015841800741027,30,212,41.3963531413272
0.7,0.65,40.26041310932138,256997.27077879923,0.0001566569675519,0.0794170902897674,0.0015662649811064,28,193,37.63473525207797
0.7,0.675,36.96349168307711,232754.45359034985,0.0001588089555877,0.0766167965205108,0.0015877485144949,26,178,33.3007192745677
0.7,0.7,36.96349168307711,224753.67209501404,0.0001644622369838,0.0779685739829336,0.0016442566196929,26,163,31.234694022857244
0.7,0.725,33.49223125823529,198275.1197766367,0.000168917972643,0.0752159544474085,0.0016887539188349,23,145,26.455381824544176
0.7,0.75,23.95014497669757,183484.0025115616,0.0001305298808008,0.0559125171045937,0.0013049432550761,19,127,23.687548414074826
0.7,0.775,23.77580597810004,148347.2594444882,0.000160271285544,0.0617298873233641,0.0016021729388175,18,110,17.901343957734724
0.7,0.8,20.304545553258237,125197.55596273202,0.0001621800473429,0.0573845986228414,0.0016211531646373,15,88,13.63213355252222
0.7,0.825,17.1819631256115,114169.71981900863,0.0001504949224089,0.0508507444136472,0.0015042905725129,14,79,11.974276627292255
0.7,0.85,13.885041699367225,105066.61800626542,0.0001321546459079,0.0428365821372042,0.0013209179988378,12,66,10.25800008401816
0.7,0.875,10.762459271720486,102134.95750920069,0.0001053748837243,0.0336762957337247,0.0010532333547374,11,60,9.723022067198215
0.7,0.9,10.413781274525416,82912.44442366085,0.0001255997377343,0.0361658429585602,0.0012552406378751,9,42,6.593126754273561
0.7,0.925,10.239442275927882,68639.1293278572,0.0001491779160982,0.0390832273581804,0.0014906936641762,8,26,4.612904746136792
0.7,0.95,6.419503853891008,48309.51527905976,0.0001328828040771,0.0292068771505843,0.001327454844835,3,15,2.476111564372854
0.725,0.5,48.07462895199266,254871.1525961324,0.0001886232649803,0.0952260125997339,0.0018858627221447,39,228,70.17933332110164
0.725,0.525,48.07462895199266,238344.36713200304,0.0002017023919233,0.0984721668820514,0.0020166009200527,39,215,66.41469103917112
0.725,0.55,47.7259509547976,228519.08892419116,0.0002088488588829,0.0998374198184977,0.0020880317772334,37,205,62.15236337648083
0.725,0.575,47.55161195620006,223730.11373434024,0.000212540060712,0.1005316989417983,0.0021249257742178,36,191,59.83789870098206
0.725,0.6,43.906012532760734,210237.01137783047,0.0002088405473661,0.0957567527123019,0.0020879089719421,32,178,54.207349288696655
0.725,0.625,40.08607411072385,188332.98459388083,0.0002128468053387,0.0923698696168878,0.0021279031972603,27,161,48.18141147846889
0.725,0.65,36.78915268447958,181689.45086045752,0.0002024837023297,0.0863087703604151,0.002024280028502,25,146,45.25593294742164
0.725,0.675,33.49223125823529,159414.48676488348,0.0002100952801587,0.0838842041706385,0.0021002941522636,23,133,42.05167582590968
0.725,0.7,33.49223125823529,157072.815882985,0.0002132274198432,0.0845071716245749,0.0021315957689417,23,123,40.86279744974084
0.725,0.725,30.19530983199103,140620.871675713,0.0002147285070286,0.0805220081685155,0.0021465219757077,21,110,37.06218398738205
0.725,0.75,20.6532235504533,126807.54907139175,0.0001628706153671,0.0579983036732707,0.0016280643371925,17,96,34.283288800980664
0.725,0.775,20.6532235504533,95324.64289645178,0.0002166619556381,0.0668937052694277,0.0021654840072119,17,82,32.09793194789762
0.725,0.8,17.1819631256115,74631.68983794781,0.0002302234233596,0.0628942793171077,0.0023006933846472,14,64,26.94466049452939
0.725,0.825,14.059380697964755,64116.18439646559,0.0002192797470764,0.0555242059240958,0.0021910894497769,13,57,28.23542165336926
0.725,0.85,10.762459271720486,56980.935676597626,0.0001888782475037,0.0450865217783896,0.0018871272722831,11,46,23.83908028455504
0.725,0.875,7.639876844073749,54561.6058817741,0.0001400229469167,0.0327071562473396,0.00139894806658,10,42,22.37226199338463
0.725,0.9,7.291198846878679,40716.33411605446,0.0001790730674843,0.0361338808204815,0.0017885356849187,8,28,14.825789319508996
0.725,0.925,7.116859848281146,30670.04061491828,0.0002320459870802,0.040637898178996,0.0023166861541969,7,17,9.734794909056925
0.725,0.95,3.296921426244271,14238.71212344272,0.000231546322284,0.0276295137689083,0.0023073749286275,2,10,8.495823644873663
0.75,0.5,47.7259509547976,206555.9931319995,0.0002310557550576,0.105011216704242,0.0023099984482005,37,181,55.876756428461306
0.75,0.525,47.7259509547976,192730.40675631075,0.0002476306243422,0.1087124971301058,0.0024756640658177,37,173,53.33048749212058
0.75,0.55,47.377272957602536,186351.9374038725,0.0002542354730389,0.1097496396425637,0.0025416728668104,35,165,50.5266281465997
0.75,0.575,47.202933959005,182503.3362463468,0.0002586414853002,0.1104927008887301,0.0025857065502117,34,155,48.70739687944425
