outer_holdout_fold	level	category	target_raw_fraction	observed_raw_fraction	broad_rows	sources	status	target_numeric	observed_numeric	absolute_difference
4	weight_stratum	background::single_higgs	0.0625	0.0625	30015	16	pass	0.0625	0.0625	0.0
4	weight_stratum	background::single_top	0.0625	0.0625	55652	17	pass	0.0625	0.0625	0.0
4	weight_stratum	background::top_associated	0.0625	0.0625	80795	9	pass	0.0625	0.0625	0.0
4	weight_stratum	background::triboson	0.0625	0.0625	14326	9	pass	0.0625	0.0625	0.0
4	weight_stratum	background::ttbar	0.0625	0.0624999999999998	421452	65	pass	0.0625	0.0624999999999998	2.0122792321330962e-16
4	weight_stratum	background::zbbbb	0.0625	0.0624999999999999	43379	15	pass	0.0625	0.0624999999999999	9.71445146547012e-17
4	weight_stratum	signal::ggf_hh4b	0.25	0.2500000000000001	35199	61	pass	0.25	0.2500000000000001	1.1102230246251565e-16
4	weight_stratum	signal::vbf_hh4b	0.25	0.2499999999999999	37873	6	pass	0.25	0.2499999999999999	1.1102230246251565e-16
4	class	signal	0.5	0.5000000000000002	73072	67	pass	0.5	0.5000000000000002	2.220446049250313e-16
4	class	background	0.5	0.4999999999999995	861700	305	pass	0.5	0.4999999999999995	4.996003610813204e-16
