category_id	aggregation_level	structure_id	count	denominator	frequency	frequency_rank	is_nominal_structure
exact3tag	fold_winner	symmetric_rectangular_mass__category__plus_max_drbb	28	1000	0.028	11	False
exact3tag	fold_winner	symmetric_rectangular_mass__category__plus_mhh	25	1000	0.025	14	False
exact3tag	fold_winner	symmetric_rectangular_mass__category__plus_mhh_and_abs_h_delta_eta	2	1000	0.002	27	False
exact3tag	replica_selected	asymmetric_rectangular_mass__category__mass_only	8	200	0.04	8	False
exact3tag	replica_selected	asymmetric_rectangular_mass__category__plus_abs_h_delta_eta	37	200	0.185	1	False
exact3tag	replica_selected	asymmetric_rectangular_mass__category__plus_h2_pt	13	200	0.065	6	False
exact3tag	replica_selected	asymmetric_rectangular_mass__category__plus_h2_pt_and_max_drbb	1	200	0.005	15	False
exact3tag	replica_selected	asymmetric_rectangular_mass__category__plus_ht_candidate_jets	29	200	0.145	2	False
exact3tag	replica_selected	asymmetric_rectangular_mass__category__plus_ht_candidate_jets_and_max_drbb	7	200	0.035	9	False
exact3tag	replica_selected	asymmetric_rectangular_mass__category__plus_max_drbb	28	200	0.14	3	False
exact3tag	replica_selected	asymmetric_rectangular_mass__category__plus_mhh	15	200	0.075	5	False
exact3tag	replica_selected	asymmetric_rectangular_mass__category__plus_mhh_and_abs_h_delta_eta	5	200	0.025	11	False
exact3tag	replica_selected	radial_mass__category__mass_only	7	200	0.035	10	False
exact3tag	replica_selected	radial_mass__category__plus_abs_h_delta_eta	1	200	0.005	16	False
exact3tag	replica_selected	radial_mass__category__plus_h2_pt	3	200	0.015	12	False
exact3tag	replica_selected	radial_mass__category__plus_h2_pt_and_max_drbb	1	200	0.005	17	False
exact3tag	replica_selected	radial_mass__category__plus_ht_candidate_jets	24	200	0.12	4	True
exact3tag	replica_selected	radial_mass__category__plus_ht_candidate_jets_and_max_drbb	1	200	0.005	18	False
exact3tag	replica_selected	radial_mass__category__plus_max_drbb	1	200	0.005	19	False
exact3tag	replica_selected	radial_mass__category__plus_mhh	1	200	0.005	20	False
exact3tag	replica_selected	radial_mass__category__plus_mhh_and_abs_h_delta_eta	3	200	0.015	13	False
exact3tag	replica_selected	symmetric_rectangular_mass__category__mass_only	1	200	0.005	21	False
exact3tag	replica_selected	symmetric_rectangular_mass__category__plus_abs_h_delta_eta	0	200	0.0	24	False
exact3tag	replica_selected	symmetric_rectangular_mass__category__plus_h2_pt	0	200	0.0	25	False
exact3tag	replica_selected	symmetric_rectangular_mass__category__plus_h2_pt_and_max_drbb	0	200	0.0	26	False
exact3tag	replica_selected	symmetric_rectangular_mass__category__plus_ht_candidate_jets	10	200	0.05	7	False
exact3tag	replica_selected	symmetric_rectangular_mass__category__plus_ht_candidate_jets_and_max_drbb	1	200	0.005	22	False
exact3tag	replica_selected	symmetric_rectangular_mass__category__plus_max_drbb	2	200	0.01	14	False
exact3tag	replica_selected	symmetric_rectangular_mass__category__plus_mhh	1	200	0.005	23	False
exact3tag	replica_selected	symmetric_rectangular_mass__category__plus_mhh_and_abs_h_delta_eta	0	200	0.0	27	False
ge4tag	fold_winner	asymmetric_rectangular_mass__category__mass_only	104	1000	0.104	2	False
ge4tag	fold_winner	asymmetric_rectangular_mass__category__plus_abs_h_delta_eta	2	1000	0.002	27	False
ge4tag	fold_winner	asymmetric_rectangular_mass__category__plus_h2_pt	25	1000	0.025	17	False
ge4tag	fold_winner	asymmetric_rectangular_mass__category__plus_h2_pt_and_max_drbb	10	1000	0.01	21	False
ge4tag	fold_winner	asymmetric_rectangular_mass__category__plus_ht_candidate_jets	50	1000	0.05	8	False
ge4tag	fold_winner	asymmetric_rectangular_mass__category__plus_ht_candidate_jets_and_max_drbb	14	1000	0.014	18	False
ge4tag	fold_winner	asymmetric_rectangular_mass__category__plus_max_drbb	70	1000	0.07	5	False
ge4tag	fold_winner	asymmetric_rectangular_mass__category__plus_mhh	13	1000	0.013	19	False
ge4tag	fold_winner	asymmetric_rectangular_mass__category__plus_mhh_and_abs_h_delta_eta	11	1000	0.011	20	False
ge4tag	fold_winner	radial_mass__category__mass_only	72	1000	0.072	4	False
ge4tag	fold_winner	radial_mass__category__plus_abs_h_delta_eta	26	1000	0.026	16	False
ge4tag	fold_winner	radial_mass__category__plus_h2_pt	29	1000	0.029	14	False
ge4tag	fold_winner	radial_mass__category__plus_h2_pt_and_max_drbb	39	1000	0.039	9	False
ge4tag	fold_winner	radial_mass__category__plus_ht_candidate_jets	101	1000	0.101	3	False
ge4tag	fold_winner	radial_mass__category__plus_ht_candidate_jets_and_max_drbb	124	1000	0.124	1	False
ge4tag	fold_winner	radial_mass__category__plus_max_drbb	37	1000	0.037	10	False
ge4tag	fold_winner	radial_mass__category__plus_mhh	37	1000	0.037	11	False
ge4tag	fold_winner	radial_mass__category__plus_mhh_and_abs_h_delta_eta	58	1000	0.058	7	True
ge4tag	fold_winner	symmetric_rectangular_mass__category__mass_only	28	1000	0.028	15	False
ge4tag	fold_winner	symmetric_rectangular_mass__category__plus_abs_h_delta_eta	30	1000	0.03	13	False
ge4tag	fold_winner	symmetric_rectangular_mass__category__plus_h2_pt	4	1000	0.004	25	False
ge4tag	fold_winner	symmetric_rectangular_mass__category__plus_h2_pt_and_max_drbb	10	1000	0.01	22	False
ge4tag	fold_winner	symmetric_rectangular_mass__category__plus_ht_candidate_jets	59	1000	0.059	6	False
ge4tag	fold_winner	symmetric_rectangular_mass__category__plus_ht_candidate_jets_and_max_drbb	31	1000	0.031	12	False
ge4tag	fold_winner	symmetric_rectangular_mass__category__plus_max_drbb	6	1000	0.006	23	False
ge4tag	fold_winner	symmetric_rectangular_mass__category__plus_mhh	4	1000	0.004	26	False
ge4tag	fold_winner	symmetric_rectangular_mass__category__plus_mhh_and_abs_h_delta_eta	6	1000	0.006	24	False
ge4tag	replica_selected	asymmetric_rectangular_mass__category__mass_only	52	200	0.26	1	False
ge4tag	replica_selected	asymmetric_rectangular_mass__category__plus_abs_h_delta_eta	0	200	0.0	22	False
ge4tag	replica_selected	asymmetric_rectangular_mass__category__plus_h2_pt	9	200	0.045	7	False
ge4tag	replica_selected	asymmetric_rectangular_mass__category__plus_h2_pt_and_max_drbb	3	200	0.015	14	False
ge4tag	replica_selected	asymmetric_rectangular_mass__category__plus_ht_candidate_jets	10	200	0.05	6	False
ge4tag	replica_selected	asymmetric_rectangular_mass__category__plus_ht_candidate_jets_and_max_drbb	3	200	0.015	15	False
ge4tag	replica_selected	asymmetric_rectangular_mass__category__plus_max_drbb	18	200	0.09	4	False
ge4tag	replica_selected	asymmetric_rectangular_mass__category__plus_mhh	2	200	0.01	19	False
ge4tag	replica_selected	asymmetric_rectangular_mass__category__plus_mhh_and_abs_h_delta_eta	2	200	0.01	20	False
ge4tag	replica_selected	radial_mass__category__mass_only	15	200	0.075	5	False
ge4tag	replica_selected	radial_mass__category__plus_abs_h_delta_eta	3	200	0.015	16	False
ge4tag	replica_selected	radial_mass__category__plus_h2_pt	6	200	0.03	8	False
ge4tag	replica_selected	radial_mass__category__plus_h2_pt_and_max_drbb	5	200	0.025	9	False
ge4tag	replica_selected	radial_mass__category__plus_ht_candidate_jets	26	200	0.13	2	False
ge4tag	replica_selected	radial_mass__category__plus_ht_candidate_jets_and_max_drbb	21	200	0.105	3	False
ge4tag	replica_selected	radial_mass__category__plus_max_drbb	3	200	0.015	17	False
ge4tag	replica_selected	radial_mass__category__plus_mhh	5	200	0.025	10	False
ge4tag	replica_selected	radial_mass__category__plus_mhh_and_abs_h_delta_eta	5	200	0.025	11	True
ge4tag	replica_selected	symmetric_rectangular_mass__category__mass_only	1	200	0.005	21	False
ge4tag	replica_selected	symmetric_rectangular_mass__category__plus_abs_h_delta_eta	4	200	0.02	12	False
ge4tag	replica_selected	symmetric_rectangular_mass__category__plus_h2_pt	0	200	0.0	23	False
ge4tag	replica_selected	symmetric_rectangular_mass__category__plus_h2_pt_and_max_drbb	0	200	0.0	24	False
ge4tag	replica_selected	symmetric_rectangular_mass__category__plus_ht_candidate_jets	4	200	0.02	13	False
ge4tag	replica_selected	symmetric_rectangular_mass__category__plus_ht_candidate_jets_and_max_drbb	3	200	0.015	18	False
ge4tag	replica_selected	symmetric_rectangular_mass__category__plus_max_drbb	0	200	0.0	25	False
ge4tag	replica_selected	symmetric_rectangular_mass__category__plus_mhh	0	200	0.0	26	False
ge4tag	replica_selected	symmetric_rectangular_mass__category__plus_mhh_and_abs_h_delta_eta	0	200	0.0	27	False
