seed,bootstrap,working_point,qcd_threshold,top_threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB
10,99,loose_best_sqrtB,0.8,0.5,90.9006274848016,332290.90321720473,0.0002735573757954597,0.15769127151780776,0.002735573757954597
10,100,loose_best_sqrtB,0.8,0.5,82.37485825135406,266165.35499282094,0.0003094875298611868,0.15966837947094276,0.003094875298611868
10,101,loose_best_sqrtB,0.8,0.5,88.39746146070522,322810.91213686165,0.0002738366583569129,0.15558427122827523,0.002738366583569129
10,102,loose_best_sqrtB,0.8,0.5,94.13135225378578,346861.9172035938,0.00027137989956543574,0.15982914915806515,0.002713798995654357
10,103,loose_best_sqrtB,0.8,0.5,101.40264962307948,284714.5449965044,0.0003561554947054934,0.19003976121053112,0.003561554947054934
10,104,loose_best_sqrtB,0.8,0.5,80.61080638056816,267397.9673384557,0.00030146379638905786,0.1558885490389508,0.0030146379638905786
10,105,loose_best_sqrtB,0.8,0.5,72.67401738808445,307500.09299818514,0.00023633819645223122,0.131055889598438,0.002363381964522312
10,106,loose_best_sqrtB,0.8,0.5,75.68965227091854,276375.3995479516,0.0002738653743955466,0.1439749108596489,0.002738653743955466
10,107,loose_best_sqrtB,0.8,0.5,90.89773863269593,318214.88307643455,0.0002856489229979306,0.1611360950978302,0.002856489229979306
10,108,loose_best_sqrtB,0.8,0.5,94.6438211125235,332240.5123283738,0.00028486538396311275,0.16419728512053774,0.0028486538396311272
10,109,loose_best_sqrtB,0.8,0.5,105.07510957278656,335188.6330647713,0.00031348052770179116,0.18149104880737413,0.0031348052770179113
10,110,loose_best_sqrtB,0.8,0.5,78.2577742688184,318165.57966928964,0.00024596555777705984,0.13873974592171184,0.002459655577770598
10,111,loose_best_sqrtB,0.8,0.5,67.31401694981763,335847.83896686946,0.00020043010298023085,0.11615401563986048,0.002004301029802308
10,112,loose_best_sqrtB,0.8,0.5,92.95339177185811,328489.1527120703,0.0002829724847971899,0.16218277417780644,0.0028297248479718985
10,113,loose_best_sqrtB,0.8,0.5,92.14354394053278,283172.59088286944,0.0003253971143649518,0.17315670159023447,0.003253971143649518
10,114,loose_best_sqrtB,0.8,0.5,95.52151376975793,272918.21194770245,0.0003500005114648124,0.1828457783907203,0.0035000051146481235
10,115,loose_best_sqrtB,0.8,0.5,93.10063683209904,311981.0641023198,0.00029841758858019986,0.16668193525009223,0.0029841758858019985
10,116,loose_best_sqrtB,0.8,0.5,114.92319549629714,278961.00345556054,0.0004119686768857096,0.21758850335458277,0.004119686768857096
10,117,loose_best_sqrtB,0.8,0.5,84.4305113905162,300121.4513223836,0.00028132114855003443,0.15411712570978858,0.002813211485500344
10,118,loose_best_sqrtB,0.8,0.5,83.25543976069416,264728.6028106576,0.00031449355633188274,0.16181254381016186,0.0031449355633188275
10,119,loose_best_sqrtB,0.8,0.5,102.13598607217862,298620.81756241055,0.00034202567291154314,0.1869040646021934,0.003420256729115431
10,120,loose_best_sqrtB,0.8,0.5,94.93831123300542,279437.38284630387,0.00033974806901631834,0.1795970710147686,0.0033974806901631836
10,121,loose_best_sqrtB,0.8,0.5,80.16907119984526,325346.96238116623,0.00024641100262040165,0.14055084920945957,0.002464110026204016
10,122,loose_best_sqrtB,0.8,0.5,81.05254156129104,332611.2573223412,0.0002436855030518139,0.14053942281079448,0.002436855030518139
10,123,loose_best_sqrtB,0.8,0.5,87.00152224052174,325316.2063199049,0.00026743679088329036,0.15253657892442174,0.0026743679088329034
10,124,loose_best_sqrtB,0.8,0.5,97.36207702276998,325414.4649169969,0.0002991940663965384,0.17067558623674192,0.0029919406639653838
10,125,loose_best_sqrtB,0.8,0.5,82.66934837183598,260760.13521969217,0.0003170321579339054,0.16189145100749747,0.0031703215793390544
10,126,loose_best_sqrtB,0.8,0.5,86.70992097214547,286583.52934038,0.00030256421634461297,0.16197320546386834,0.0030256421634461293
10,127,loose_best_sqrtB,0.8,0.5,78.1841517386979,286887.75067222276,0.0002725252352374761,0.1459697035155966,0.0027252523523747614
10,128,loose_best_sqrtB,0.8,0.5,93.61599454294243,301651.0668506464,0.00031034531228524916,0.17045024218616894,0.0031034531228524916
10,129,loose_best_sqrtB,0.8,0.5,79.80095854924285,363237.68571305065,0.0002196935001184975,0.13240752205405212,0.002196935001184975
10,130,loose_best_sqrtB,0.8,0.5,81.3441428296673,305242.49060539313,0.00026649023426697884,0.14723253607448533,0.002664902342669788
10,131,loose_best_sqrtB,0.8,0.5,94.20208593180061,264179.40561343584,0.0003565837606192631,0.1832782967504348,0.003565837606192631
10,132,loose_best_sqrtB,0.8,0.5,98.31628106223059,315743.7237833067,0.00031138000111034526,0.1749677790518082,0.0031138000111034523
10,133,loose_best_sqrtB,0.8,0.5,88.54470652094619,303376.780579116,0.00029186382145635265,0.16075757031920637,0.0029186382145635265
10,134,loose_best_sqrtB,0.8,0.5,81.93312307063117,315549.0612560087,0.0002596525647850299,0.14585659239861903,0.0025965256478502987
10,135,loose_best_sqrtB,0.8,0.5,73.8490890179065,278224.956450968,0.00026542942071021956,0.14000614600081082,0.002654294207102195
10,136,loose_best_sqrtB,0.8,0.5,77.08559149110202,318698.26906564616,0.00024187640465415822,0.13654737537026088,0.002418764046541582
10,137,loose_best_sqrtB,0.8,0.5,86.33891946943739,298747.534832989,0.00028900295199993554,0.15796266204123086,0.0028900295199993553
10,138,loose_best_sqrtB,0.8,0.5,90.08789080137065,326062.494886072,0.00027629025789319264,0.15776693754574966,0.0027629025789319265
10,139,loose_best_sqrtB,0.8,0.5,118.52203291588374,291363.95405347325,0.0004067834447844283,0.21957413516253818,0.004067834447844283
10,140,loose_best_sqrtB,0.8,0.5,106.39742626284958,302095.52527228056,0.00035219795515657813,0.19357932731492383,0.003521979551565781
10,141,loose_best_sqrtB,0.8,0.5,86.636298442025,325016.3146934812,0.00026655984492264827,0.15196630638854935,0.0026655984492264823
10,142,loose_best_sqrtB,0.8,0.5,80.16907119984526,361869.19504869875,0.00022154157440523907,0.1332695848729913,0.0022154157440523905
10,143,loose_best_sqrtB,0.8,0.5,81.56501042002874,347375.39451438567,0.00023480364961960752,0.13838989171136765,0.002348036496196075
10,144,loose_best_sqrtB,0.8,0.5,91.26296243119268,353622.98607867036,0.00025807983650386756,0.153470291662917,0.0025807983650386755
10,145,loose_best_sqrtB,0.8,0.5,79.5800909588814,330447.3531457947,0.00024082532421971115,0.13843735480933866,0.0024082532421971117
10,146,loose_best_sqrtB,0.8,0.5,72.82126244832543,326584.0247134508,0.00022297864236384428,0.1274267877486865,0.0022297864236384426
10,147,loose_best_sqrtB,0.8,0.5,88.98644170166908,244319.34285601875,0.00036422184449845296,0.18003001397527016,0.0036422184449845293
10,148,loose_best_sqrtB,0.8,0.5,92.80614671161712,316057.8363188314,0.00029363659446809775,0.16507961977817218,0.0029363659446809773
