seed,working_point,qcd_threshold,top_threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB,n_signal_test_rows,n_background_test_rows,neff_signal,neff_background
13,nominal_balanced,0.825,0.525,84.501245068531,170220.79680363066,0.000496421393010003,0.20481266022392225,0.00496421393010003,124,160,64.07678438603813,81.7444255867104
13,higher_purity,0.875,0.75,24.61732595667073,35753.052429587246,0.0006885377410824591,0.13019200438466508,0.006885377410824591,47,32,19.33278868172212,17.04244850858413
13,intermediate,0.85,0.75,32.03875723831104,53533.087548794145,0.0005984851370492777,0.13847281327632194,0.0059848513704927764,58,49,24.961794246570005,27.612525162559407
14,loose_best_sqrtB,0.8,0.5,78.969495967204,251040.1563647099,0.000314569179332718,0.15761145116622,0.00314569179332718,122,235,58.03348717965696,93.03408775683184
14,nominal_balanced,0.825,0.525,69.49015026403558,203814.1588650547,0.0003409485908682379,0.15392390591375027,0.0034094859086823788,105,180,50.936112315846316,70.13641191695946
14,higher_purity,0.875,0.75,32.64272912451362,54027.36484396976,0.0006041888072606419,0.14043636130102524,0.006041888072606418,52,54,24.076625561706344,27.201007811500503
14,intermediate,0.85,0.75,43.285869571984435,70105.60118681371,0.0006174381053610613,0.16348194180836026,0.006174381053610613,66,73,31.761506643037183,33.287307316870326
15,loose_best_sqrtB,0.8,0.5,82.26571098486522,233017.67358022011,0.0003530449417028615,0.17042151606764974,0.0035304494170286145,134,215,63.46811017220605,115.01185761242397
15,nominal_balanced,0.825,0.525,71.5778033683164,173185.4755839311,0.00041330142222941526,0.1719976974618631,0.004133014222294153,114,156,55.06443106606865,82.45433772062485
15,higher_purity,0.875,0.75,21.8193316040654,42286.51704867467,0.0005159879112046485,0.10610613242533759,0.005159879112046484,46,40,17.49834728491476,21.996781125224036
15,intermediate,0.85,0.75,30.60023838599205,54249.79024753818,0.0005640618746425599,0.13137894743265338,0.0056406187464255984,58,57,24.11754228502694,30.90883421595039
16,loose_best_sqrtB,0.8,0.5,93.84383464545256,230814.59648996923,0.000406576690003792,0.19533232110281,0.004065766900037919,141,207,74.62157939053989,85.05028160783782
16,nominal_balanced,0.825,0.525,76.6767242953094,158769.76816967654,0.00048294284975818145,0.192433042228457,0.0048294284975818145,114,156,60.89285107001214,75.68792680453868
16,higher_purity,0.875,0.75,31.664793068707336,40491.603892985186,0.0007820088616986837,0.15735993385733293,0.007820088616986838,52,37,25.468471261951123,18.616451590931423
16,intermediate,0.85,0.75,39.105391854767674,52860.64097733997,0.0007397827784860039,0.17008672917104373,0.007397827784860038,67,57,31.638328993627695,27.36032150356743
17,loose_best_sqrtB,0.8,0.5,89.15704833516786,264733.5895126554,0.0003367802646399949,0.17328108475202553,0.0033678026463999484,138,228,71.78224872747839,84.2822762419379
17,nominal_balanced,0.825,0.525,73.36526058888279,198759.70164895713,0.00036911536886112913,0.16456076453352522,0.0036911536886112917,111,162,58.8987957310498,56.30642904110989
17,higher_purity,0.875,0.75,25.59499277930655,38043.03326512864,0.0006727905369934756,0.13122526028297213,0.006727905369934756,41,41,20.699255533347387,20.532443292547782
17,intermediate,0.85,0.75,31.351524733076506,73031.19017573787,0.00042928952215668515,0.11601241774717873,0.004292895221566851,51,65,25.406927896626588,19.202314010432158
18,loose_best_sqrtB,0.8,0.5,77.72741880357933,229054.08682968316,0.0003393408948925447,0.16240717919628495,0.003393408948925447,126,224,59.9296797089432,116.34239436410091
18,nominal_balanced,0.825,0.525,65.79778490885992,164332.8792566593,0.0004003933066011413,0.1623114064589704,0.004003933066011413,107,160,50.752329309121386,81.86740195561501
18,higher_purity,0.875,0.75,23.061057882235968,38032.85587417138,0.0006063456806538959,0.1182496208797443,0.006063456806538958,45,31,18.25821825439317,16.859553313104698
18,intermediate,0.85,0.75,29.210673317498898,51918.24660835807,0.000562628270901514,0.12819809132936963,0.00562628270901514,57,49,23.127076455564694,26.457801257628663
19,loose_best_sqrtB,0.8,0.5,93.79745241442768,222558.6462335332,0.0004214504985620959,0.19882400027138325,0.004214504985620958,135,212,71.61708497528195,115.99563899777968
19,nominal_balanced,0.825,0.525,79.14855847442031,167378.73898891517,0.00047287104056663976,0.19346074848699585,0.004728710405666398,114,161,60.437240077180476,84.71734387948283
19,higher_purity,0.875,0.75,28.80516298398969,24582.23436516806,0.0011717878267731973,0.18372136330012637,0.011717878267731973,53,30,22.706741464272675,14.418852438619593
19,intermediate,0.85,0.75,32.016972695068084,42708.88078388007,0.0007496560927710493,0.15492488067751453,0.007496560927710492,61,55,25.37263651709079,26.685855230199362
20,loose_best_sqrtB,0.8,0.5,85.59863054308354,208230.38625190797,0.0004110765584400832,0.18758355591798279,0.004110765584400832,121,202,69.04358937021942,103.72929875437399
20,nominal_balanced,0.825,0.525,72.90388047045232,158452.87501631354,0.0004600981866876602,0.18314732650778454,0.004600981866876602,100,158,58.60137286655434,77.73645007892135
20,higher_purity,0.875,0.75,26.303862418289864,34394.29269923632,0.0007647740469125538,0.14183268773828753,0.007647740469125538,38,39,21.27117699347248,19.129821033868286
20,intermediate,0.85,0.75,35.99475909871245,46004.5321603673,0.0007824176751377069,0.16781816269747568,0.007824176751377069,52,57,29.107926412120236,28.052465243152433
