sample_class	process_or_mode	campaign	provenance_files	process_definition_lines	run_card_settings	pythia_settings	qcd_sampling_candidates	generator_cross_section_candidate_count	generator_cross_section_candidate_pb	generator_cross_section_candidate_min_pb	generator_cross_section_candidate_max_pb	generator_cross_section_status	generated_event_candidate_values	generated_event_status	sum_generator_weight_candidate_count	sum_generator_weights_status	sqrt_s_candidate_GeV	beam_energy_status	process_definition_status	external_reference_cross_section_assigned	normalization_denominator_authorized	physical_weight_authorized	status
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	11	39	1	0	0	3	6.9969000000000001	6.9969000000000001	6.9969000000000001	candidate_consistent_within_2pct_not_authoritative	23,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	11	39	1	0	0	3	58.124000000000002	58.124000000000002	58.124000000000002	candidate_consistent_within_2pct_not_authoritative	23,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	11	39	1	0	0	3	58.256999999999998	58.256999999999998	58.256999999999998	candidate_consistent_within_2pct_not_authoritative	23,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	11	39	1	0	0	3	100.36	100.36	100.36	candidate_consistent_within_2pct_not_authoritative	23,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	11	39	1	0	0	3	100.643	100.643	100.643	candidate_consistent_within_2pct_not_authoritative	23,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	11	35	1	0	0	3	512.56413999999995	512.56413999999995	512.56413999999995	candidate_consistent_within_2pct_not_authoritative	23,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	11	35	1	0	0	3	511.54477000000003	511.54477000000003	511.54477000000003	candidate_consistent_within_2pct_not_authoritative	23,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	11	33	1	0	0	3	0.33091300000000001	0.33091300000000001	0.33091300000000001	candidate_consistent_within_2pct_not_authoritative	23,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	11	33	1	0	0	3	0.32964500000000008	0.32964500000000008	0.32964500000000008	candidate_consistent_within_2pct_not_authoritative	23,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1	11	33	1	0	0	3	0.0091307495000000002	0.0091307495000000002	0.0091307495000000002	candidate_consistent_within_2pct_not_authoritative	23,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	11	33	1	0	0	3	0.009185341599999999	0.009185341599999999	0.009185341599999999	candidate_consistent_within_2pct_not_authoritative	23,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1	11	35	1	0	0	3	0.353572	0.353572	0.353572	candidate_consistent_within_2pct_not_authoritative	23,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2	11	35	1	0	0	3	0.35267000000000004	0.35267000000000004	0.35267000000000004	candidate_consistent_within_2pct_not_authoritative	23,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	11	33	1	0	0	3	0.084872699999999995	0.084872699999999995	0.084872699999999995	candidate_consistent_within_2pct_not_authoritative	23,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	ttz_zbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	11	33	1	0	0	3	0.08508339999999999	0.08508339999999999	0.08508339999999999	candidate_consistent_within_2pct_not_authoritative	23,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	tw_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	11	39	1	0	0	3	27.99785	27.99785	27.99785	candidate_consistent_within_2pct_not_authoritative	23,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	tw_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	11	39	1	0	0	3	28.014710000000001	28.014710000000001	28.014710000000001	candidate_consistent_within_2pct_not_authoritative	23,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	tw_top	unified_background_5m_single_top_pilot50k_20260722_v1	11	39	1	0	0	3	28.049290000000003	28.049290000000003	28.049290000000003	candidate_consistent_within_2pct_not_authoritative	23,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	tw_top	unified_background_5m_single_top_scaleout280k_20260722_v1	11	39	1	0	0	3	28.03481	28.03481	28.03481	candidate_consistent_within_2pct_not_authoritative	23,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	vbf_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	11	33	1	0	0	3	2.7932139	2.7932139	2.7932139	candidate_consistent_within_2pct_not_authoritative	23,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	vbf_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	11	33	1	0	0	3	2.7916625000000002	2.7916625000000002	2.7916625000000002	candidate_consistent_within_2pct_not_authoritative	23,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	wh_hbb	unified_background_5m_wavec1_pilot40k_20260721_v1	11	35	1	0	0	3	0.91303000000000001	0.91303000000000001	0.91303000000000001	candidate_consistent_within_2pct_not_authoritative	23,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	wh_hbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	11	35	1	0	0	3	0.91473999999999989	0.91473999999999989	0.91473999999999989	candidate_consistent_within_2pct_not_authoritative	23,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	ww	unified_background_5m_wavec1_pilot40k_20260721_v1	11	33	1	0	0	3	64.663899999999998	64.663899999999998	64.663899999999998	candidate_consistent_within_2pct_not_authoritative	23,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	ww	unified_background_5m_wavec1_scaleout180k_20260721_v2	11	33	1	0	0	3	64.749099999999999	64.749099999999999	64.749099999999999	candidate_consistent_within_2pct_not_authoritative	23,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	wwz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	11	33	1	0	0	3	0.095317398000000012	0.095317398000000012	0.095317398000000012	candidate_consistent_within_2pct_not_authoritative	23,5200,46800	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	11	33	1	0	0	3	0.095405567999999996	0.095405567999999996	0.095405567999999996	candidate_consistent_within_2pct_not_authoritative	23,5200,46800	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	wz_zbb	unified_background_5m_wavec1_pilot40k_20260721_v1	11	35	1	0	0	3	3.55661	3.55661	3.55661	candidate_consistent_within_2pct_not_authoritative	23,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	wz_zbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	11	35	1	0	0	3	3.5620500000000002	3.5620500000000002	3.5620500000000002	candidate_consistent_within_2pct_not_authoritative	23,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	wzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	11	35	1	0	0	3	0.030554504499999999	0.030554504499999999	0.030554504499999999	candidate_consistent_within_2pct_not_authoritative	23,3300,19800	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	11	35	1	0	0	3	0.030473507899999999	0.030473507899999999	0.030473507899999999	candidate_consistent_within_2pct_not_authoritative	23,3300,19800	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	zbbbb	unified_background_5m_wavea_pilots_20260720_retry1	11	33	1	0	0	3	6.8993019999999996	6.8993019999999996	6.8993019999999996	candidate_consistent_within_2pct_not_authoritative	23,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	zbbbb	unified_background_5m_wavea_proven111_20260720_v1	11	33	1	0	0	3	6.913691	6.913691	6.913691	candidate_consistent_within_2pct_not_authoritative	23,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	zbbbb	unified_background_5m_wavea_zbbbb_remaining15_20260721_v1	11	33	1	0	0	3	6.914809	6.914809	6.914809	candidate_consistent_within_2pct_not_authoritative	23,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	zzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	11	33	1	0	0	3	0.010519189999999999	0.010519189999999999	0.010519189999999999	candidate_consistent_within_2pct_not_authoritative	23,1500,7500	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	zzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	11	33	1	0	0	3	0.010468949999999999	0.010468949999999999	0.010468949999999999	candidate_consistent_within_2pct_not_authoritative	23,1500,7500	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	1	0	0	0	0	0				not_located	1000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	not_located	False	False	False	generator_provenance_parsed_review_pending
signal	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	1	0	0	0	0	0				not_located	1000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	not_located	False	False	False	generator_provenance_parsed_review_pending
signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	11	33	1	0	0	3	0.0014259171300000002	0.0014259171300000002	0.0014259171300000002	candidate_consistent_within_2pct_not_authoritative	23,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
signal	vbf_hh4b	vbf_hh4b_sm_scaleout90k_20260722_v1	11	33	1	0	0	3	0.00142783188	0.00142783188	0.00142783188	candidate_consistent_within_2pct_not_authoritative	23,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
