sample_class	process_or_mode	campaign	matrix_element_decay_commands	pythia_decay_settings	decay_control_mode	numeric_branching_fraction_authorized	generator_xsec_branching_scope_authorized	status
background	wz_zbb	unified_background_5m_wavec1_pilot40k_20260721_v1	generate p p > w+ z, z > b b~ || add process p p > w- z, z > b b~		explicit_matrix_element_decay_chain	False	False	decay_scope_reviewed_branching_freeze_pending
background	wz_zbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	generate p p > w+ z, z > b b~ || add process p p > w- z, z > b b~		explicit_matrix_element_decay_chain	False	False	decay_scope_reviewed_branching_freeze_pending
background	wzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1			no_explicit_forced_decay_control_in_exact_cards	False	False	decay_scope_reviewed_branching_freeze_pending
background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1			no_explicit_forced_decay_control_in_exact_cards	False	False	decay_scope_reviewed_branching_freeze_pending
background	zbbbb	unified_background_5m_wavea_pilots_20260720_retry1	generate p p > z b b~, z > b b~		explicit_matrix_element_decay_chain	False	False	decay_scope_reviewed_branching_freeze_pending
background	zbbbb	unified_background_5m_wavea_proven111_20260720_v1	generate p p > z b b~, z > b b~		explicit_matrix_element_decay_chain	False	False	decay_scope_reviewed_branching_freeze_pending
background	zbbbb	unified_background_5m_wavea_zbbbb_remaining15_20260721_v1	generate p p > z b b~, z > b b~		explicit_matrix_element_decay_chain	False	False	decay_scope_reviewed_branching_freeze_pending
background	zzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1			no_explicit_forced_decay_control_in_exact_cards	False	False	decay_scope_reviewed_branching_freeze_pending
background	zzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1			no_explicit_forced_decay_control_in_exact_cards	False	False	decay_scope_reviewed_branching_freeze_pending
signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1			no_explicit_forced_decay_control_in_exact_cards	False	False	decay_scope_reviewed_branching_freeze_pending
signal	vbf_hh4b	vbf_hh4b_sm_scaleout90k_20260722_v1			no_explicit_forced_decay_control_in_exact_cards	False	False	decay_scope_reviewed_branching_freeze_pending
