sample_class	process_or_mode	campaign	manifest_generated_events	representative_run_nevents	event_norm	sumw_candidate	positive_unweighted_proof_complete	normalization_denominator_authorized	required_proof	status
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	10000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	30000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1	10000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	30000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1	10000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2	50000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	10000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	ttz_zbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	30000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	tw_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	10000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	tw_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	60000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	tw_top	unified_background_5m_single_top_pilot50k_20260722_v1	10000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	tw_top	unified_background_5m_single_top_scaleout280k_20260722_v1	60000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	vbf_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	10000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	vbf_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	40000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	wh_hbb	unified_background_5m_wavec1_pilot40k_20260721_v1	10000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	wh_hbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	50000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	ww	unified_background_5m_wavec1_pilot40k_20260721_v1	10000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	ww	unified_background_5m_wavec1_scaleout180k_20260721_v2	30000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	wwz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	5200	46800	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	20800	46800	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	wz_zbb	unified_background_5m_wavec1_pilot40k_20260721_v1	10000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	wz_zbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	50000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	wzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	3300	19800	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	13200	19800	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	zbbbb	unified_background_5m_wavea_pilots_20260720_retry1	10000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	zbbbb	unified_background_5m_wavea_proven111_20260720_v1	90000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	zbbbb	unified_background_5m_wavea_zbbbb_remaining15_20260721_v1	150000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	zzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	1500	7500	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	zzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	6000	7500	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	10000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
signal	vbf_hh4b	vbf_hh4b_sm_scaleout90k_20260722_v1	90000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	1500000				False	False	recover explicit generator-weight denominator and nonstandard generation configuration	nonstandard_denominator_fail_closed
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	500000				False	False	recover explicit generator-weight denominator and nonstandard generation configuration	nonstandard_denominator_fail_closed
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	500000				False	False	recover explicit generator-weight denominator and nonstandard generation configuration	nonstandard_denominator_fail_closed
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	10000				False	False	recover explicit generator-weight denominator and nonstandard generation configuration	nonstandard_denominator_fail_closed
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	20000				False	False	recover explicit generator-weight denominator and nonstandard generation configuration	nonstandard_denominator_fail_closed
signal	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	80000				False	False	recover explicit generator-weight denominator and nonstandard generation configuration	nonstandard_denominator_fail_closed
