sample_class	process_or_mode	campaign	members	generated_events	campaign_sumw	campaign_sumw2	process_effective_reference_factor_pb	process_denominator_sumw	campaign_sumw_fraction_of_process	cross_section_coefficient_pb_per_generator_weight	run2_luminosity_pb_inverse	run2_yield_coefficient_per_generator_weight	analytical_campaign_run2_yield_contribution	analytical_campaign_physical_weight_sum_squared	coefficient_construction_authorized	candidate_physical_weight_application_authorized	selected_physical_yield_calculation_authorized
background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1	1	10000	3535.720109939575	1250.1316695831122	0.3539400100708008	21181.580424308777	0.16692428228263127	0.000016709801770249681	138000.0	2.3059526442944560	8153.2031370002478	6647.4721393190690	True	False	False
background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2	5	50000	17645.8603143692	6227.563237190274	0.3539400100708008	21181.580424308777	0.83307571771736863	0.000016709801770249681	138000.0	2.3059526442944560	40690.518252770258	33114.554348403214	True	False	False
background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	1	10000	848.7270027399063	72.0337525179865	0.08497805148363113	3397.50699698925	0.24980875786040118	0.000025011884172405137	138000.0	3.4516400157919089	2929.5000851401897	858.19707488363798	True	False	False
background	ttz_zbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	3	30000	2548.779994249344	216.54326261656087	0.08497805148363113	3397.50699698925	0.75019124213959891	0.000025011884172405137	138000.0	3.4516400157919089	8797.4710196009073	2579.8571928748176	True	False	False
background	tw_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	1	10000	279978.5041809082	7838796.280337883	28.00627994537354	1961350.0022888184	0.14274785420969449	0.000014279083239957841	138000.0	1.9705134871141821	551701.41859053402	30437445.527480763	True	False	False
background	tw_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	6	60000	1681371.4981079102	47116897.70802695	28.00627994537354	1961350.0022888184	0.85725214579030551	0.000014279083239957841	138000.0	1.9705134871141821	3313165.2138710145	182951304.78249109	True	False	False
background	tw_top	unified_background_5m_single_top_pilot50k_20260722_v1	1	10000	280492.8970336914	7867626.528635301	28.04204940795898	1962216.3009643555	0.14294698137806708	0.000014291008281899079	138000.0	1.9721591429020729	553176.63140408421	30600438.553157007	True	False	False
background	tw_top	unified_background_5m_single_top_scaleout280k_20260722_v1	6	60000	1681723.403930664	47136574.29033199	28.04204940795898	1962216.3009643555	0.85705301862193287	0.000014291008281899079	138000.0	1.9721591429020729	3316626.1868942548	183333542.83249379	True	False	False
background	vbf_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	1	10000	27932.138442993164	78020.43579985366	1.62631600768	139642.37689971924	0.20002623174376319	0.000011646292792967131	138000.0	1.6071884054294641	44892.209044429218	201531.04328887325	True	False	False
background	vbf_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	4	40000	111710.23845672607	311981.044614032	1.62631600768	139642.37689971924	0.79997376825623677	0.000011646292792967131	138000.0	1.6071884054294641	179539.40001541077	805864.06321427277	True	False	False
