process,analysis_use,format,detector_version,path,filename,size_GB,n_entries_or_rows
Zbbbb,ml_enrichment_not_inclusive_physics_yield,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_ak4ak8_extra50k_v1_shard003_event_summary.parquet,zbbbb_ak4ak8_extra50k_v1_shard003_event_summary.parquet,0.000245219,10000.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_ak4ak8_extra50k_v1_shard003_hh4b_candidates.parquet,zbbbb_ak4ak8_extra50k_v1_shard003_hh4b_candidates.parquet,4.248e-05,326.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_ak4ak8_extra50k_v1_shard004_event_summary.parquet,zbbbb_ak4ak8_extra50k_v1_shard004_event_summary.parquet,0.000245115,10000.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_ak4ak8_extra50k_v1_shard004_hh4b_candidates.parquet,zbbbb_ak4ak8_extra50k_v1_shard004_hh4b_candidates.parquet,4.1789e-05,319.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_ak4ak8_smoke10k_hh4b_candidates.parquet,zbbbb_ak4ak8_smoke10k_hh4b_candidates.parquet,4.2161e-05,323.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_merged_event_summary.parquet,zbbbb_presel_100k_merged_event_summary.parquet,0.001959588,100000.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_merged_hh4b_candidates.parquet,zbbbb_presel_100k_merged_hh4b_candidates.parquet,0.000362505,3469.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard000_event_summary.parquet,zbbbb_presel_100k_shard000_event_summary.parquet,0.000245303,10000.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard000_hh4b_candidates.parquet,zbbbb_presel_100k_shard000_hh4b_candidates.parquet,4.4042e-05,343.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard001_event_summary.parquet,zbbbb_presel_100k_shard001_event_summary.parquet,0.000245467,10000.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard001_hh4b_candidates.parquet,zbbbb_presel_100k_shard001_hh4b_candidates.parquet,4.4653e-05,349.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard002_event_summary.parquet,zbbbb_presel_100k_shard002_event_summary.parquet,0.000245278,10000.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard002_hh4b_candidates.parquet,zbbbb_presel_100k_shard002_hh4b_candidates.parquet,4.539e-05,356.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard003_event_summary.parquet,zbbbb_presel_100k_shard003_event_summary.parquet,0.000245392,10000.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard003_hh4b_candidates.parquet,zbbbb_presel_100k_shard003_hh4b_candidates.parquet,4.2528e-05,327.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard004_event_summary.parquet,zbbbb_presel_100k_shard004_event_summary.parquet,0.000245243,10000.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard004_hh4b_candidates.parquet,zbbbb_presel_100k_shard004_hh4b_candidates.parquet,4.1293e-05,314.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard005_event_summary.parquet,zbbbb_presel_100k_shard005_event_summary.parquet,0.00024537,10000.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard005_hh4b_candidates.parquet,zbbbb_presel_100k_shard005_hh4b_candidates.parquet,4.6431e-05,367.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard006_event_summary.parquet,zbbbb_presel_100k_shard006_event_summary.parquet,0.000245401,10000.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard006_hh4b_candidates.parquet,zbbbb_presel_100k_shard006_hh4b_candidates.parquet,4.3979e-05,342.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard007_event_summary.parquet,zbbbb_presel_100k_shard007_event_summary.parquet,0.000245211,10000.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard007_hh4b_candidates.parquet,zbbbb_presel_100k_shard007_hh4b_candidates.parquet,4.5459e-05,357.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard008_event_summary.parquet,zbbbb_presel_100k_shard008_event_summary.parquet,0.000245389,10000.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard008_hh4b_candidates.parquet,zbbbb_presel_100k_shard008_hh4b_candidates.parquet,4.4499e-05,347.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard009_event_summary.parquet,zbbbb_presel_100k_shard009_event_summary.parquet,0.000245406,10000.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard009_hh4b_candidates.parquet,zbbbb_presel_100k_shard009_hh4b_candidates.parquet,4.3032e-05,332.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_10k_event_summary.parquet,zbbbb_presel_10k_event_summary.parquet,0.000245051,10000.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_10k_hh4b_candidates.parquet,zbbbb_presel_10k_hh4b_candidates.parquet,4.3227e-05,335.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_1k_event_summary.parquet,zbbbb_presel_1k_event_summary.parquet,3.3518e-05,1000.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_1k_hh4b_candidates.parquet,zbbbb_presel_1k_hh4b_candidates.parquet,1.3569e-05,35.0
ZH_4b,validation,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zh4b_ak4ak8_pilot10k_event_summary.parquet,zh4b_ak4ak8_pilot10k_event_summary.parquet,0.000244037,10000.0
ZH_4b,validation,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zh4b_ak4ak8_pilot10k_hh4b_candidates.parquet,zh4b_ak4ak8_pilot10k_hh4b_candidates.parquet,4.6199e-05,365.0
ZZ_4b,validation,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zz4b_ak4ak8_pilot10k_event_summary.parquet,zz4b_ak4ak8_pilot10k_event_summary.parquet,0.000243063,10000.0
ZZ_4b,validation,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zz4b_ak4ak8_pilot10k_hh4b_candidates.parquet,zz4b_ak4ak8_pilot10k_hh4b_candidates.parquet,2.3246e-05,132.0
ggF_HH_4b,signal_pilot_physics_and_ml,parquet,run2_frozen_v2,/uscms_data/d3/iturkmen/hh4b_delphes/parquet_run2_frozen_v2_smoke/ggf_hh4b_ak4ak8_run2_frozen_v2_10k_candidates.parquet,ggf_hh4b_ak4ak8_run2_frozen_v2_10k_candidates.parquet,7.1872e-05,617.0
ttbar,physics_pilot_and_ml_pending_generator_review,parquet,run2_frozen_v2,/uscms_data/d3/iturkmen/hh4b_delphes/parquet_run2_frozen_v2_smoke/ttbar_ak4ak8_run2_frozen_v2_shard000_10k_candidates.parquet,ttbar_ak4ak8_run2_frozen_v2_shard000_10k_candidates.parquet,1.4093e-05,39.0
ggF_HH_4b,signal_pilot_physics_and_ml,text,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/HH4b_ggf_hh4b_10k_transfer_cluster_84730223_merged_10k_summary.txt,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_merged_10k_summary.txt,1.496e-06,
ggF_HH_4b,signal_pilot_physics_and_ml,csv,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_diagnostic.csv,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_diagnostic.csv,3.4134e-05,
ggF_HH_4b,signal_pilot_physics_and_ml,text,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_final_status.txt,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_final_status.txt,4.8e-08,
ggF_HH_4b,signal_pilot_physics_and_ml,json,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_metadata.json,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_metadata.json,3.77e-07,
ggF_HH_4b,signal_pilot_physics_and_ml,csv,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_1_1000_diagnostic.csv,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_1_1000_diagnostic.csv,3.4126e-05,
ggF_HH_4b,signal_pilot_physics_and_ml,text,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_1_1000_final_status.txt,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_1_1000_final_status.txt,4.8e-08,
ggF_HH_4b,signal_pilot_physics_and_ml,json,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_1_1000_metadata.json,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_1_1000_metadata.json,3.77e-07,
ggF_HH_4b,signal_pilot_physics_and_ml,csv,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_2_1000_diagnostic.csv,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_2_1000_diagnostic.csv,3.414e-05,
ggF_HH_4b,signal_pilot_physics_and_ml,text,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_2_1000_final_status.txt,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_2_1000_final_status.txt,4.8e-08,
ggF_HH_4b,signal_pilot_physics_and_ml,json,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_2_1000_metadata.json,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_2_1000_metadata.json,3.77e-07,
ggF_HH_4b,signal_pilot_physics_and_ml,csv,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_3_1000_diagnostic.csv,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_3_1000_diagnostic.csv,3.4135e-05,
ggF_HH_4b,signal_pilot_physics_and_ml,text,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_3_1000_final_status.txt,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_3_1000_final_status.txt,4.8e-08,
ggF_HH_4b,signal_pilot_physics_and_ml,json,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_3_1000_metadata.json,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_3_1000_metadata.json,3.77e-07,
