seed,tail_region,analysis_sample,rows,expected_events_450fb,fraction_of_tail_background
2,top_0.2pct_background_tail,Zbbbb_100k,2,181.21537807633587,0.013754577539432523
2,top_0.2pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
2,top_0.2pct_background_tail,qcd_bbbb_iht200to400_combined120k,6,8026.393757766583,0.6092179177901362
2,top_0.2pct_background_tail,qcd_bbbb_iht400to600_20000,2,1246.5691002536175,0.09461686712082655
2,top_0.2pct_background_tail,qcd_bbbb_iht600plus_20000,3,349.7858957703889,0.026549387125120286
2,top_0.2pct_background_tail,ttbar_200k,1,3370.950005395072,0.25586125042448443
2,top_0.5pct_background_tail,Zbbbb_100k,6,543.6461342290075,0.021519343182686775
2,top_0.5pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
2,top_0.5pct_background_tail,qcd_bbbb_iht200to400_combined120k,12,16052.787515533162,0.6354233421992682
2,top_0.5pct_background_tail,qcd_bbbb_iht400to600_20000,7,4362.991850887662,0.17270189748643983
2,top_0.5pct_background_tail,qcd_bbbb_iht600plus_20000,8,932.762388721037,0.03692187378331526
2,top_0.5pct_background_tail,ttbar_200k,1,3370.950005395072,0.1334335433482897
2,top_1.0pct_background_tail,Zbbbb_100k,10,906.0768903816792,0.014089181057288586
2,top_1.0pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
2,top_1.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,25,33443.307324027424,0.5200318174369092
2,top_1.0pct_background_tail,qcd_bbbb_iht400to600_20000,13,8102.699151648512,0.12599415856663684
2,top_1.0pct_background_tail,qcd_bbbb_iht600plus_20000,14,1632.3341802618152,0.0253822297597962
2,top_1.0pct_background_tail,ttbar_200k,6,20225.70003237043,0.31450261317936884
2,top_2.0pct_background_tail,Zbbbb_100k,21,1902.761469801527,0.014577215311566014
2,top_2.0pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
2,top_2.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,52,69562.07923397706,0.5329209270879702
2,top_2.0pct_background_tail,qcd_bbbb_iht400to600_20000,25,15582.11375317022,0.11937588120962382
2,top_2.0pct_background_tail,qcd_bbbb_iht600plus_20000,26,3031.47776334337,0.023224405565186415
2,top_2.0pct_background_tail,ttbar_200k,12,40451.40006474085,0.3099015708256536
2,top_5.0pct_background_tail,Zbbbb_100k,69,6251.930543633588,0.019564499491863195
2,top_5.0pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
2,top_5.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,152,203335.30853008677,0.6363080192030809
2,top_5.0pct_background_tail,qcd_bbbb_iht400to600_20000,55,34280.650256974484,0.1072762660833272
2,top_5.0pct_background_tail,qcd_bbbb_iht600plus_20000,42,4897.002540785445,0.015324451071903122
2,top_5.0pct_background_tail,ttbar_200k,21,70789.95011329651,0.2215267641498259
3,top_0.1pct_background_tail,Zbbbb_100k,1,90.3013232256974,0.013496975551289384
3,top_0.1pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
