seed,tail_region,analysis_sample,rows,expected_events_450fb,fraction_of_tail_background
5,top_5.0pct_background_tail,qcd_bbbb_iht600plus_20000,44,5192.302013728,0.01447669944663784
5,top_5.0pct_background_tail,ttbar_200k,19,64819.71335675344,0.18072436965375893
6,top_0.1pct_background_tail,qcd_bbbb_iht200to400_combined120k,2,2750.3093813499045,0.4223068997347449
6,top_0.1pct_background_tail,qcd_bbbb_iht600plus_20000,4,456.9078263500706,0.0701576807754382
6,top_0.1pct_background_tail,ttbar_200k,1,3305.367320465207,0.507535419489817
6,top_0.2pct_background_tail,qcd_bbbb_iht200to400_combined120k,3,4125.464072024857,0.3221494751923189
6,top_0.2pct_background_tail,qcd_bbbb_iht400to600_20000,2,1270.2681325778308,0.09919277082993089
6,top_0.2pct_background_tail,qcd_bbbb_iht600plus_20000,7,799.5886961126236,0.06243832798572005
6,top_0.2pct_background_tail,ttbar_200k,2,6610.734640930414,0.5162194259920302
6,top_0.5pct_background_tail,Zbbbb_100k,4,340.2116731719745,0.011672712318713856
6,top_0.5pct_background_tail,qcd_bbbb_iht200to400_combined120k,13,17877.01097877438,0.613362864149108
6,top_0.5pct_background_tail,qcd_bbbb_iht400to600_20000,5,3175.6703314445767,0.10895771403848707
6,top_0.5pct_background_tail,qcd_bbbb_iht600plus_20000,10,1142.2695658751766,0.03919143605088228
6,top_0.5pct_background_tail,ttbar_200k,2,6610.734640930414,0.2268152734428087
6,top_1.0pct_background_tail,Zbbbb_100k,9,765.4762646369426,0.014107372948526622
6,top_1.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,22,30253.403194848957,0.5575562059188157
6,top_1.0pct_background_tail,qcd_bbbb_iht400to600_20000,12,7621.608795466984,0.14046271937173588
6,top_1.0pct_background_tail,qcd_bbbb_iht600plus_20000,21,2398.7660883378708,0.04420814777387094
6,top_1.0pct_background_tail,ttbar_200k,4,13221.469281860827,0.2436655539870511
6,top_2.0pct_background_tail,Zbbbb_100k,21,1786.111284152866,0.014257965426425125
6,top_2.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,51,70132.88922442257,0.5598488283955875
6,top_2.0pct_background_tail,qcd_bbbb_iht400to600_20000,21,13337.815392067227,0.10647159133442859
6,top_2.0pct_background_tail,qcd_bbbb_iht600plus_20000,32,3655.2626108005647,0.02917881343211896
6,top_2.0pct_background_tail,ttbar_200k,11,36359.04052511728,0.2902428014114399
6,top_5.0pct_background_tail,Zbbbb_100k,76,6464.021790267517,0.021236418723396343
6,top_5.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,142,195271.9660758432,0.6415320633310909
6,top_5.0pct_background_tail,qcd_bbbb_iht400to600_20000,48,30486.435181867935,0.10015787754314412
6,top_5.0pct_background_tail,qcd_bbbb_iht600plus_20000,53,6054.0286991384355,0.019889457769454937
6,top_5.0pct_background_tail,ttbar_200k,20,66107.34640930414,0.21718418263291375
7,top_0.1pct_background_tail,qcd_bbbb_iht200to400_combined120k,2,2726.1753923945694,0.25524463561944
7,top_0.1pct_background_tail,qcd_bbbb_iht400to600_20000,2,1228.2372017204762,0.11499662049697257
7,top_0.1pct_background_tail,qcd_bbbb_iht600plus_20000,1,115.49012988311421,0.010813037268950153
7,top_0.1pct_background_tail,ttbar_200k,2,6610.734640930414,0.6189457066146373
7,top_0.2pct_background_tail,Zbbbb_100k,3,265.51731245070425,0.016756543191179536
7,top_0.2pct_background_tail,qcd_bbbb_iht200to400_combined120k,3,4089.2630885918543,0.2580694755141715
7,top_0.2pct_background_tail,qcd_bbbb_iht400to600_20000,2,1228.2372017204762,0.07751287300131779
7,top_0.2pct_background_tail,qcd_bbbb_iht600plus_20000,3,346.4703896493426,0.02186541433038151
7,top_0.2pct_background_tail,ttbar_200k,3,9916.10196139562,0.6257956939629498
7,top_0.5pct_background_tail,Zbbbb_100k,8,708.0461665352113,0.01970562067871413
7,top_0.5pct_background_tail,qcd_bbbb_iht200to400_combined120k,14,19083.227746761986,0.5311049830879966
7,top_0.5pct_background_tail,qcd_bbbb_iht400to600_20000,4,2456.4744034409523,0.0683660968578533
7,top_0.5pct_background_tail,qcd_bbbb_iht600plus_20000,4,461.96051953245683,0.012856815270951118
