pthat	qcd_rows	qcd_sources	qcd_yield	qcd_sumw2	variant	target_epsilon_S	score_threshold
700to1000	59	2	19660.061136859837	6551191.103584527	global_mass_aware	0.25	0.7988056540489197
75to100	22	18	15554029.115761586	10996957625534.367	global_mass_aware	0.25	0.7988056540489197
unavailable	147	2	6024.647737473016	246919.16625496896	global_mass_aware	0.25	0.7988056540489197
100to200	8	7	3629503.0734245316	1646713226521.63	global_mass_aware	0.1	0.8810206055641174
200to300	2	2	364924.64163890947	66585645647.081505	global_mass_aware	0.1	0.8810206055641174
300to500	4	2	124597.43959148471	3881133605.656327	global_mass_aware	0.1	0.8810206055641174
500to700	8	3	16870.028028295263	35575448.96459046	global_mass_aware	0.1	0.8810206055641174
700to1000	4	2	1334.2320291517017	445045.74843691825	global_mass_aware	0.1	0.8810206055641174
75to100	5	5	3535102.225073559	2499453411446.001	global_mass_aware	0.1	0.8810206055641174
unavailable	16	2	655.0253033043911	26816.645918862137	global_mass_aware	0.1	0.8810206055641174
