process_or_mode	configuration_fingerprint_sha256	campaign_count	campaigns	candidate_equivalence_group_id	all_members_same_process_label	configuration_equivalence_authorized	normalization_metadata_sharing_authorized	status
tttt	37b469baddc38969452e4993085396e496d5b781dab21fec54db3d6651b371c2	1	unified_background_5m_waveb_priority_scale400k_20260721_v1	tttt__37b469baddc3	True	False	False	single_campaign_configuration_group
tttt	5cadc293c44781ce6fd834a46a65c88c9ab329b3edfb4379761cf635c8c5a6ae	1	unified_background_5m_waveb_priority_pilots10k_20260721_v1	tttt__5cadc293c447	True	False	False	single_campaign_configuration_group
ttw	170fed8d92047efe497e7ea29767a4d56e511a1e8e0916ecd1a877e716e719b5	1	unified_background_5m_wavec1_scaleout180k_20260721_v2	ttw__170fed8d9204	True	False	False	single_campaign_configuration_group
ttw	73e2da1e25e14cae117b963fc3b3963ff9996ec8195e408c5e3b67fabe0ed8a7	1	unified_background_5m_wavec1_pilot40k_20260721_v1	ttw__73e2da1e25e1	True	False	False	single_campaign_configuration_group
ttz_zbb	233ea22b1da4cf15c7e6fc4d1d28900fadc9d67cd3d28d3bd3e286c0155a263b	1	unified_background_5m_waveb_priority_pilots10k_20260721_v1	ttz_zbb__233ea22b1da4	True	False	False	single_campaign_configuration_group
ttz_zbb	d3112a9be7b4f62179c3e8ee831c352541d001ba90dbb0b1a42b8f5d627dfe37	1	unified_background_5m_waveb_priority_scale400k_20260721_v1	ttz_zbb__d3112a9be7b4	True	False	False	single_campaign_configuration_group
tw_antitop	d2b5bd7262444ed3bfe1f94341434e7b5cec5d0c27a54ea26c20f73d586c816d	1	unified_background_5m_single_top_scaleout280k_20260722_v1	tw_antitop__d2b5bd726244	True	False	False	single_campaign_configuration_group
tw_antitop	d9eb920706d0b3e93c17642fe2440d7e7f7cf9b2d96d424b564c1f498b1c13e6	1	unified_background_5m_single_top_pilot50k_20260722_v1	tw_antitop__d9eb920706d0	True	False	False	single_campaign_configuration_group
tw_top	55c7033283b839adbc6a853006efd542a06b99a530486b711f26bd93db176314	1	unified_background_5m_single_top_scaleout280k_20260722_v1	tw_top__55c7033283b8	True	False	False	single_campaign_configuration_group
tw_top	f791cf5d19ba685fb55eb896c25f2d565ca6096b477398d655e93b501aca9d4a	1	unified_background_5m_single_top_pilot50k_20260722_v1	tw_top__f791cf5d19ba	True	False	False	single_campaign_configuration_group
vbf_hbb	9ea5258f25c29d6381c2c4677f850050a0c1ca808fbf68bfba08364c57db1aa6	1	unified_background_5m_waveb_priority_pilots10k_20260721_v1	vbf_hbb__9ea5258f25c2	True	False	False	single_campaign_configuration_group
vbf_hbb	dfd91de0b1ad11b00e0ff4f5c4f3f6eb713677c51c9735df0f82bb62cfdaaa7b	1	unified_background_5m_waveb_priority_scale400k_20260721_v1	vbf_hbb__dfd91de0b1ad	True	False	False	single_campaign_configuration_group
vbf_hh4b	b51d02c280d29abf1c9206c5c37aaee77f69c130296798eb154d0ea9b4a74c37	1	vbf_hh4b_sm_scaleout90k_20260722_v1	vbf_hh4b__b51d02c280d2	True	False	False	single_campaign_configuration_group
vbf_hh4b	d36603cf8208dddf755b5efc458b65e98228689c2466082206f30aebcf798c2f	1	vbf_hh4b_sm_pilot10k_20260722_v1	vbf_hh4b__d36603cf8208	True	False	False	single_campaign_configuration_group
wh_hbb	abd61c03ab55f61d0b6736069b5a7060a0b0c995358746531c5b7b2cf1142af0	1	unified_background_5m_wavec1_pilot40k_20260721_v1	wh_hbb__abd61c03ab55	True	False	False	single_campaign_configuration_group
wh_hbb	c7c5786321f0407e33e1a28e9fd2c43aa71ef853517058beb3d2d94bd35453e4	1	unified_background_5m_wavec1_scaleout180k_20260721_v2	wh_hbb__c7c5786321f0	True	False	False	single_campaign_configuration_group
ww	45712573b8f9a164707e9388aac3f6fac6c7d6371db7c6aa2daf33a8580be8c3	1	unified_background_5m_wavec1_scaleout180k_20260721_v2	ww__45712573b8f9	True	False	False	single_campaign_configuration_group
ww	de78882fc20b492325e41d42a7716b44d2755e60cc600083cf11c14859c24e59	1	unified_background_5m_wavec1_pilot40k_20260721_v1	ww__de78882fc20b	True	False	False	single_campaign_configuration_group
wwz_zbb	7c5fa3ace6d6af6a0677849dbecc25a8c528ef1d05ddfb3f2edd2905dc1f7aca	1	final_background_triboson_zbb_scaleout40k_20260722_v1	wwz_zbb__7c5fa3ace6d6	True	False	False	single_campaign_configuration_group
wwz_zbb	c058b781786fff63cb9f2f402f7d083bc6e57f80804ae429eb0998489ca02f61	1	final_background_triboson_zbb_pilot10k_20260722_v1	wwz_zbb__c058b781786f	True	False	False	single_campaign_configuration_group
wz_zbb	f49e44d024bc0fa2e3531d01a6e93110c203ac6789dff06640a4f04a48e28c9d	1	unified_background_5m_wavec1_scaleout180k_20260721_v2	wz_zbb__f49e44d024bc	True	False	False	single_campaign_configuration_group
wz_zbb	fda05416224183ee9b570db7ea07d2ca8b9a46b645fd225171df22410e62b041	1	unified_background_5m_wavec1_pilot40k_20260721_v1	wz_zbb__fda054162241	True	False	False	single_campaign_configuration_group
wzz_zbb	0dc28f5b75c9a09c050f41abbae5a495addf9033104240d7ea51f0c523bf22d4	1	final_background_triboson_zbb_pilot10k_20260722_v1	wzz_zbb__0dc28f5b75c9	True	False	False	single_campaign_configuration_group
wzz_zbb	7600915cfb1ddede3d43b92325ab3613121f583a486421d55e42ebb3f69fa226	1	final_background_triboson_zbb_scaleout40k_20260722_v1	wzz_zbb__7600915cfb1d	True	False	False	single_campaign_configuration_group
zbbbb	5131848221b302ac0e6bfb8af0c3de85a8eb257cf44d4ba52e4d2e86b95c7fb8	1	unified_background_5m_wavea_proven111_20260720_v1	zbbbb__5131848221b3	True	False	False	single_campaign_configuration_group
zbbbb	79f7177d78400bc92a152406e87c9b57422ebfb0b13695712ee4bec8c369cd94	1	unified_background_5m_wavea_zbbbb_remaining15_20260721_v1	zbbbb__79f7177d7840	True	False	False	single_campaign_configuration_group
zbbbb	fda21bb859f8f4a0e0135bda22048fdbf8c9eaf7756bdd3edac18cbc1382662f	1	unified_background_5m_wavea_pilots_20260720_retry1	zbbbb__fda21bb859f8	True	False	False	single_campaign_configuration_group
zzz_zbb	6029f27391589b9dcfb790f1477b4f2713ed06efc802cb34c1ff8282c9c8d84a	1	final_background_triboson_zbb_pilot10k_20260722_v1	zzz_zbb__6029f2739158	True	False	False	single_campaign_configuration_group
zzz_zbb	7b4e6b4808f0f79ddc57bed467e1208419154c7aaf6596de1bc3530a17cb4494	1	final_background_triboson_zbb_scaleout40k_20260722_v1	zzz_zbb__7b4e6b4808f0	True	False	False	single_campaign_configuration_group
