sample_class	process_or_mode	campaign	field	blocking_for_physical_weight	required_next_action
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	ttz_zbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	ttz_zbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	ttz_zbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	ttz_zbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	tw_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	tw_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	tw_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	tw_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	tw_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	tw_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	tw_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	tw_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	tw_top	unified_background_5m_single_top_pilot50k_20260722_v1	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	tw_top	unified_background_5m_single_top_pilot50k_20260722_v1	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	tw_top	unified_background_5m_single_top_pilot50k_20260722_v1	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	tw_top	unified_background_5m_single_top_pilot50k_20260722_v1	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	tw_top	unified_background_5m_single_top_scaleout280k_20260722_v1	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	tw_top	unified_background_5m_single_top_scaleout280k_20260722_v1	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	tw_top	unified_background_5m_single_top_scaleout280k_20260722_v1	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	tw_top	unified_background_5m_single_top_scaleout280k_20260722_v1	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	vbf_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	vbf_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	vbf_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	vbf_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	vbf_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	vbf_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	vbf_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	vbf_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	wh_hbb	unified_background_5m_wavec1_pilot40k_20260721_v1	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	wh_hbb	unified_background_5m_wavec1_pilot40k_20260721_v1	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	wh_hbb	unified_background_5m_wavec1_pilot40k_20260721_v1	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	wh_hbb	unified_background_5m_wavec1_pilot40k_20260721_v1	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	wh_hbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	wh_hbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	wh_hbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	wh_hbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	ww	unified_background_5m_wavec1_pilot40k_20260721_v1	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	ww	unified_background_5m_wavec1_pilot40k_20260721_v1	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	ww	unified_background_5m_wavec1_pilot40k_20260721_v1	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	ww	unified_background_5m_wavec1_pilot40k_20260721_v1	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	ww	unified_background_5m_wavec1_scaleout180k_20260721_v2	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	ww	unified_background_5m_wavec1_scaleout180k_20260721_v2	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	ww	unified_background_5m_wavec1_scaleout180k_20260721_v2	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	ww	unified_background_5m_wavec1_scaleout180k_20260721_v2	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	wwz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	wwz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	wwz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	wwz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	wz_zbb	unified_background_5m_wavec1_pilot40k_20260721_v1	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	wz_zbb	unified_background_5m_wavec1_pilot40k_20260721_v1	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	wz_zbb	unified_background_5m_wavec1_pilot40k_20260721_v1	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	wz_zbb	unified_background_5m_wavec1_pilot40k_20260721_v1	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	wz_zbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	wz_zbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	wz_zbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	wz_zbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	wzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	wzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	wzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	wzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
