sample_class	process_or_mode	campaign	manifest_generated_events	representative_run_nevents	event_norm_settings	c1_generated_event_candidates	c1_sumw_candidates	denominator_strategy_candidate	normalization_denominator_authorized	status
background	vbf_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	40000	10000		10000,23		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	wh_hbb	unified_background_5m_wavec1_pilot40k_20260721_v1	10000	10000		10000,23		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	wh_hbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	50000	10000		10000,23		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	ww	unified_background_5m_wavec1_pilot40k_20260721_v1	10000	10000		10000,23		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	ww	unified_background_5m_wavec1_scaleout180k_20260721_v2	30000	10000		10000,23		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	wwz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	5200	46800		23,46800,5200		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	20800	46800		23,46800,5200		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	wz_zbb	unified_background_5m_wavec1_pilot40k_20260721_v1	10000	10000		10000,23		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	wz_zbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	50000	10000		10000,23		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	wzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	3300	19800		19800,23,3300		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	13200	19800		19800,23,3300		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	zbbbb	unified_background_5m_wavea_pilots_20260720_retry1	10000	10000		10000,23		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	zbbbb	unified_background_5m_wavea_proven111_20260720_v1	90000	10000		10000,23		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	zbbbb	unified_background_5m_wavea_zbbbb_remaining15_20260721_v1	150000	10000		10000,23		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	zzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	1500	7500		1500,23,7500		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	zzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	6000	7500		1500,23,7500		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	20000			1000		nonstandard_generation_requires_explicit_weight_denominator_recovery	False	weight_strategy_review_pending
signal	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	80000			1000		nonstandard_generation_requires_explicit_weight_denominator_recovery	False	weight_strategy_review_pending
signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	10000	10000		10000,23		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
signal	vbf_hh4b	vbf_hh4b_sm_scaleout90k_20260722_v1	90000	10000		10000,23		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
