sample_class	process_or_mode	campaign	command_kind	command	source_archive_path	source_member_name	source_line	status
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	definition	define l- = e- mu-	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	40	source_aware_proc_card_command
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	definition	define vl = ve vm vt	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	41	source_aware_proc_card_command
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	definition	define vl~ = ve~ vm~ vt~	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	42	source_aware_proc_card_command
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	definition	define p = g u c d s u~ c~ d~ s~	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	43	source_aware_proc_card_command
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	definition	define j = g u c d s u~ c~ d~ s~	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	44	source_aware_proc_card_command
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	generate	generate p p > b b~ h QCD=2 QED=1	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	45	source_aware_proc_card_command
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	import_model	import model loop_sm	background/ggh_hbb/ggh_hbb_pilot10k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	38	source_aware_proc_card_command
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	definition	define p = g u c d s u~ c~ d~ s~	background/ggh_hbb/ggh_hbb_pilot10k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	39	source_aware_proc_card_command
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	definition	define j = g u c d s u~ c~ d~ s~	background/ggh_hbb/ggh_hbb_pilot10k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	40	source_aware_proc_card_command
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	definition	define l+ = e+ mu+	background/ggh_hbb/ggh_hbb_pilot10k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	41	source_aware_proc_card_command
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	definition	define l- = e- mu-	background/ggh_hbb/ggh_hbb_pilot10k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	42	source_aware_proc_card_command
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	definition	define vl = ve vm vt	background/ggh_hbb/ggh_hbb_pilot10k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	43	source_aware_proc_card_command
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	definition	define vl~ = ve~ vm~ vt~	background/ggh_hbb/ggh_hbb_pilot10k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	44	source_aware_proc_card_command
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	generate	generate g g > h [noborn=QCD]	background/ggh_hbb/ggh_hbb_pilot10k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	45	source_aware_proc_card_command
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	import_model	import model loop_sm	background/ggh_hbb/ggh_hbb_scaleout90k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	38	source_aware_proc_card_command
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	definition	define p = g u c d s u~ c~ d~ s~	background/ggh_hbb/ggh_hbb_scaleout90k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	39	source_aware_proc_card_command
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	definition	define j = g u c d s u~ c~ d~ s~	background/ggh_hbb/ggh_hbb_scaleout90k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	40	source_aware_proc_card_command
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	definition	define l+ = e+ mu+	background/ggh_hbb/ggh_hbb_scaleout90k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	41	source_aware_proc_card_command
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	definition	define l- = e- mu-	background/ggh_hbb/ggh_hbb_scaleout90k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	42	source_aware_proc_card_command
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	definition	define vl = ve vm vt	background/ggh_hbb/ggh_hbb_scaleout90k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	43	source_aware_proc_card_command
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	definition	define vl~ = ve~ vm~ vt~	background/ggh_hbb/ggh_hbb_scaleout90k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	44	source_aware_proc_card_command
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	generate	generate g g > h [noborn=QCD]	background/ggh_hbb/ggh_hbb_scaleout90k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	45	source_aware_proc_card_command
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	import_model	import model sm	background/qcd_bbbb_general/unified_background_5m_wavea_pilots_20260720_retry1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	36	source_aware_proc_card_command
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	definition	define j = g u c d s u~ c~ d~ s~	background/qcd_bbbb_general/unified_background_5m_wavea_pilots_20260720_retry1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	37	source_aware_proc_card_command
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	definition	define l+ = e+ mu+	background/qcd_bbbb_general/unified_background_5m_wavea_pilots_20260720_retry1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	38	source_aware_proc_card_command
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	definition	define l- = e- mu-	background/qcd_bbbb_general/unified_background_5m_wavea_pilots_20260720_retry1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	39	source_aware_proc_card_command
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	definition	define vl = ve vm vt	background/qcd_bbbb_general/unified_background_5m_wavea_pilots_20260720_retry1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	40	source_aware_proc_card_command
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	definition	define vl~ = ve~ vm~ vt~	background/qcd_bbbb_general/unified_background_5m_wavea_pilots_20260720_retry1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	41	source_aware_proc_card_command
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	definition	define p = g u c d s u~ c~ d~ s~	background/qcd_bbbb_general/unified_background_5m_wavea_pilots_20260720_retry1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	42	source_aware_proc_card_command
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	generate	generate p p > b b~ b b~ QED=0	background/qcd_bbbb_general/unified_background_5m_wavea_pilots_20260720_retry1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	43	source_aware_proc_card_command
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	import_model	import model sm	background/qcd_bbbb_general/unified_background_5m_wavea_proven111_20260720_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	36	source_aware_proc_card_command
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	definition	define j = g u c d s u~ c~ d~ s~	background/qcd_bbbb_general/unified_background_5m_wavea_proven111_20260720_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	37	source_aware_proc_card_command
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	definition	define l+ = e+ mu+	background/qcd_bbbb_general/unified_background_5m_wavea_proven111_20260720_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	38	source_aware_proc_card_command
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	definition	define l- = e- mu-	background/qcd_bbbb_general/unified_background_5m_wavea_proven111_20260720_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	39	source_aware_proc_card_command
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	definition	define vl = ve vm vt	background/qcd_bbbb_general/unified_background_5m_wavea_proven111_20260720_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	40	source_aware_proc_card_command
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	definition	define vl~ = ve~ vm~ vt~	background/qcd_bbbb_general/unified_background_5m_wavea_proven111_20260720_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	41	source_aware_proc_card_command
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	definition	define p = g u c d s u~ c~ d~ s~	background/qcd_bbbb_general/unified_background_5m_wavea_proven111_20260720_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	42	source_aware_proc_card_command
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	generate	generate p p > b b~ b b~ QED=0	background/qcd_bbbb_general/unified_background_5m_wavea_proven111_20260720_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	43	source_aware_proc_card_command
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	import_model	import model sm	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_pilots_20260720_retry1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	36	source_aware_proc_card_command
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	definition	define j = g u c d s u~ c~ d~ s~	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_pilots_20260720_retry1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	37	source_aware_proc_card_command
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	definition	define l+ = e+ mu+	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_pilots_20260720_retry1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	38	source_aware_proc_card_command
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	definition	define l- = e- mu-	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_pilots_20260720_retry1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	39	source_aware_proc_card_command
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	definition	define vl = ve vm vt	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_pilots_20260720_retry1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	40	source_aware_proc_card_command
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	definition	define vl~ = ve~ vm~ vt~	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_pilots_20260720_retry1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	41	source_aware_proc_card_command
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	definition	define p = g u c d s u~ c~ d~ s~	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_pilots_20260720_retry1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	42	source_aware_proc_card_command
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	generate	generate p p > b b~ b b~ QED=0	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_pilots_20260720_retry1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	43	source_aware_proc_card_command
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	import_model	import model sm	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_proven111_20260720_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	36	source_aware_proc_card_command
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	definition	define j = g u c d s u~ c~ d~ s~	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_proven111_20260720_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	37	source_aware_proc_card_command
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	definition	define l+ = e+ mu+	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_proven111_20260720_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	38	source_aware_proc_card_command
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	definition	define l- = e- mu-	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_proven111_20260720_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	39	source_aware_proc_card_command
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	definition	define vl = ve vm vt	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_proven111_20260720_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	40	source_aware_proc_card_command
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	definition	define vl~ = ve~ vm~ vt~	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_proven111_20260720_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	41	source_aware_proc_card_command
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	definition	define p = g u c d s u~ c~ d~ s~	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_proven111_20260720_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	42	source_aware_proc_card_command
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	generate	generate p p > b b~ b b~ QED=0	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_proven111_20260720_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	43	source_aware_proc_card_command
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	import_model	import model sm-no_b_mass	background/schannel_single_top/unified_background_5m_single_top_pilot50k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	37	source_aware_proc_card_command
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	definition	define j = g u c d s u~ c~ d~ s~	background/schannel_single_top/unified_background_5m_single_top_pilot50k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	38	source_aware_proc_card_command
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	definition	define l+ = e+ mu+	background/schannel_single_top/unified_background_5m_single_top_pilot50k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	39	source_aware_proc_card_command
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	definition	define l- = e- mu-	background/schannel_single_top/unified_background_5m_single_top_pilot50k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	40	source_aware_proc_card_command
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	definition	define vl = ve vm vt	background/schannel_single_top/unified_background_5m_single_top_pilot50k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	41	source_aware_proc_card_command
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	definition	define vl~ = ve~ vm~ vt~	background/schannel_single_top/unified_background_5m_single_top_pilot50k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	42	source_aware_proc_card_command
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	definition	define p = 21 2 4 1 3 -2 -4 -1 -3 5 -5 # pass to 5 flavors	background/schannel_single_top/unified_background_5m_single_top_pilot50k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	43	source_aware_proc_card_command
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	definition	define j = p	background/schannel_single_top/unified_background_5m_single_top_pilot50k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	44	source_aware_proc_card_command
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	definition	define p = g u c d s u~ c~ d~ s~	background/schannel_single_top/unified_background_5m_single_top_pilot50k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	45	source_aware_proc_card_command
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	generate	generate p p > t b~ QCD=0	background/schannel_single_top/unified_background_5m_single_top_pilot50k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	46	source_aware_proc_card_command
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	add_process	add process p p > t~ b QCD=0	background/schannel_single_top/unified_background_5m_single_top_pilot50k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	47	source_aware_proc_card_command
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	import_model	import model sm-no_b_mass	background/schannel_single_top/unified_background_5m_single_top_scaleout280k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	37	source_aware_proc_card_command
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	definition	define j = g u c d s u~ c~ d~ s~	background/schannel_single_top/unified_background_5m_single_top_scaleout280k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	38	source_aware_proc_card_command
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	definition	define l+ = e+ mu+	background/schannel_single_top/unified_background_5m_single_top_scaleout280k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	39	source_aware_proc_card_command
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	definition	define l- = e- mu-	background/schannel_single_top/unified_background_5m_single_top_scaleout280k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	40	source_aware_proc_card_command
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	definition	define vl = ve vm vt	background/schannel_single_top/unified_background_5m_single_top_scaleout280k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	41	source_aware_proc_card_command
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	definition	define vl~ = ve~ vm~ vt~	background/schannel_single_top/unified_background_5m_single_top_scaleout280k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	42	source_aware_proc_card_command
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	definition	define p = 21 2 4 1 3 -2 -4 -1 -3 5 -5 # pass to 5 flavors	background/schannel_single_top/unified_background_5m_single_top_scaleout280k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	43	source_aware_proc_card_command
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	definition	define j = p	background/schannel_single_top/unified_background_5m_single_top_scaleout280k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	44	source_aware_proc_card_command
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	definition	define p = g u c d s u~ c~ d~ s~	background/schannel_single_top/unified_background_5m_single_top_scaleout280k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	45	source_aware_proc_card_command
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	generate	generate p p > t b~ QCD=0	background/schannel_single_top/unified_background_5m_single_top_scaleout280k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	46	source_aware_proc_card_command
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	add_process	add process p p > t~ b QCD=0	background/schannel_single_top/unified_background_5m_single_top_scaleout280k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	47	source_aware_proc_card_command
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	import_model	import model sm-no_b_mass	background/tchannel_antitop/unified_background_5m_single_top_pilot50k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	37	source_aware_proc_card_command
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	definition	define p = g u c d s u~ c~ d~ s~	background/tchannel_antitop/unified_background_5m_single_top_pilot50k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	38	source_aware_proc_card_command
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	definition	define l+ = e+ mu+	background/tchannel_antitop/unified_background_5m_single_top_pilot50k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	39	source_aware_proc_card_command
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	definition	define l- = e- mu-	background/tchannel_antitop/unified_background_5m_single_top_pilot50k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	40	source_aware_proc_card_command
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	definition	define vl = ve vm vt	background/tchannel_antitop/unified_background_5m_single_top_pilot50k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	41	source_aware_proc_card_command
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	definition	define vl~ = ve~ vm~ vt~	background/tchannel_antitop/unified_background_5m_single_top_pilot50k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	42	source_aware_proc_card_command
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	definition	define p = 21 2 4 1 3 -2 -4 -1 -3 5 -5 # pass to 5 flavors	background/tchannel_antitop/unified_background_5m_single_top_pilot50k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	43	source_aware_proc_card_command
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	definition	define j = p	background/tchannel_antitop/unified_background_5m_single_top_pilot50k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	44	source_aware_proc_card_command
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	definition	define p = g u c d s b u~ c~ d~ s~ b~	background/tchannel_antitop/unified_background_5m_single_top_pilot50k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	45	source_aware_proc_card_command
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	definition	define j = g u c d s u~ c~ d~ s~	background/tchannel_antitop/unified_background_5m_single_top_pilot50k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	46	source_aware_proc_card_command
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	generate	generate p p > t~ j $$ w+ w-	background/tchannel_antitop/unified_background_5m_single_top_pilot50k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	47	source_aware_proc_card_command
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	import_model	import model sm-no_b_mass	background/tchannel_antitop/unified_background_5m_single_top_scaleout280k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	37	source_aware_proc_card_command
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	definition	define p = g u c d s u~ c~ d~ s~	background/tchannel_antitop/unified_background_5m_single_top_scaleout280k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	38	source_aware_proc_card_command
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	definition	define l+ = e+ mu+	background/tchannel_antitop/unified_background_5m_single_top_scaleout280k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	39	source_aware_proc_card_command
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	definition	define l- = e- mu-	background/tchannel_antitop/unified_background_5m_single_top_scaleout280k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	40	source_aware_proc_card_command
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	definition	define vl = ve vm vt	background/tchannel_antitop/unified_background_5m_single_top_scaleout280k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	41	source_aware_proc_card_command
