sample_class	process_or_mode	campaign	standard_configuration_complete	beam_energy_candidate_located	process_definition_candidate_located	pythia_configuration_candidate_located	forced_decay_candidates	qcd_sampling_candidates	generator_xsec_candidate_located	sumw_candidate_located	campaign_equivalence_authorized	decay_convention_authorized	filter_efficiency_authorized	denominator_authorized	physical_weight_authorized	status
background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	ttz_zbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	tw_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	tw_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	tw_top	unified_background_5m_single_top_pilot50k_20260722_v1	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	tw_top	unified_background_5m_single_top_scaleout280k_20260722_v1	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	vbf_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	vbf_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	wh_hbb	unified_background_5m_wavec1_pilot40k_20260721_v1	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	wh_hbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	ww	unified_background_5m_wavec1_pilot40k_20260721_v1	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	ww	unified_background_5m_wavec1_scaleout180k_20260721_v2	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	wwz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	wz_zbb	unified_background_5m_wavec1_pilot40k_20260721_v1	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	wz_zbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	wzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	zbbbb	unified_background_5m_wavea_pilots_20260720_retry1	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	zbbbb	unified_background_5m_wavea_proven111_20260720_v1	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	zbbbb	unified_background_5m_wavea_zbbbb_remaining15_20260721_v1	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	zzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	zzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	False	False	False	False	0	0	False	False	False	False	False	False	False	configuration_review_complete_freeze_pending
signal	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	False	False	False	False	0	0	False	False	False	False	False	False	False	configuration_review_complete_freeze_pending
signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
signal	vbf_hh4b	vbf_hh4b_sm_scaleout90k_20260722_v1	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
