sample_class	process_or_mode	campaign	candidate_count	candidate_values_pb	c1_campaign_candidate_pb	generator_cross_section_authorized	external_reference_cross_section_authorized	branching_fraction_convention_authorized	filter_efficiency_convention_authorized	status
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	3	511.54477000000003,56420000000,318910000000	511.54477000000003	False	False	False	False	generator_candidates_conflict_require_review
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	3	0.33091300000000001,56420000000,316040000000	0.33091300000000001	False	False	False	False	generator_candidates_conflict_require_review
background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	3	0.32964500000000008,56420000000,319970000000	0.32964500000000008	False	False	False	False	generator_candidates_conflict_require_review
background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1	3	0.0091307495000000002,56420000000,317670000000	0.0091307495000000002	False	False	False	False	generator_candidates_conflict_require_review
background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	3	0.009185341599999999,56420000000,318030000000	0.009185341599999999	False	False	False	False	generator_candidates_conflict_require_review
background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1	3	0.353572,56420000000,318310000000	0.353572	False	False	False	False	generator_candidates_conflict_require_review
background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2	3	0.35267000000000004,56420000000,314510000000	0.35267000000000004	False	False	False	False	generator_candidates_conflict_require_review
background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	3	0.084872699999999995,56420000000,320170000000	0.084872699999999995	False	False	False	False	generator_candidates_conflict_require_review
background	ttz_zbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	3	0.08508339999999999,56420000000,318480000000	0.08508339999999999	False	False	False	False	generator_candidates_conflict_require_review
background	tw_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	3	27.99785,56420000000,319560000000	27.99785	False	False	False	False	generator_candidates_conflict_require_review
background	tw_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	3	28.014710000000001,56420000000,315370000000	28.014710000000001	False	False	False	False	generator_candidates_conflict_require_review
background	tw_top	unified_background_5m_single_top_pilot50k_20260722_v1	3	28.049290000000003,56420000000,318110000000	28.049290000000003	False	False	False	False	generator_candidates_conflict_require_review
background	tw_top	unified_background_5m_single_top_scaleout280k_20260722_v1	3	28.03481,56420000000,316250000000	28.03481	False	False	False	False	generator_candidates_conflict_require_review
background	vbf_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	3	2.7932139,56420000000,318550000000	2.7932139	False	False	False	False	generator_candidates_conflict_require_review
background	vbf_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	3	2.7916625000000002,56420000000,320230000000	2.7916625000000002	False	False	False	False	generator_candidates_conflict_require_review
background	wh_hbb	unified_background_5m_wavec1_pilot40k_20260721_v1	3	0.91303000000000001,56420000000,316350000000	0.91303000000000001	False	False	False	False	generator_candidates_conflict_require_review
background	wh_hbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	3	0.91473999999999989,56420000000,316330000000	0.91473999999999989	False	False	False	False	generator_candidates_conflict_require_review
background	ww	unified_background_5m_wavec1_pilot40k_20260721_v1	3	64.663899999999998,56420000000,315050000000	64.663899999999998	False	False	False	False	generator_candidates_conflict_require_review
background	ww	unified_background_5m_wavec1_scaleout180k_20260721_v2	3	64.749099999999999,56420000000,318980000000	64.749099999999999	False	False	False	False	generator_candidates_conflict_require_review
background	wwz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	3	0.095317398000000012,56420000000,317760000000	0.095317398000000012	False	False	False	False	generator_candidates_conflict_require_review
background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	3	0.095405567999999996,56420000000,318150000000	0.095405567999999996	False	False	False	False	generator_candidates_conflict_require_review
background	wz_zbb	unified_background_5m_wavec1_pilot40k_20260721_v1	3	3.55661,56420000000,316290000000	3.55661	False	False	False	False	generator_candidates_conflict_require_review
background	wz_zbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	3	3.5620500000000002,56420000000,318460000000	3.5620500000000002	False	False	False	False	generator_candidates_conflict_require_review
background	wzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	3	0.030554504499999999,56420000000,317280000000	0.030554504499999999	False	False	False	False	generator_candidates_conflict_require_review
background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	3	0.030473507899999999,56420000000,315840000000	0.030473507899999999	False	False	False	False	generator_candidates_conflict_require_review
background	zbbbb	unified_background_5m_wavea_pilots_20260720_retry1	3	6.8993019999999996,56420000000,315880000000	6.8993019999999996	False	False	False	False	generator_candidates_conflict_require_review
background	zbbbb	unified_background_5m_wavea_proven111_20260720_v1	3	6.913691,56420000000,317260000000	6.913691	False	False	False	False	generator_candidates_conflict_require_review
background	zbbbb	unified_background_5m_wavea_zbbbb_remaining15_20260721_v1	3	6.914809,56420000000,315880000000	6.914809	False	False	False	False	generator_candidates_conflict_require_review
background	zzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	3	0.010519189999999999,56420000000,316590000000	0.010519189999999999	False	False	False	False	generator_candidates_conflict_require_review
background	zzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	3	0.010468949999999999,56420000000,316710000000	0.010468949999999999	False	False	False	False	generator_candidates_conflict_require_review
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	0			False	False	False	False	generator_cross_section_not_located
signal	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	0			False	False	False	False	generator_cross_section_not_located
signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	3	0.0014259171300000002,56420000000,317330000000	0.0014259171300000002	False	False	False	False	generator_candidates_conflict_require_review
signal	vbf_hh4b	vbf_hh4b_sm_scaleout90k_20260722_v1	3	0.00142783188,56420000000,315420000000	0.00142783188	False	False	False	False	generator_candidates_conflict_require_review
