member_index	sample_class	stratum	candidate_rows	weight_eligibility	candidate_bearing_members_in_stratum	hierarchical_stratum_fraction	hierarchical_member_fraction	per_row_raw_weight	per_row_training_weight	aggregate_raw_weight	aggregate_training_weight	status
81	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
82	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
83	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
84	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
85	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
86	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
87	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
88	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
89	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
90	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
91	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
92	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
93	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
94	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
95	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
96	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
97	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
98	background	qcd_multijet	1	candidate_bearing_member	47	0.0625	0.0013297872340425532	0.0013297872340425532	70.69414893617022	0.0013297872340425532	70.69414893617022	pass
99	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
100	background	qcd_multijet	1	candidate_bearing_member	47	0.0625	0.0013297872340425532	0.0013297872340425532	70.69414893617022	0.0013297872340425532	70.69414893617022	pass
101	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
102	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
103	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
104	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
105	background	qcd_multijet	1	candidate_bearing_member	47	0.0625	0.0013297872340425532	0.0013297872340425532	70.69414893617022	0.0013297872340425532	70.69414893617022	pass
106	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
107	background	qcd_multijet	1	candidate_bearing_member	47	0.0625	0.0013297872340425532	0.0013297872340425532	70.69414893617022	0.0013297872340425532	70.69414893617022	pass
108	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
109	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
110	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
111	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
112	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
113	background	qcd_multijet	1	candidate_bearing_member	47	0.0625	0.0013297872340425532	0.0013297872340425532	70.69414893617022	0.0013297872340425532	70.69414893617022	pass
114	background	qcd_multijet	2	candidate_bearing_member	47	0.0625	0.0013297872340425532	0.0006648936170212766	35.34707446808511	0.0013297872340425532	70.69414893617022	pass
115	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
116	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
117	background	qcd_multijet	1	candidate_bearing_member	47	0.0625	0.0013297872340425532	0.0013297872340425532	70.69414893617022	0.0013297872340425532	70.69414893617022	pass
118	background	qcd_multijet	2	candidate_bearing_member	47	0.0625	0.0013297872340425532	0.0006648936170212766	35.34707446808511	0.0013297872340425532	70.69414893617022	pass
119	background	qcd_multijet	6	candidate_bearing_member	47	0.0625	0.0013297872340425532	0.00022163120567375886	11.782358156028371	0.0013297872340425532	70.69414893617022	pass
120	background	qcd_multijet	1	candidate_bearing_member	47	0.0625	0.0013297872340425532	0.0013297872340425532	70.69414893617022	0.0013297872340425532	70.69414893617022	pass
121	background	qcd_multijet	1	candidate_bearing_member	47	0.0625	0.0013297872340425532	0.0013297872340425532	70.69414893617022	0.0013297872340425532	70.69414893617022	pass
122	background	qcd_multijet	8	candidate_bearing_member	47	0.0625	0.0013297872340425532	0.00016622340425531914	8.836768617021278	0.0013297872340425532	70.69414893617022	pass
123	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
124	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
125	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
126	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
127	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
128	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
129	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
130	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
131	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
132	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
133	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
134	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
135	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
136	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
137	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
138	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
139	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
140	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
141	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
142	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
143	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
144	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
145	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
146	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
147	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
148	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
149	background	qcd_multijet	1	candidate_bearing_member	47	0.0625	0.0013297872340425532	0.0013297872340425532	70.69414893617022	0.0013297872340425532	70.69414893617022	pass
150	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
151	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
152	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
153	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
154	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
155	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
156	background	qcd_multijet	1	candidate_bearing_member	47	0.0625	0.0013297872340425532	0.0013297872340425532	70.69414893617022	0.0013297872340425532	70.69414893617022	pass
157	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
158	background	qcd_multijet	1	candidate_bearing_member	47	0.0625	0.0013297872340425532	0.0013297872340425532	70.69414893617022	0.0013297872340425532	70.69414893617022	pass
159	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
160	background	qcd_multijet	2	candidate_bearing_member	47	0.0625	0.0013297872340425532	0.0006648936170212766	35.34707446808511	0.0013297872340425532	70.69414893617022	pass
161	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
162	background	qcd_multijet	8	candidate_bearing_member	47	0.0625	0.0013297872340425532	0.00016622340425531914	8.836768617021278	0.0013297872340425532	70.69414893617022	pass
163	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
164	background	qcd_multijet	5	candidate_bearing_member	47	0.0625	0.0013297872340425532	0.00026595744680851064	14.138829787234044	0.0013297872340425532	70.69414893617022	pass
165	background	qcd_multijet	6	candidate_bearing_member	47	0.0625	0.0013297872340425532	0.00022163120567375886	11.782358156028371	0.0013297872340425532	70.69414893617022	pass
166	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
167	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
168	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
169	background	qcd_multijet	1	candidate_bearing_member	47	0.0625	0.0013297872340425532	0.0013297872340425532	70.69414893617022	0.0013297872340425532	70.69414893617022	pass
170	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
171	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
172	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
173	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
174	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
175	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
176	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
177	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
178	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
179	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
180	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
181	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
182	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
183	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
184	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
185	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
186	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
187	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
188	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
189	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
190	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
191	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
192	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
193	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
194	background	qcd_multijet	1	candidate_bearing_member	47	0.0625	0.0013297872340425532	0.0013297872340425532	70.69414893617022	0.0013297872340425532	70.69414893617022	pass
195	background	qcd_multijet	1	candidate_bearing_member	47	0.0625	0.0013297872340425532	0.0013297872340425532	70.69414893617022	0.0013297872340425532	70.69414893617022	pass
196	background	qcd_multijet	2	candidate_bearing_member	47	0.0625	0.0013297872340425532	0.0006648936170212766	35.34707446808511	0.0013297872340425532	70.69414893617022	pass
197	background	single_top	8	candidate_bearing_member	19	0.0625	0.003289473684210526	0.00041118421052631577	21.859375000000004	0.003289473684210526	174.87500000000003	pass
198	background	single_top	8	candidate_bearing_member	19	0.0625	0.003289473684210526	0.00041118421052631577	21.859375000000004	0.003289473684210526	174.87500000000003	pass
199	background	single_top	1	candidate_bearing_member	19	0.0625	0.003289473684210526	0.003289473684210526	174.87500000000003	0.003289473684210526	174.87500000000003	pass
200	background	single_top	2	candidate_bearing_member	19	0.0625	0.003289473684210526	0.001644736842105263	87.43750000000001	0.003289473684210526	174.87500000000003	pass
201	background	single_top	4	candidate_bearing_member	19	0.0625	0.003289473684210526	0.0008223684210526315	43.71875000000001	0.003289473684210526	174.87500000000003	pass
202	background	single_top	4	candidate_bearing_member	19	0.0625	0.003289473684210526	0.0008223684210526315	43.71875000000001	0.003289473684210526	174.87500000000003	pass
203	background	single_top	7	candidate_bearing_member	19	0.0625	0.003289473684210526	0.00046992481203007516	24.98214285714286	0.003289473684210526	174.87500000000003	pass
204	background	single_top	7	candidate_bearing_member	19	0.0625	0.003289473684210526	0.00046992481203007516	24.98214285714286	0.003289473684210526	174.87500000000003	pass
205	background	single_top	4	candidate_bearing_member	19	0.0625	0.003289473684210526	0.0008223684210526315	43.71875000000001	0.003289473684210526	174.87500000000003	pass
206	background	single_top	1	candidate_bearing_member	19	0.0625	0.003289473684210526	0.003289473684210526	174.87500000000003	0.003289473684210526	174.87500000000003	pass
207	background	single_top	0	no_candidate_rows_not_row_weightable	19	0.0625	0.0	0.0	0.0	0.0	0.0	pass
208	background	single_top	0	no_candidate_rows_not_row_weightable	19	0.0625	0.0	0.0	0.0	0.0	0.0	pass
209	background	single_top	18	candidate_bearing_member	19	0.0625	0.003289473684210526	0.0001827485380116959	9.715277777777779	0.003289473684210526	174.87500000000003	pass
210	background	single_top	17	candidate_bearing_member	19	0.0625	0.003289473684210526	0.00019349845201238389	10.286764705882355	0.003289473684210526	174.87500000000003	pass
211	background	single_top	15	candidate_bearing_member	19	0.0625	0.003289473684210526	0.00021929824561403506	11.658333333333335	0.003289473684210526	174.87500000000003	pass
