category	feature_order	feature	feature_origin	rows	finite_rows	nonfinite_rows	missing_rows	minimum	maximum	mean	standard_deviation	unique_values	constant	status
high_mhh	3	ht_selected_jets	frozen_bdt_v1	29162	29162	0	0	140.565561295	4855.97979355	647.165916116	330.371968152	29161	false	pass
high_mhh	4	ht_selected_bjets	frozen_bdt_v1	29162	29162	0	0	140.565561295	2635.76635742	475.926227119	165.625762879	29158	false	pass
high_mhh	5	ht_candidate_jets	frozen_bdt_v1	29162	29162	0	0	140.565561295	2372.27949905	464.863339454	152.108719075	29158	false	pass
high_mhh	6	mhh	frozen_bdt_v1	29162	29162	0	0	450.002807618	3320.75860462	668.10894167	217.22549315	29162	false	pass
high_mhh	7	hh_pt	frozen_bdt_v1	29162	29162	0	0	0.50744928853	1349.35397813	113.929191522	102.536737428	29162	false	pass
high_mhh	8	abs_hh_eta	frozen_bdt_v1	29162	29162	0	0	0.000215014292231	7.25264030506	2.06411089001	1.14719262807	29162	false	pass
high_mhh	9	h1_pt	frozen_bdt_v1	29162	29162	0	0	4.57825341039	1410.88605163	225.466367534	105.017201554	29162	false	pass
high_mhh	10	abs_h1_eta	frozen_bdt_v1	29162	29162	0	0	0.000160326453546	4.65992610289	1.08246877436	0.694991103791	29162	false	pass
high_mhh	11	h2_pt	frozen_bdt_v1	29162	29162	0	0	0.296804992946	1128.36801361	151.961791022	74.391091254	29162	false	pass
high_mhh	12	abs_h2_eta	frozen_bdt_v1	29162	29162	0	0	2.48208917284e-05	7.85655296785	1.27769082128	0.82405338925	29162	false	pass
high_mhh	13	abs_h_delta_eta	frozen_bdt_v1	29162	29162	0	0	7.69062471798e-05	9.48060653563	1.84425814825	1.22825454766	29162	false	pass
high_mhh	14	abs_h_delta_phi	frozen_bdt_v1	29162	29162	0	0	0.000376626336878	3.14158832704	2.65952004858	0.571454439315	29162	false	pass
high_mhh	15	h_delta_r	frozen_bdt_v1	29162	29162	0	0	0.395787447623	9.78191896737	3.42830483657	0.745808530291	29162	false	pass
high_mhh	16	h_pt_balance	frozen_bdt_v1	29162	29162	0	0	1.24425794911e-05	0.986029453336	0.200903094883	0.17924242882	29162	false	pass
high_mhh	17	drbb1	frozen_bdt_v1	29162	29162	0	0	0.391257962359	4.97577818966	1.52843584587	0.798917966041	29162	false	pass
high_mhh	18	drbb2	frozen_bdt_v1	29162	29162	0	0	0.389770993816	5.22979686691	1.90107086854	0.874758087781	29162	false	pass
high_mhh	19	j1_pt	frozen_bdt_v1	29162	29162	0	0	41.9471740723	1389.34765625	195.397085507	87.4761643148	29129	false	pass
high_mhh	20	abs_j1_eta	frozen_bdt_v1	29162	29162	0	0	4.44287570645e-06	2.49980640411	0.944702962725	0.632934414739	29150	false	pass
high_mhh	21	j1_mass	frozen_bdt_v1	29162	29162	0	0	0.107248432934	218.940048218	21.1497785929	15.2694646539	29140	false	pass
high_mhh	22	j2_pt	frozen_bdt_v1	29162	29162	0	0	33.6580810547	1099.8572998	130.890579616	52.1794460364	29126	false	pass
high_mhh	23	abs_j2_eta	frozen_bdt_v1	29162	29162	0	0	0.000118127267342	2.49921345711	0.99808308878	0.653078833795	29150	false	pass
high_mhh	24	j2_mass	frozen_bdt_v1	29162	29162	0	0	0.000525875075255	226.288009644	15.0890977633	8.3726988026	29134	false	pass
high_mhh	25	j3_pt	frozen_bdt_v1	29162	29162	0	0	30.1379833221	474.85256958	84.2879449784	32.0730684857	29138	false	pass
high_mhh	26	abs_j3_eta	frozen_bdt_v1	29162	29162	0	0	2.11726473935e-05	2.49899053574	1.04091434125	0.666279413162	29149	false	pass
high_mhh	27	j3_mass	frozen_bdt_v1	29162	29162	0	0	-6.74349564633e-07	89.812286377	10.7964414094	4.81637850673	29133	false	pass
high_mhh	28	j4_pt	frozen_bdt_v1	29162	29162	0	0	30.0007019043	306.965362549	54.2877293535	21.4557871998	29131	false	pass
high_mhh	29	abs_j4_eta	frozen_bdt_v1	29162	29162	0	0	8.34645397845e-05	2.49986863136	1.07381711813	0.680806861555	29143	false	pass
high_mhh	30	j4_mass	frozen_bdt_v1	29162	29162	0	0	-1.34869912927e-06	46.3104286194	7.95300830666	3.21711050442	29133	false	pass
high_mhh	31	mbb1	frozen_bdt_v1	29162	29162	0	0	20.8286913531	1247.74217848	163.669859584	88.8324317611	29162	false	pass
high_mhh	32	mbb2	frozen_bdt_v1	29162	29162	0	0	18.5015800143	1218.10539074	162.106023109	88.8980706092	29162	false	pass
high_mhh	33	delta_mbb	frozen_bdt_v1	29162	29162	0	0	0.00531604540762	1002.83272636	91.5901275317	85.8061159325	29162	false	pass
high_mhh	34	r_hh_125_125	frozen_bdt_v1	29162	29162	0	0	0.265116342748	1139.03828531	106.335005786	85.78548494	29162	false	pass
high_mhh	35	dr_j1_j2	cms_inspired_derived	29162	29162	0	0	0.391257962359	5.73419634651	2.83191070526	0.817795684327	29162	false	pass
high_mhh	36	dr_j1_j3	cms_inspired_derived	29162	29162	0	0	0.393647651305	5.64374537316	2.50125928163	0.966607125551	29162	false	pass
high_mhh	37	dr_j1_j4	cms_inspired_derived	29162	29162	0	0	0.396953419966	5.5218701033	2.33267908424	1.00464073036	29162	false	pass
high_mhh	38	dr_j2_j3	cms_inspired_derived	29162	29162	0	0	0.391450730716	5.54827959122	2.14783245568	1.03234694822	29162	false	pass
high_mhh	39	dr_j2_j4	cms_inspired_derived	29162	29162	0	0	0.386790825552	5.54897696413	2.25611412673	1.02151290162	29162	false	pass
high_mhh	40	dr_j3_j4	cms_inspired_derived	29162	29162	0	0	0.393617585342	5.63272604499	2.40102205734	1.01178969543	29162	false	pass
high_mhh	41	min_candidate_pair_dr	cms_inspired_derived	29162	29162	0	0	0.386790825552	3.13072351694	1.00005342959	0.440532072746	29162	false	pass
high_mhh	42	max_candidate_pair_dr	cms_inspired_derived	29162	29162	0	0	1.29835822159	5.73419634651	3.52632776295	0.550162719634	29162	false	pass
high_mhh	43	mean_candidate_pair_dr	cms_inspired_derived	29162	29162	0	0	0.830386595101	4.11973256897	2.41180295181	0.364384340127	29162	false	pass
high_mhh	44	min_cross_higgs_pair_dr	cms_inspired_derived	29162	29162	0	0	0.386790825552	4.85292983292	1.92098644639	0.813377520256	29162	false	pass
high_mhh	45	max_cross_higgs_pair_dr	cms_inspired_derived	29162	29162	0	0	1.22923127009	5.73419634651	3.5095172151	0.561492483817	29162	false	pass
high_mhh	46	candidate_vector_pt_sum	cms_inspired_derived	29162	29162	0	0	0.50744928853	1349.35397813	113.929191522	102.536737428	29162	false	pass
high_mhh	47	cos_theta_star_h1_in_hh_rest	cms_inspired_derived	29162	29162	0	0	-0.998280193173	0.999945205587	0.218436698362	0.636903354831	29162	false	pass
high_mhh	48	abs_cos_theta_star_h1_in_hh_rest	cms_inspired_derived	29162	29162	0	0	0.000197816623047	0.999945205587	0.60879557083	0.287625498736	29162	false	pass
high_mhh	49	cos_theta_j1_in_h1_rest	cms_inspired_derived	29162	29162	0	0	-0.875635428873	0.999631656797	0.380180877161	0.353533347385	29162	false	pass
high_mhh	50	abs_cos_theta_j1_in_h1_rest	cms_inspired_derived	29162	29162	0	0	1.20268181485e-06	0.999631656797	0.443721202075	0.269508482058	29162	false	pass
high_mhh	51	cos_theta_j_h2_leading_in_h2_rest	cms_inspired_derived	29162	29162	0	0	-0.94084072687	0.999801844711	0.341977418832	0.395421561141	29162	false	pass
high_mhh	52	abs_cos_theta_j_h2_leading_in_h2_rest	cms_inspired_derived	29162	29162	0	0	1.59095466583e-05	0.999801844711	0.446547133646	0.271850001727	29162	false	pass
