variable	category	bin_low	bin_high	central_value	uncertainty_central	uncertainty_lower_68	uncertainty_upper_68	uncertainty_valid_replicas	uncertainty_support_flag	uncertainty_kind	variant
r_hh_125_120	5	8.0	16.0	0.18409237192439934	0.17181766042663213	0.09390654988419538	0.2858192114350896	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
r_hh_125_120	5	16.0	24.0	0.3973071489905909	0.3988242161381722	0.23727309099844868	0.5510825000399974	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
r_hh_125_120	5	24.0	32.0	0.018745443482135263	0.01912734047627121	0.014071031449612817	0.026264913235992844	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
r_hh_125_120	5	32.0	40.0	0.01669605841088135	0.016668097788032687	0.011024207026887334	0.024989765945059604	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
r_hh_125_120	5	40.0	48.0	0.009900306197491462	0.009433711985659274	0.006240208399247865	0.014990930369463588	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
r_hh_125_120	5	48.0	56.0	0.0049597830067539764	0.004914891291033058	0.0033486978245215594	0.007573761420505314	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
r_hh_125_120	5	56.0	64.0	0.0015689807134843152	0.0015036844676494159	0.0007176321889981207	0.0027499314093551467	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
r_hh_125_120	5	64.0	72.0	0.046216346769343795	0.04093952112030854	0.0011294335717642742	0.08476000876173657	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
r_hh_125_120	5	72.0	80.0	0.0010307342985491907	0.0009506138527031055	0.00037714639545038074	0.0019062788911350425	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
r_hh_125_120	5	80.0	88.0	0.003946696765202648	0.0035821584599031106	0.0006659345974881489	0.00739835969542284	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
r_hh_125_120	5	88.0	96.0	0.11737311128873724	0.10612370947518222	0.04174979304711593	0.20089636928665738	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
r_hh_125_120	5	96.0	104.0	7.168882012143338e-05	7.030148776271489e-05	4.129274953707524e-05	0.00011592761049615374	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
r_hh_125_120	5	104.0	112.0	4.511781302940223e-05	4.345958048830599e-05	2.117914977783193e-05	7.999171493352685e-05	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
r_hh_125_120	5	112.0	120.0	2.0776392324514383e-05	1.9614746175853147e-05	4.176507548765172e-06	3.97249325304745e-05	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
r_hh_125_120	5	120.0	128.0	0.0	0.0	0.0	0.0	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
r_hh_125_120	5	128.0	136.0	0.045918635738007606	0.04043192155686885	0.0004051171159234566	0.09592591609356306	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
r_hh_125_120	5	136.0	144.0	0.07117799756039586	0.06577300651420177	0.00017119442489657715	0.1414112061040681	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
r_hh_125_120	5	144.0	152.0	4.375220290288861e-06	4.221037430304962e-06	0.0	9.598634913448165e-06	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
r_hh_125_120	5	152.0	160.0	2.2611489633467144e-05	2.0572023510166127e-05	5.416059755636492e-06	4.196680397418878e-05	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
