category	metric	variant	nominal_full_oof	bootstrap_mean	bootstrap_median	bootstrap_standard_deviation	bootstrap_p16	bootstrap_p84	bootstrap_p2p5	bootstrap_p97p5	valid_replicas	invalid_replicas	invalid_reason_counts_json	uncertainty_central	uncertainty_lower_68	uncertainty_upper_68	uncertainty_valid_replicas	uncertainty_support_flag	uncertainty_kind
5	ordinary_background_yield	mass_aware	23609.139246784875	23572.349955163547	23513.50468912756	1711.3876863885487	21853.651593627575	25364.696697551775	20314.746325804543	26985.013681402794	1000	0	{}	23513.50468912756	21853.651593627575	25364.696697551775	1000	True	common_paired_source_member_bootstrap_p16_p84
0	transferred_qcd_yield	mass_aware	2878864.3064728263	2878568.4779384136	2870267.669190857	290412.65880773833	2591317.647992658	3160242.088037015	2338964.362490692	3461346.1807020903	1000	0	{}	2870267.669190857	2591317.647992658	3160242.088037015	1000	True	common_paired_source_member_bootstrap_p16_p84
1	transferred_qcd_yield	mass_aware	255405.52405281525	252814.66729681808	252120.39023759606	76191.6729368799	179213.44743150342	325881.6064160143	108446.51462038948	415908.8453480591	1000	0	{}	252120.39023759606	179213.44743150342	325881.6064160143	1000	True	common_paired_source_member_bootstrap_p16_p84
2	transferred_qcd_yield	mass_aware	194739.8348119495	195063.7672967739	191386.53369016695	69777.75400215642	124755.152017749	261996.4833932703	73635.75029090363	345198.84956577775	1000	0	{}	191386.53369016695	124755.152017749	261996.4833932703	1000	True	common_paired_source_member_bootstrap_p16_p84
3	transferred_qcd_yield	mass_aware	155883.9293070922	154200.18094415547	148040.1780914734	57318.07244380133	97203.28431860504	210116.60186513126	63914.198492969	283969.71946301614	1000	0	{}	148040.1780914734	97203.28431860504	210116.60186513126	1000	True	common_paired_source_member_bootstrap_p16_p84
4	transferred_qcd_yield	mass_aware	93393.90349902344	95815.36714438141	88764.20837071573	53577.81026557749	45599.4949587678	147996.5265080356	12412.258236211468	226725.9334333122	1000	0	{}	88764.20837071573	45599.4949587678	147996.5265080356	1000	True	common_paired_source_member_bootstrap_p16_p84
5	transferred_qcd_yield	mass_aware	219864.0619963869	219545.9080294385	215117.01516166248	65611.20803654737	156815.94769651123	284933.82508218894	103818.75581935915	356795.83652504394	1000	0	{}	215117.01516166248	156815.94769651123	284933.82508218894	1000	True	common_paired_source_member_bootstrap_p16_p84
0	background_yield	mass_aware	3099009.571155479	3098746.6502346667	3091575.370260855	290624.50397755456	2808488.1451448305	3380503.011597412	2562936.640930469	3686342.3669323605	1000	0	{}	3091575.370260855	2808488.1451448305	3380503.011597412	1000	True	common_paired_source_member_bootstrap_p16_p84
1	background_yield	mass_aware	311500.5834527321	309071.19927843707	308844.39845371206	76495.81195803832	233688.7988410901	382843.49882349116	163143.7499985917	471191.6139565262	1000	0	{}	308844.39845371206	233688.7988410901	382843.49882349116	1000	True	common_paired_source_member_bootstrap_p16_p84
2	background_yield	mass_aware	211641.885285565	211934.37224237365	209427.91368461947	69834.39662003939	142114.27074571516	279076.8942554342	89367.49945934299	360871.67086159636	1000	0	{}	209427.91368461947	142114.27074571516	279076.8942554342	1000	True	common_paired_source_member_bootstrap_p16_p84
3	background_yield	mass_aware	174999.7258956476	173297.11943437156	167625.27245060285	57303.69013738363	116313.63621771347	229177.50080675888	83624.85969884574	301997.3417905776	1000	0	{}	167625.27245060285	116313.63621771347	229177.50080675888	1000	True	common_paired_source_member_bootstrap_p16_p84
4	background_yield	mass_aware	109986.86686494166	112419.8369923271	105015.17981741215	53638.79213929907	61485.78028583994	164080.47138475662	29425.051903155087	245744.24376245844	1000	0	{}	105015.17981741215	61485.78028583994	164080.47138475662	1000	True	common_paired_source_member_bootstrap_p16_p84
5	background_yield	mass_aware	243473.2012431718	243118.25798460204	237826.15633810914	65550.74097880017	180170.28507337818	308168.8197863002	127591.42367618618	379720.1217633391	1000	0	{}	237826.15633810914	180170.28507337818	308168.8197863002	1000	True	common_paired_source_member_bootstrap_p16_p84
