job_index	proc_id	outer_fold	category_id	structure_id	category_family_id	mass_family	condor_job_status	condor_exit_code	worker_rc	runtime_seconds	all_inner_support_pass	inner_support_pass_count	inner_support_failure_count	pooled_support_pass	pooled_support_failures	pooled_inner_oof_feasible	pooled_inner_oof_signal_efficiency	pooled_inner_oof_background_efficiency	pooled_inner_oof_selected_signal_rows	pooled_inner_oof_selected_background_rows	pooled_inner_oof_selected_background_neff	outer_signal_total_rows	outer_signal_selected_rows	outer_background_total_rows	outer_background_selected_rows	canonical_payload_sha256	outer_selected_event_uid_sha256	result_bundle_sha256	worker_log_sha256	validation_payloads_opened	test_payloads_opened	execution_integrity_pass
20	20	0	exact3tag	symmetric_rectangular_mass__category__plus_h2_pt	exact3tag::symmetric_rectangular_mass__category__plus_h2_pt	symmetric_rectangular	4	0	0	199.93471097946167	True	4	0	True	[]	False	0.5849818155473423	0.44575716449967573	12995	32791	13981.846593696475	5405	3186	16005	7990	dcb96c87105305ae7cf1e7107f0aa398359c461accd6eca74ee0037f84e71060	18124c91c73b4becefdb218894dd65a09c406e97a08af6b82bf7b60ffa9eda7f	3e66b537e3fe6ba9691bbb2be542b68e7f650c1a1423adcf3020b331a01b6b58	c61fe50bc8369d331218024954914eeb602dab5516728d7ee1df3f6d00e7264b	0	0	True
21	21	0	exact3tag	symmetric_rectangular_mass__category__plus_h2_pt_and_max_drbb	exact3tag::symmetric_rectangular_mass__category__plus_h2_pt_and_max_drbb	symmetric_rectangular	4	0	0	174.25690174102783	True	4	0	True	[]	False	0.5855131739987119	0.44595929242862214	13005	32778	14083.742877897637	5405	3190	16005	7944	24f4de687e5ed0d8de7ed5f07947a6089d8d94bfec9500600975efec0f698460	318b4a98e14043886a600d814211ecc0d27a8e66b02d374475e8344d1cf95afd	8e053cd9edb04981638bec5f005123c3cedb8ad219e06ab9312fa6856ac52ecc	fd9d163a19bf589b3c8492a4ddb1d97a3695a3d29ca8dec3953864f146914a0b	0	0	True
22	22	0	exact3tag	symmetric_rectangular_mass__category__plus_ht_candidate_jets	exact3tag::symmetric_rectangular_mass__category__plus_ht_candidate_jets	symmetric_rectangular	4	0	0	139.03109192848206	True	4	0	True	[]	False	0.5835557453303432	0.4456922695579373	12966	33219	14118.93948000148	5405	3185	16005	7925	b14c8a2a4f88f1dfba0d7dac4ffa4c499ed234bcddc42a60b511072cf4d6fa5e	af6173cc8945d85895d65f845ee8e5cecd6927156b39ad85ff58f00c80845fc6	945ecebb808fd310eddffdac03eb53c1582897b919b3ee67abdc8383bdf5f80a	b390d274222b979adb3ab6b4533acf7a834331687e53cb2be281c0447c1f409e	0	0	True
23	23	0	exact3tag	symmetric_rectangular_mass__category__plus_ht_candidate_jets_and_max_drbb	exact3tag::symmetric_rectangular_mass__category__plus_ht_candidate_jets_and_max_drbb	symmetric_rectangular	4	0	0	181.92211437225342	True	4	0	True	[]	False	0.5855110099075818	0.4458651951086569	13005	32774	14080.117622639229	5405	3190	16005	7944	f69a1d4ae317d007977f69db89a1aa4d458e3973917f24c69d2f0393f959a937	13cc8d85d3f6024b7e7e80ea81a298c78ed4d1372adac3bd61bdf6efacbd4ab6	b56d816ce2c538d8ae96ace3a4c37fa03282d3a84b0953c1c213c6d57883abdc	af708ae6a959de05005c62599b66284b9cbe09e23db171a5ec9e75b44f7640db	0	0	True
24	24	0	exact3tag	symmetric_rectangular_mass__category__plus_max_drbb	exact3tag::symmetric_rectangular_mass__category__plus_max_drbb	symmetric_rectangular	4	0	0	153.24307990074158	True	4	0	True	[]	False	0.5843489608161427	0.43873211973111376	12984	32604	13866.055485346766	5405	3169	16005	8065	2e0fa011131cb7f2adeba8f23c58b8541d5dabefc1efdc55f786bd50ec369acb	4ef76d55377a7c9a880e10928a0a40c071df47f56421dfc08a31a232c4be9c91	5baaa11d0ed2f034747b9164451d5fd9de70088d9fe0746e4690cafeeba39b15	b312875a77a3b0cb4ab8d52ae284b25c80eec9b582e4cc054b5012820f5c1de3	0	0	True
25	25	0	exact3tag	symmetric_rectangular_mass__category__plus_mhh	exact3tag::symmetric_rectangular_mass__category__plus_mhh	symmetric_rectangular	4	0	0	225.81076002120972	True	4	0	True	[]	False	0.5850155334131006	0.4452400814293985	12997	32814	14036.288032370818	5405	3170	16005	7980	fe33a6b531670129c4d7ca06bcc9981c0efb02064018449b28f3c0f64dc493c2	f262694e35e3af03d8c0671c8c7431eb0c2b5c70433da4d5d80fbb490123d95b	e8b59051701b64f998b2ae75aad57f0b36cf9b0eebef39fe1a10ba4702751407	1e959babf852ffeadb671926abf03d6ee077b17912641bd50512d7054666affc	0	0	True
26	26	0	exact3tag	symmetric_rectangular_mass__category__plus_mhh_and_abs_h_delta_eta	exact3tag::symmetric_rectangular_mass__category__plus_mhh_and_abs_h_delta_eta	symmetric_rectangular	4	0	0	182.52792191505432	True	4	0	True	[]	False	0.5855136434012982	0.44571781329143256	13005	32769	14075.00628692409	5405	3187	16005	7943	c7a290559edde84b715fc5d9a017470db6365de30cafc26858a26e7986c178f6	15c2ffdfaee13f109e416931cf70020b0ed9b9ac745c4a5468f64b5926cf9b92	041fbc58c118e33b1bd3534743ec7bb89165ff99aa3d1f9dedab059809fedfba	f386393a6b4d17419fff6b140c5727e5e7fa4251be453c67b2c095806a2ecd1a	0	0	True
27	27	0	ge4tag	asymmetric_rectangular_mass__category__mass_only	ge4tag::asymmetric_rectangular_mass__category__mass_only	asymmetric_rectangular	4	0	0	31.083566904067993	True	4	0	True	[]	False	0.5848323537937455	0.2966300526895598	4382	5097	3639.0151823116826	1834	1090	4361	1129	86cbbf141fd300fb786b32648c3d171a7b01bda6628fdc0cc5c0db24e95b87b7	31028891b40b62d3d110a4ba82208a35d6ac334700814d1f340fa6cf84a3f2ce	33ec28fe6d13a462784a631444b9a10f3ecd8e7627cdebc4206e3c5b8a1b86ae	d598a6765db72ef3dfc5120eb6ca2f31d9fab3348ae149d2b85b0052afa5471b	0	0	True
28	28	0	ge4tag	asymmetric_rectangular_mass__category__plus_abs_h_delta_eta	ge4tag::asymmetric_rectangular_mass__category__plus_abs_h_delta_eta	asymmetric_rectangular	4	0	0	44.57633590698242	True	4	0	True	[]	False	0.5851338940297054	0.34383615372323767	4386	5942	3986.053056417564	1834	1097	4361	1405	ad03b731a0411f695a5e671f3fcfe872f0c03112114258b305238644960b3048	7234c535a7f27db7c13ecbe74960f84e59e5846fcf7e467a6a3d16690354b7a9	6183bcc1742188136b96c6f4a72b890fe7b434ecef02fc019481d0e2e16fa8e7	7411b95acd09018da501d942bcb0c42858bf17bb30c53d335161149fce36958e	0	0	True
29	29	0	ge4tag	asymmetric_rectangular_mass__category__plus_h2_pt	ge4tag::asymmetric_rectangular_mass__category__plus_h2_pt	asymmetric_rectangular	4	0	0	43.47497797012329	True	4	0	True	[]	False	0.583968084109032	0.3164893491851966	4381	5583	3747.942179282433	1834	1047	4361	1327	9c2014bb114da0e101af35f0d0974dcb32c044b92cc6bf140d3f6814066b8965	e61414bed61b500ade07846a90acd0550abfc86f76d6ae904a5aac00a17f2088	ef590a3715864b55584735c4d06e0798198c7676bd6b6b73bc5503de2734cb7b	96f7e2d3ed493c7cdee244038374d747f12be39472aaa7dd7156759266dd1d56	0	0	True
