group_level	dataset_split	family	members	generated_events	candidate_input	all_jets_pt_gt40	all_jets_pt_gt40_eta_lt2p4	reference_rhh_lt55	sr_rhh_lt30	cr_rhh_30to55	sr_mhh_lt450	sr_mhh_ge450	cr_mhh_lt450	cr_mhh_ge450	pt_efficiency_from_input	eta_efficiency_after_pt	reference_efficiency_from_input	sr_efficiency_from_input	cr_efficiency_from_input	sr_fraction_of_reference	cr_fraction_of_reference
family_split	train	tttt	4	40000	7766	5417	5253	1887	874	1013	559	315	515	498	0.6975276847798094	0.969724940003692	0.2429822302343549	0.11254184908575843	0.13044038114859643	0.4631690514043455	0.5368309485956545
family_split	train	ttw	5	50000	297	178	171	76	43	33	31	12	22	11	0.5993265993265994	0.9606741573033708	0.2558922558922559	0.1447811447811448	0.1111111111111111	0.5657894736842105	0.4342105263157895
family_split	train	ttz_zbb	3	30000	3169	1934	1873	921	363	558	293	70	373	185	0.6102871568318081	0.968459152016546	0.29062795834648153	0.11454717576522562	0.17608078258125592	0.3941368078175896	0.6058631921824105
family_split	train	tw_antitop	5	50000	74	34	33	8	3	5	1	2	4	1	0.4594594594594595	0.9705882352941176	0.10810810810810811	0.04054054054054054	0.06756756756756757	0.375	0.625
family_split	train	tw_top	5	50000	47	22	21	9	4	5	3	1	2	3	0.46808510638297873	0.9545454545454546	0.19148936170212766	0.0851063829787234	0.10638297872340426	0.4444444444444444	0.5555555555555556
family_split	train	vbf_hbb	4	40000	24	14	13	3	2	1	1	1	0	1	0.5833333333333334	0.9285714285714286	0.125	0.08333333333333333	0.041666666666666664	0.6666666666666666	0.3333333333333333
family_split	train	wh_hbb	5	50000	33	14	14	8	2	6	1	1	2	4	0.42424242424242425	1.0	0.24242424242424243	0.06060606060606061	0.18181818181818182	0.25	0.75
family_split	train	ww	3	30000	0	0	0	0	0	0	0	0	0	0							
family_split	train	wwz_zbb	4	20800	33	16	15	4	4	0	2	2	0	0	0.48484848484848486	0.9375	0.12121212121212122	0.12121212121212122	0.0	1.0	0.0
family_split	train	wz_zbb	5	50000	7	4	4	1	1	0	1	0	0	0	0.5714285714285714	1.0	0.14285714285714285	0.14285714285714285	0.0	1.0	0.0
