region	mhh_category	btag_category	population_kind	sample_class	process_or_mode	raw_candidate_rows	signed_physical_yield	sum_squared_physical_weights	sum_absolute_physical_weights	effective_events	negative_weight_rows	zero_weight_rows	positive_weight_rows	cancellation_fraction	yield_scope
baseline_all_fourb_candidates	high_mhh	inclusive_ge4b	ordinary	background	tttt	3838	134.41244879243399	4.7073511194394957	134.41244879243399	3837.977225826718	0	0	3838	0	train_partition_contribution_only
baseline_all_fourb_candidates	high_mhh	inclusive_ge4b	ordinary	background	ttw	86	70.011047891427395	56.995139231275424	70.011047891427395	85.99938333278206	0	0	86	0	train_partition_contribution_only
baseline_all_fourb_candidates	high_mhh	inclusive_ge4b	ordinary	background	ttz_zbb	1386	406.46846296553576	119.20423041414631	406.46846296553576	1385.9962084530046	0	0	1386	0	train_partition_contribution_only
baseline_all_fourb_candidates	high_mhh	inclusive_ge4b	ordinary	background	tw_antitop	31	1712.3603972015985	94586.512004698874	1712.3603972015985	30.999960435783397	0	0	31	0	train_partition_contribution_only
baseline_all_fourb_candidates	high_mhh	inclusive_ge4b	ordinary	background	tw_top	22	1215.9850143389804	67210.005956802546	1215.9850143389804	21.999991430551482	0	0	22	0	train_partition_contribution_only
baseline_all_fourb_candidates	high_mhh	inclusive_ge4b	ordinary	background	vbf_hbb	10	44.943021485704421	201.98778659234193	44.943021485704421	9.9999867038548444	0	0	10	0	train_partition_contribution_only
baseline_all_fourb_candidates	high_mhh	inclusive_ge4b	ordinary	background	wh_hbb	11	20.237183514783254	37.231271157866296	20.237183514783254	10.999989628999975	0	0	11	0	train_partition_contribution_only
baseline_all_fourb_candidates	high_mhh	inclusive_ge4b	ordinary	background	wwz_zbb	16	8.1221390886903535	4.1230953395338021	8.1221390886903535	15.999907337454605	0	0	16	0	train_partition_contribution_only
baseline_all_fourb_candidates	high_mhh	inclusive_ge4b	ordinary	background	wz_zbb	4	32.758764846736035	268.28480630427134	32.758764846736035	3.9999904916965967	0	0	4	0	train_partition_contribution_only
baseline_all_fourb_candidates	high_mhh	inclusive_ge4b	ordinary	background	wzz_zbb	29	7.4254082096856528	1.9012674601363746	7.4254082096856528	28.99996356983474	0	0	29	0	train_partition_contribution_only
baseline_all_fourb_candidates	high_mhh	inclusive_ge4b	ordinary	background	zbbbb	1488	5672.7696202707893	21626.74798151604	5672.7696202707893	1487.9867834114998	0	0	1488	0	train_partition_contribution_only
baseline_all_fourb_candidates	high_mhh	inclusive_ge4b	ordinary	background	zzz_zbb	19	3.6898386725072907	0.71658330126564218	3.6898386725072907	18.999758165008132	0	0	19	0	train_partition_contribution_only
baseline_all_fourb_candidates	high_mhh	inclusive_ge4b	ordinary	signal	ggf_hh4b	928	13.367328843665565	0.19255101523065443	13.367328843665565	927.99033129297334	0	0	928	0	train_partition_contribution_only
baseline_all_fourb_candidates	high_mhh	inclusive_ge4b	ordinary	signal	vbf_hh4b	1986	3.9088283243879909	0.0076934101859814511	3.9088283243879909	1985.9774144602807	0	0	1986	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	exactly4b	hard_qcd	background	qcd_hardqcd	51	8368674.2273915512	6592527102975.5635	8368674.2273915512	10.623347804303624	0	0	51	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	exactly4b	ordinary	background	bbh_hbb_4fs	952	1384.2312824556741	2012.7195891839172	1384.2312824556741	951.99363767596958	0	0	952	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	exactly4b	ordinary	background	ggh_hbb	37	2479.9851548732508	166225.29847874102	2479.9851548732508	36.999941793927853	0	0	37	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	exactly4b	ordinary	background	schannel_single_top	7	357.50478061219451	18258.524022939044	357.50478061219451	7.0000000000000018	0	0	7	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	exactly4b	ordinary	background	tchannel_antitop	19	2622.5820562648523	361996.8162523171	2622.5820562648523	18.999992080174422	0	0	19	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	exactly4b	ordinary	background	tchannel_top	19	4401.7605243891621	1019764.9474484199	4401.7605243891621	18.999962454632982	0	0	19	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	exactly4b	ordinary	background	ttbar_inclusive	2620	295613.26882594242	33353934.32276094	295613.26882594242	2619.9969053223595	0	0	2620	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	exactly4b	ordinary	background	tth_hbb	2072	2114.5049126228632	2157.8829683231543	2114.5049126228632	2071.9988484735318	0	0	2072	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	exactly4b	ordinary	background	tttt	4535	158.8215706509624	5.5621699402227236	158.8215706509624	4534.9731444970193	0	0	4535	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	exactly4b	ordinary	background	ttw	217	176.67216516623122	143.84003387538698	176.67216516623122	216.99837731938322	0	0	217	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	exactly4b	ordinary	background	ttz_zbb	2753	807.34480035033266	236.76260219977738	807.34480035033266	2752.9923247875649	0	0	2753	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	exactly4b	ordinary	background	tw_antitop	58	3203.6777614505186	176958.02497423007	3203.6777614505186	57.999919476425326	0	0	58	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	exactly4b	ordinary	background	tw_top	43	2376.7748882113542	131373.50682595783	2376.7748882113542	42.999985352571166	0	0	43	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	exactly4b	ordinary	background	vbf_hbb	19	85.378193214236518	383.65508021256829	85.378193214236518	18.999972247177624	0	0	19	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	exactly4b	ordinary	background	wh_hbb	28	51.522923619619363	94.807647289793024	51.522923619619363	27.999973991538187	0	0	28	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	exactly4b	ordinary	background	wwz_zbb	33	16.758371337649553	8.5104431067453401	16.758371337649553	32.999810511389136	0	0	33	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	exactly4b	ordinary	background	wz_zbb	6	49.133643878221875	402.35363479082429	49.133643878221875	5.9999829801636579	0	0	6	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	exactly4b	ordinary	background	wzz_zbb	61	15.615055062524732	3.9972177839494059	15.615055062524732	60.99991488699068	0	0	61	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	exactly4b	ordinary	background	zbbbb	5293	20178.889780493413	76930.149997509638	20178.889780493413	5292.9520192861037	0	0	5293	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	exactly4b	ordinary	background	zzz_zbb	39	7.5679480927926548	1.4685758688650017	7.5679480927926548	38.999577447414026	0	0	39	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	exactly4b	ordinary	signal	ggf_hh4b	4575	65.910171688027901	0.94955137164662273	65.910171688027901	4574.9507205830232	0	0	4575	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	exactly4b	ordinary	signal	vbf_hh4b	4104	8.0771972756262791	0.015897140960555788	8.0771972756262791	4103.9527793872976	0	0	4104	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	ge5b	hard_qcd	background	qcd_hardqcd	5	490690.77752482024	208310259526.84457	490690.77752482024	1.1558597243112938	0	0	5	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	ge5b	ordinary	background	bbh_hbb_4fs	60	87.26150978580695	126.91040281698292	87.26150978580695	59.999581760680648	0	0	60	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	ge5b	ordinary	background	ggh_hbb	1	66.935268771051128	4480.3302054528522	66.935268771051128	1	0	0	1	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	ge5b	ordinary	background	schannel_single_top	1	51.072111516027782	2608.3605747055776	51.072111516027782	1	0	0	1	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	ge5b	ordinary	background	ttbar_inclusive	125	14103.577048136507	1591288.7472573668	14103.577048136507	124.99986937980405	0	0	125	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	ge5b	ordinary	background	tth_hbb	339	345.93620644543489	353.01452827263097	345.93620644543489	338.99981260101765	0	0	339	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	ge5b	ordinary	background	tttt	1268	44.405019262751644	1.5550611029736037	44.405019262751644	1267.9924486277982	0	0	1268	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	ge5b	ordinary	background	ttw	15	12.220626920469165	9.956297154223039	12.220626920469165	14.999926178976127	0	0	15	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	ge5b	ordinary	background	ttz_zbb	416	121.99963643144575	35.778731541371286	121.99963643144575	415.99885317886515	0	0	416	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	ge5b	ordinary	background	tw_antitop	6	331.26550034411065	18289.475798904772	331.26550034411065	5.9999987383348259	0	0	6	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	ge5b	ordinary	background	tw_top	4	221.01451427024111	12211.855061945127	221.01451427024111	3.9999996126984905	0	0	4	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	ge5b	ordinary	background	vbf_hbb	1	4.4991070407029738	20.24196416370307	4.4991070407029738	1	0	0	1	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	ge5b	ordinary	background	wz_zbb	1	8.1841771449420033	66.980755539791048	8.1841771449420033	1	0	0	1	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	ge5b	ordinary	background	wzz_zbb	7	1.7923706445341714	0.45894253535931806	1.7923706445341714	6.9999886257494497	0	0	7	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	ge5b	ordinary	background	zbbbb	251	956.95313816050759	3648.4795993648409	956.95313816050759	250.99751381223754	0	0	251	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	ge5b	ordinary	background	zzz_zbb	6	1.1628838808770035	0.22538488797147505	1.1628838808770035	5.999953823766166	0	0	6	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	ge5b	ordinary	signal	ggf_hh4b	318	4.5808024813357706	0.065987250949150797	4.5808024813357706	317.99705353965794	0	0	318	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	ge5b	ordinary	signal	vbf_hh4b	340	0.66919707560765784	0.0013171469504796504	0.66919707560765784	339.99602385957166	0	0	340	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	inclusive_ge4b	hard_qcd	background	qcd_hardqcd	56	8859365.0049163811	6800837362502.4082	8859365.0049163811	11.540982985874077	0	0	56	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	inclusive_ge4b	ordinary	background	bbh_hbb_4fs	1012	1471.4927922414754	2139.6299920008919	1471.4927922414754	1011.9932164503475	0	0	1012	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	inclusive_ge4b	ordinary	background	ggh_hbb	38	2546.920423644302	170705.62868419389	2546.920423644302	37.999939980755315	0	0	38	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	inclusive_ge4b	ordinary	background	schannel_single_top	8	408.57689212822231	20866.884597644621	408.57689212822231	8.0000000000000036	0	0	8	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	inclusive_ge4b	ordinary	background	tchannel_antitop	19	2622.5820562648523	361996.8162523171	2622.5820562648523	18.999992080174422	0	0	19	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	inclusive_ge4b	ordinary	background	tchannel_top	19	4401.7605243891621	1019764.9474484199	4401.7605243891621	18.999962454632982	0	0	19	0	train_partition_contribution_only
baseline_all_fourb_candidates	inclusive_mhh	inclusive_ge4b	ordinary	background	ttbar_inclusive	2745	309716.84587407828	34945223.070018359	309716.84587407828	2744.99677469471	0	0	2745	0	train_partition_contribution_only
