population_kind	sample_class	process_or_mode	campaign	transport_id	raw_candidate_rows	signed_physical_yield	sum_squared_physical_weights	effective_events	negative_weight_rows	zero_weight_rows	positive_weight_rows	yield_scope
ordinary	background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9707_10k_bundle.tar.gz	2	133.72977348064248	8941.8261575919751	2	0	0	2	train_partition_contribution_only
ordinary	background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9708_10k_bundle.tar.gz	6	402.92502201250062	27058.095560629015	6.0000000000000009	0	0	6	train_partition_contribution_only
ordinary	background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/schannel_single_top_run2_frozen_v2_single_top_pilot_shard4203_10kevt_bundle.tar.gz	8	408.57689212822231	20866.884597644621	8.0000000000000036	0	0	8	train_partition_contribution_only
ordinary	background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/tchannel_antitop_run2_frozen_v2_single_top_pilot_shard4202_10kevt_bundle.tar.gz	8	1103.5965320093185	152240.66318287433	8	0	0	8	train_partition_contribution_only
ordinary	background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/tchannel_antitop_run2_frozen_v2_single_top_scaleout_shard4308_10kevt_bundle.tar.gz	1	138.26522289410769	19117.271861957281	1	0	0	1	train_partition_contribution_only
ordinary	background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/tchannel_antitop_run2_frozen_v2_single_top_scaleout_shard4310_10kevt_bundle.tar.gz	2	275.95609872796842	38075.884212580131	2	0	0	2	train_partition_contribution_only
ordinary	background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/tchannel_antitop_run2_frozen_v2_single_top_scaleout_shard4311_10kevt_bundle.tar.gz	4	552.2919086023594	76256.588076909233	4	0	0	4	train_partition_contribution_only
ordinary	background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/tchannel_antitop_run2_frozen_v2_single_top_scaleout_shard4312_10kevt_bundle.tar.gz	4	552.47229403109873	76306.408917996203	4	0	0	4	train_partition_contribution_only
ordinary	background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/tchannel_top_run2_frozen_v2_single_top_pilot_shard4201_10kevt_bundle.tar.gz	7	1618.9224597871496	374415.7044004678	7.0000000000000018	0	0	7	train_partition_contribution_only
ordinary	background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/tchannel_top_run2_frozen_v2_single_top_scaleout_shard4301_10kevt_bundle.tar.gz	7	1623.4875296278008	376530.25126528268	7.0000000000000009	0	0	7	train_partition_contribution_only
ordinary	background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/tchannel_top_run2_frozen_v2_single_top_scaleout_shard4302_10kevt_bundle.tar.gz	4	927.02506555491084	214843.8680417717	4	0	0	4	train_partition_contribution_only
ordinary	background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/tchannel_top_run2_frozen_v2_single_top_scaleout_shard4303_10kevt_bundle.tar.gz	1	232.32546941929982	53975.123740898016	1	0	0	1	train_partition_contribution_only
ordinary	background	ttbar_inclusive	ttbar_100k	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard001_event_summary.parquet	45	5080.8440295161281	573666.13449488196	44.999999999999993	0	0	45	train_partition_contribution_only
ordinary	background	ttbar_inclusive	ttbar_100k	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard002_event_summary.parquet	45	5076.459189471374	572676.39783040795	45	0	0	45	train_partition_contribution_only
ordinary	background	ttbar_inclusive	ttbar_100k	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard003_event_summary.parquet	38	4289.8172858471489	484277.16699876357	37.999999999999964	0	0	38	train_partition_contribution_only
ordinary	background	ttbar_inclusive	ttbar_100k	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard007_event_summary.parquet	44	4968.2332907995087	560985.04617746687	43.99999999999995	0	0	44	train_partition_contribution_only
ordinary	background	ttbar_inclusive	ttbar_100k	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard008_event_summary.parquet	45	5068.7604652791242	570940.7256528138	45.000000000000043	0	0	45	train_partition_contribution_only
ordinary	background	ttbar_inclusive	ttbar_100k	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard009_event_summary.parquet	31	3494.7177979509552	393969.43507468305	30.999999999999996	0	0	31	train_partition_contribution_only
ordinary	background	ttbar_inclusive	ttbar_200k	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard000_event_summary.parquet	37	4165.0214690846724	468848.75237665552	36.999999999999972	0	0	37	train_partition_contribution_only
ordinary	background	ttbar_inclusive	ttbar_200k	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard001_event_summary.parquet	39	4399.4050449573715	496276.01922041952	39.000000000000021	0	0	39	train_partition_contribution_only
ordinary	background	ttbar_inclusive	ttbar_200k	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard002_event_summary.parquet	33	3714.846688376525	418184.421761879	33.000000000000064	0	0	33	train_partition_contribution_only
ordinary	background	ttbar_inclusive	ttbar_200k	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard004_event_summary.parquet	37	4176.680670113843	471477.33567844826	37.000000000000078	0	0	37	train_partition_contribution_only
ordinary	background	ttbar_inclusive	ttbar_200k	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard005_event_summary.parquet	46	5189.1871556677406	585383.98557710845	46.000000000000114	0	0	46	train_partition_contribution_only
ordinary	background	ttbar_inclusive	ttbar_200k	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard006_event_summary.parquet	24	2709.0272905612733	305784.53587523958	24.000000000000011	0	0	24	train_partition_contribution_only
ordinary	background	ttbar_inclusive	ttbar_200k	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard007_event_summary.parquet	38	4287.5968594660908	483775.96919219737	37.999999999999964	0	0	38	train_partition_contribution_only
ordinary	background	ttbar_inclusive	ttbar_200k	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard009_event_summary.parquet	34	3839.1437473105179	433500.72683863051	34.000000000000021	0	0	34	train_partition_contribution_only
ordinary	background	ttbar_inclusive	ttbar_200k	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard011_event_summary.parquet	34	3844.031653337323	434605.27505468437	34.000000000000014	0	0	34	train_partition_contribution_only
ordinary	background	ttbar_inclusive	ttbar_200k	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard012_event_summary.parquet	32	3607.3708385685891	406660.136467345	32.000000000000014	0	0	32	train_partition_contribution_only
ordinary	background	ttbar_inclusive	ttbar_200k	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard013_event_summary.parquet	34	3839.2095592289725	433515.58940220875	34.00000000000005	0	0	34	train_partition_contribution_only
ordinary	background	ttbar_inclusive	ttbar_200k	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard014_event_summary.parquet	48	5413.4477468308023	610529.51057640521	48.000000000000064	0	0	48	train_partition_contribution_only
ordinary	background	ttbar_inclusive	ttbar_200k	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard016_event_summary.parquet	29	3274.6199181658876	369763.29684306041	29.000000000000032	0	0	29	train_partition_contribution_only
ordinary	background	ttbar_inclusive	ttbar_200k	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard017_event_summary.parquet	36	4060.3650268653614	457960.11531642656	35.999999999999979	0	0	36	train_partition_contribution_only
ordinary	background	ttbar_inclusive	ttbar_200k	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard018_event_summary.parquet	40	4513.6346143829887	509322.43580390693	39.999999999999993	0	0	40	train_partition_contribution_only
ordinary	background	ttbar_inclusive	ttbar_200k	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard019_event_summary.parquet	42	4742.6116994846006	535532.51743067207	41.999999999999972	0	0	42	train_partition_contribution_only
ordinary	background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_pilots_20260720_retry1/ttbar_inclusive_run2_frozen_v2_unified5m_pilot_shard000_10k_bundle.tar.gz	36	4063.8138617390227	458738.41952395102	35.999999999999986	0	0	36	train_partition_contribution_only
ordinary	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard001_10k_bundle.tar.gz	41	4619.0279054449975	520376.06807999103	40.999999999999936	0	0	41	train_partition_contribution_only
ordinary	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard002_10k_bundle.tar.gz	39	4410.8208319495061	498854.88234768482	39.00000000000005	0	0	39	train_partition_contribution_only
ordinary	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard003_10k_bundle.tar.gz	34	3831.7634433858916	431835.62017848488	34.000000000000043	0	0	34	train_partition_contribution_only
ordinary	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard005_10k_bundle.tar.gz	38	4284.5047612149465	483078.44865456759	37.99999999999995	0	0	38	train_partition_contribution_only
ordinary	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard006_10k_bundle.tar.gz	28	3164.3862989539798	357619.30889313109	27.999999999999989	0	0	28	train_partition_contribution_only
ordinary	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard007_10k_bundle.tar.gz	30	3385.1703110032568	381979.26781659591	30.000000000000025	0	0	30	train_partition_contribution_only
ordinary	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard008_10k_bundle.tar.gz	29	3275.2073728783407	369895.97708126338	29.000000000000011	0	0	29	train_partition_contribution_only
ordinary	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard010_10k_bundle.tar.gz	36	4061.057019831454	458116.2255089542	35.999999999999957	0	0	36	train_partition_contribution_only
ordinary	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard011_10k_bundle.tar.gz	34	3834.0341830861421	432347.59167861793	34.000000000000028	0	0	34	train_partition_contribution_only
ordinary	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard012_10k_bundle.tar.gz	24	2709.0124506188768	305781.18573367043	24.000000000000007	0	0	24	train_partition_contribution_only
