threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,n_signal_test_rows,n_background_test_rows
0.44,233.73274667010304,2366904.9043126744,9.8750374907004e-05,0.1519249695136269,140,975
0.45,233.73274667010304,2341524.904519247,9.982073913413796e-05,0.15274611462312848,140,957
0.46,233.3840686701031,2274656.3269168297,0.00010260190337695639,0.1547438194675667,138,939
0.47000000000000003,223.84198224742266,2196401.9949011984,0.00010191302993124983,0.15103779208082949,134,912
0.48000000000000004,217.59681729896906,2123791.6322334907,0.00010245676364688039,0.14931264407381542,132,886
0.49,211.17731335051545,2081202.5322357304,0.00010146889122014395,0.14638281264043843,129,864
0.5,211.00297435051536,2040223.907075741,0.00010342147919095142,0.14772352460261934,128,844
0.51,204.75780940206184,1976842.9593350154,0.00010357818684339991,0.14563118704416314,126,810
0.52,204.58347040206183,1926874.860007454,0.00010617371924260323,0.14738177617380632,125,786
0.53,201.460887927835,1855192.6660445814,0.00010859297344968793,0.14790955633054256,124,755
0.54,198.33830545360817,1779297.0895458173,0.00011147003309280741,0.1486902063771688,123,727
0.55,192.09314050515454,1716019.5300786744,0.00011194111555149237,0.1466394232051414,121,696
0.56,192.09314050515454,1663923.5441261856,0.00011544589364292746,0.14891730681251925,121,672
0.5700000000000001,182.7253930824742,1595836.1275974424,0.00011450135131203622,0.14464544385139233,118,642
0.5800000000000001,173.35764565979375,1484805.3048997836,0.00011675446274856518,0.14226833373019224,115,611
0.59,170.06072418556693,1403138.3567738773,0.00012120025324984616,0.1435667191209124,113,584
0.6,170.06072418556693,1367505.3201980498,0.00012435836385699602,0.14542514712405477,113,558
0.61,160.51863776288658,1309612.985015684,0.00012256952214089738,0.14026650607078234,109,530
0.62,157.22171628865976,1247298.0768585529,0.00012604983460299935,0.14077560631794575,107,506
0.63,157.22171628865976,1209768.8238205637,0.0001299601322111598,0.14294248855864963,107,489
0.64,156.87303828865973,1169892.4501195732,0.0001340918460262103,0.1450358414181362,105,471
0.65,156.5243602886598,1093713.9980111157,0.00014311269726207618,0.14966837805004474,103,441
0.66,153.05309981443298,1058629.5892317283,0.0001445766313083192,0.148754501049436,100,427
0.67,149.75617834020613,1018327.3810543992,0.0001470609365184163,0.14840243878093679,98,409
0.68,143.51101339175253,893776.744019602,0.0001605669585296405,0.1517996275878838,96,374
