payload_key	replica	category_id	transferred_rows	payload_archive_size_bytes	payload_archive_sha256
replica_0030__exact3tag	30	exact3tag	109192	14997491	c39479c415f75b16d9c512e9a0e9b75feb53a82b0ae007a3c59f4e9bdf280618
replica_0030__ge4tag	30	ge4tag	30808	4289169	ad8deb8d3187d4c168ab437bc6038480aade923270d9f4f7786cb9e95c5ec9eb
replica_0031__exact3tag	31	exact3tag	108257	14861523	55aaaae60027a614459b45ce715111e57e789bd57ce961669b732e4d451947c1
replica_0031__ge4tag	31	ge4tag	30688	4165473	72377c1b918b173aebf2f1dda629b681f1c2264300e9d0377c604d409f064df8
replica_0032__exact3tag	32	exact3tag	108491	14007417	c13943526e21d98a7ae37a6b54e80b19054420c798795ef2ab4f58f053353284
replica_0032__ge4tag	32	ge4tag	31076	3783467	123f04034c2021cd6e2916a14f390fd9b89e9efa39d34b751e5b5a097bde74d4
replica_0033__exact3tag	33	exact3tag	107974	14544642	4538855e928d1850bc5ab55f4f1bc82c58c80389b73fd922aba743f3543878db
replica_0033__ge4tag	33	ge4tag	30560	4009223	a02f09044b49be543d388e327ab3efe77b78f44fc711cf25fc6a12e673dde31f
replica_0034__exact3tag	34	exact3tag	108590	14309495	5571cde88bd4d92638df4a9c2355549a7b1aa3d5dac35bf81a85ac3b7a1e8771
replica_0034__ge4tag	34	ge4tag	30908	4114700	50b23988328c59643f2dbf1d5d1802000bb31bc16475c0062974413cf6658e9c
replica_0035__exact3tag	35	exact3tag	108018	15217006	cfa524dba5848c9c541474ba086b5d6eb0304802d6aa3495186ff13dad78cf23
replica_0035__ge4tag	35	ge4tag	30630	4385024	2f25b7fc8d3a81b141cab3b5add598fec847942f33e7a082c6239baa72869262
replica_0036__exact3tag	36	exact3tag	108617	15109153	a3dd476bce5fd2c47519fd0edb1ed5637e5bc480f29aec717b8c6d810182d58e
replica_0036__ge4tag	36	ge4tag	30959	4403235	89bba4ace216f8471b512817ff31db3420d2a6800d162db27a78fe8359010092
replica_0037__exact3tag	37	exact3tag	108371	14848642	6fe916624b9b3cda4f61221097b83ec1ba20202258f65c3be070f7e7a832308b
replica_0037__ge4tag	37	ge4tag	30605	4047022	1113ff336861189f1bc43ad538e5b0e4f0739addf2a1465006ac3eb446433343
replica_0038__exact3tag	38	exact3tag	109152	14366070	9815f0142818b97d5754ad7602d602a3c1f6efcbd06408ea28ca693e2cf440f4
replica_0038__ge4tag	38	ge4tag	30666	3778222	02f7ed7096bb40d3af02658bc6d13081581bb7cbf6aacfc755c04f0c7713832e
replica_0039__exact3tag	39	exact3tag	108152	13933318	da1efc668afd10c93e45f808228ad4de6c80258649154aff39b133522399b0f7
replica_0039__ge4tag	39	ge4tag	30628	3841260	05c3a6429a7693ae127e3196e70306d7b723b3515bc58b4e5cf87755d62dd264
replica_0040__exact3tag	40	exact3tag	108288	14056504	1b773abec7edb3577ed520e5dbaf13cdbeefdf0ddec6dcbddaee2e2055bfeb16
replica_0040__ge4tag	40	ge4tag	30748	3647006	846ef728da048ed3ab1013c6c7cd324fd8bb5bcc0d47850041272b74bb531943
replica_0041__exact3tag	41	exact3tag	108933	13314006	5cc573ab681811650e4dfbca02bdd9fa2373fb7eb0b877b15096ee5457cea1ea
replica_0041__ge4tag	41	ge4tag	30759	3468193	1f0d68e5aae2f5a73466b85b5b2d5384db8f97d0b87963f70ef945e7ea5e369b
replica_0042__exact3tag	42	exact3tag	109242	13962801	42738e275e9895305f3b9d54d21f921dc3e411d78a5201a3e7815f4ef3d00094
replica_0042__ge4tag	42	ge4tag	30850	3633995	b8aae23f14a15604cfd6829d830660403fe029d86cc9e414d5ee498636b92afc
replica_0043__exact3tag	43	exact3tag	108877	14264576	b126f12f5087c16fdd7dc61a53aa53924f9e13db898b3c528233b74b1e362a5a
replica_0043__ge4tag	43	ge4tag	30590	3826074	ae43ce46881685e542e8063dcd2bea08c54edf6c17994dbfca89389018c9355f
replica_0044__exact3tag	44	exact3tag	108844	14801980	384a0e356fc786fcf93dfebcc092f0e8221d0e8188f74b205c2914272810e778
replica_0044__ge4tag	44	ge4tag	30541	4201573	a651c934e0e2dbb03189530da03b13c676cd0caeff06629772fb67e844f7082b
replica_0045__exact3tag	45	exact3tag	108470	14821411	3c424889fe57c5b4262c89543f6b496578c52ef77152ec9fb35d66eab89f69ca
replica_0045__ge4tag	45	ge4tag	30813	4225629	97e38a2fb8051140b79f4105e0ce49b0854523cc5e5139a816615f9920934ebc
replica_0046__exact3tag	46	exact3tag	108556	14775418	d5971a91fa01fc3caef47ce7981efd689425215afcab77b50a7e7dc7acfda0e8
replica_0046__ge4tag	46	ge4tag	30916	4257013	ea7115d5a391fed96e233753f2145146e4963ead3d16c32f8eb23307a0b72196
replica_0047__exact3tag	47	exact3tag	108814	15028596	5f7de2a44f50d07024bb8910548500658eb6329c148cf250cfc339550579aed0
replica_0047__ge4tag	47	ge4tag	30816	4493479	c183bebaa301c31d8d4cc1aa6649d2a784a49469cd9c17620276be11b928d3f9
replica_0048__exact3tag	48	exact3tag	108574	14686436	ede6fc3dd8d3947440b1aa86fdb3a403cbbc6a1274f9120ddcbb62f8338e1aef
replica_0048__ge4tag	48	ge4tag	30569	4041185	588a1f809a3643e3ab2472df3f0171bf77043fcaab7b7cd4584629367339b82b
replica_0049__exact3tag	49	exact3tag	108331	14526972	855f9d835fef76ab25b4204d2eee7742c47542618e09242a67f524834ce42bad
replica_0049__ge4tag	49	ge4tag	30778	4221971	2dc525d9c91f29e4fe1d19c256528bc01425b810e0e9323b2029973ce067bcbd
replica_0050__exact3tag	50	exact3tag	108815	13795261	e4765103522d4f619257a06696126ba3d64a0f028b0722291fdfafa07ad23138
replica_0050__ge4tag	50	ge4tag	31024	3574675	6935fba8704b958e1945421c865b23a059d2b4cade0d734f19d50707506465d1
replica_0051__exact3tag	51	exact3tag	108151	15353572	abb4fd3bbffeeb2cce9fa8ebfbca1fb9394d268ce376ed38e30a508a10fb6f1d
replica_0051__ge4tag	51	ge4tag	30447	4306570	57fed7c9b5de78b9fe3b69915c9e11122cc22d521171bd416bb4d9d46f29c89a
replica_0052__exact3tag	52	exact3tag	108494	14432822	41c4e90b24d932580e1a3e100997c2b0eddd6641373c245f05021529bf309018
replica_0052__ge4tag	52	ge4tag	30455	3916682	08ceaed9bd055cad2e627ae42aa0e6858501316c87e958a99e6c2a3fce2d2122
replica_0053__exact3tag	53	exact3tag	108998	14754846	f926481752622ce19353203d1f0b5b8804a62b65b74840ffdb44e9a9ccdb8e74
replica_0053__ge4tag	53	ge4tag	30602	4196602	1c413784c579b4a64e3d9fabcbbf914bb33b92727b82cc429a18ab3cb8668777
replica_0054__exact3tag	54	exact3tag	108430	15132975	c92cfa3b815fd90722040f8213429f5ad552f60570f589c5e5f98b0195d30559
replica_0054__ge4tag	54	ge4tag	30678	4389844	8f4df5eec03fb8e5ddb7ffb157a19589595433b93b0da837e8b085cd7ebd4886
replica_0055__exact3tag	55	exact3tag	108796	14457920	7491bdf7a79a30edb9c054fcfb9ede8e6a700932c635bea7d663dbbec070939c
replica_0055__ge4tag	55	ge4tag	30697	3926019	d632b8c7412489c4fd320cf1097bc022ec647f257c518e108e30fd595e6f7647
replica_0056__exact3tag	56	exact3tag	108330	14250476	9f7b3dfeab916516186e93ab05ab7d23d3022ca1883164538aa9a463a4ba216e
replica_0056__ge4tag	56	ge4tag	30727	3940188	f9bd73059b6581f666a0265293d57c9365097ea6aa4f133109905d58ff73bcfc
replica_0057__exact3tag	57	exact3tag	108453	14027872	cee3ef429568a15bf760e8b13bdfe55c20d61ce19f247a9145b92e3c3d4da7e1
replica_0057__ge4tag	57	ge4tag	30570	3417288	0f14d1b087ea23c746f61137ee886bc00201caa09110c98e67b78ffddf9b40bb
replica_0058__exact3tag	58	exact3tag	108546	14764308	b37eb305b703fa9c5271437093cd50c519f6dbd2a7c7ee62edd5b3224afc7ec3
replica_0058__ge4tag	58	ge4tag	30440	3995177	855fbaa2b05e23b5a552da2684ba931fe11d50e58ff9482213ac6e243e4771f9
replica_0059__exact3tag	59	exact3tag	108625	14692265	c79dad80746f5da1c6f5fdd351ca7793ac11c18c767ba763b92c3be41237abc8
replica_0059__ge4tag	59	ge4tag	30598	4137150	ebeccc23b9c50f14efd3a904faf5fbd35ece59a88b59ed72a1bc3f06f0abe8ea
replica_0060__exact3tag	60	exact3tag	108466	14040734	e23fb1e783cde5a991f117f9d018eb7d4bcdecca028b2ff7e6242fe089f828ac
replica_0060__ge4tag	60	ge4tag	30612	3897347	50f69b096de97d2116519bff4b819cb782f1077445af1c470d84fe92f5f1fe8b
replica_0061__exact3tag	61	exact3tag	109237	14010808	bc01b7224c60f1d3b58bf015a3e99fd2ef1e8e2458ba558fa2254f43e404c2e7
replica_0061__ge4tag	61	ge4tag	30495	4046187	3ed06d3dd484873f5217f4ac83eb6a5e1a431a5fde6a5e633b4c8107746e0835
replica_0062__exact3tag	62	exact3tag	108312	14746190	b8efb6915623fc1f59eb435c5b365d94037e9710beef9793968a98793cf0210e
replica_0062__ge4tag	62	ge4tag	30490	4385523	7a1a1bfac4a2d9b73c2ea87868287ee12e3e46e59cace4b00724b6ce7eb7270e
replica_0063__exact3tag	63	exact3tag	108966	14839838	879f605a87d13871972cf0aa9024339f0edd9e04337fb8ff2318b288f2bafee1
replica_0063__ge4tag	63	ge4tag	30568	4317805	c5dab34657393fc648c6505ec157604b8b6bad55ed06dfb757a12aa88509a6d0
replica_0064__exact3tag	64	exact3tag	108377	14101850	f70b1875ffa4318a205490bb12ed17ec7f3c1679f47d518da07deb5f902fe2b2
replica_0064__ge4tag	64	ge4tag	30941	3863860	ac6a86fce15f53cbd076c5adbde453d9332e211866f4c4a7c58d456f6a514786
replica_0065__exact3tag	65	exact3tag	108246	14327583	dc772d4d59dd7021867ce2bec5030813d8bbee6900b6ea22683c594ab47a4062
replica_0065__ge4tag	65	ge4tag	30766	4036895	e7d9ea0e011c50a88a63f937fd04ab80ea3d81b51aafc3bdc62411e16e67bb7a
replica_0066__exact3tag	66	exact3tag	109220	14960726	6c57fed8704449e5af820c9336b0a735d8941e0d026bd4f866979715119ce0dd
replica_0066__ge4tag	66	ge4tag	30849	4252545	904eee30592dcfacbdd70222c8b799807771a2ac8c2480049cacc8bbde759262
replica_0067__exact3tag	67	exact3tag	109081	14216946	b3e4ea0346f26e6be50ed803559d4a94527779989cda857bb53cdcb55789875d
replica_0067__ge4tag	67	ge4tag	30797	3886663	32a7260a8cd534259983c9fe4d0990528afc67b3458c640fc075aba996abd96e
replica_0068__exact3tag	68	exact3tag	108488	14416243	60eb4c2df3a6a61ecbe11f638a843118db9d62d156186d0a6d90ee078250b978
replica_0068__ge4tag	68	ge4tag	30634	4104657	31d6c627f44ac6cdb4214245924401854ab838bfc069d7e7d015f5dbeeb359ca
replica_0069__exact3tag	69	exact3tag	109182	13913953	4b7915028edcc5ee313a985ccd04fa19c021a96c16b3618c72fb73a1f6c01c9e
replica_0069__ge4tag	69	ge4tag	30756	3693467	4a96bc944c4e2eb12e86717d24f683927842e181f3f5dd3af037b3fc01e8bb93
replica_0070__exact3tag	70	exact3tag	109145	14463510	96ed6b99943c9728429e329677962dcf6804584cafdcf7c50f4354d50dcf6a54
replica_0070__ge4tag	70	ge4tag	30490	3976815	4e2179fc3da7e44cba8f865a261d805e14b8a59e537d5bc0b2e9637759ab5b50
replica_0071__exact3tag	71	exact3tag	108964	14900058	089fbd7d084c83b12655448b26334329c4660be2c79aed97bf0b5e1e83d0038b
replica_0071__ge4tag	71	ge4tag	30701	4158531	aafa15049397d7a06f356327e59b0f77f420662d8504355ffc21c19f4d956d59
replica_0072__exact3tag	72	exact3tag	108896	14505156	36987a7a847e061f0efa58b7eaea4d0b024ab0c997b32aa8ce13e3c064451413
replica_0072__ge4tag	72	ge4tag	30733	4133824	31e5c400324992610ce423e94ae89e905035e988d9ad6343c526555f2016aa06
replica_0073__exact3tag	73	exact3tag	108710	14229217	6ee91e5049400c1afe53eb2ff4eb1e30ba0c7ca952997fd9c368360afd1fa572
replica_0073__ge4tag	73	ge4tag	30831	3853901	a6dfdbed2ca5e0853f960bbb867d34f85de56c7d7566121afa7a810cf41c7c00
replica_0074__exact3tag	74	exact3tag	108683	14187947	c04e435dbd792f002da2b3dcad10ade1c8ef48851e1c0152b7eb449336cfb4be
replica_0074__ge4tag	74	ge4tag	30801	3703611	e86fc8295627dd09fe63866f146bcda92b2c6b9bc059c6894968af2305c62a29
replica_0075__exact3tag	75	exact3tag	108286	14173523	4017cb552c9cd5974e62a34f3e0b61ecbdfbc9713a03f53c3681ad4892e5c0ff
replica_0075__ge4tag	75	ge4tag	30762	3954362	afc969173570e5630f57cdef5154807d106a69352869519d035ae532c4fbab3c
replica_0076__exact3tag	76	exact3tag	108280	14160204	ed8eab25a420b7bbe055249103051e4f22ae579f0481de1a3c21b0c4b0539303
replica_0076__ge4tag	76	ge4tag	30882	3957361	061854c693616bee69bb1a9155c2cf4523e7c9a2827eb8fa4fbdee70a7621093
replica_0077__exact3tag	77	exact3tag	108883	14496893	758254945732b06b373b07c3e571d49da35ac15a0cbaabe37cf2f639c3cb92fc
replica_0077__ge4tag	77	ge4tag	30763	3989480	db26e10debefaa746ce0a3a6b23971f992e6b69e3872c388693bf9d93c3d4f96
replica_0078__exact3tag	78	exact3tag	109115	14528874	30293ad4527c81cbe2b75fa87ec1994508e7d511317d8cfd5efe6d430e221446
replica_0078__ge4tag	78	ge4tag	30914	4095156	74783d86fed3c057e1440ad7b50f51c845932eea7e74ba6c4e05231c02530f6a
replica_0079__exact3tag	79	exact3tag	108605	14287927	8e4d0f583464b93d84f433dfe0ec82e637227be7d123e1f54a5e94ef14c74ecf
replica_0079__ge4tag	79	ge4tag	30654	3913594	313d2f99432e10d89d7555a5b8d428edb1372cb6b36b19292e7bf53e031c54ab
replica_0080__exact3tag	80	exact3tag	108923	15496269	4b3844ac1314046a74adf1a716f213ecac2a9115fe3771c11ebc9dc2754686f3
replica_0080__ge4tag	80	ge4tag	30843	4465151	ea2bd13fd256dc68b023a523bc1180dd7cc7e180281f16d58c63341c8c20e76e
replica_0081__exact3tag	81	exact3tag	108761	14496900	f99847e24c308042b9c6b8eba7031c56686dc57a1273d92fe61a4e1926b529f6
replica_0081__ge4tag	81	ge4tag	30814	4119006	aa7affcbdd7809f097dedc15a69c185285bf7a422e09559327b57b3016659811
replica_0082__exact3tag	82	exact3tag	108524	13719016	ac5a39b4ee9626ed6278da5da5ac03dfed551d6a9f2731fc4daeddd903bbfea9
replica_0082__ge4tag	82	ge4tag	30268	3577415	d4b58fd37c19453920d3d6aefda351fb5e2882a50b284fb2d8424cdae1a2ba1a
replica_0083__exact3tag	83	exact3tag	108821	15342445	2a209f9f007b14887f1021ee9cff80a0906ea9756706a48b0eb3b7405897ce9b
replica_0083__ge4tag	83	ge4tag	30621	4535855	0321f4efc51be5ddff0adb852c4ef4aa6fe9a00f70c5c1d88685c47a95848e0a
replica_0084__exact3tag	84	exact3tag	108579	14186779	3cc814a86b870d772aeabd15019b4a33ae4fd6bc777121a0f1122323e1cf2f4b
replica_0084__ge4tag	84	ge4tag	30453	3892273	a2a1b78e7345d173db75ebe9d74523f7f0b0757fb739e01b833cdea9b1bbafbe
replica_0085__exact3tag	85	exact3tag	109310	14446586	0852c06d909cbe76dad37377cd9c85d49d71464e886335517ed2c7e09070adc1
replica_0085__ge4tag	85	ge4tag	30550	3927883	ff70f0fc678a18d2892603e88c0a2b23c303e4d6deb8dedd802419840de1610c
replica_0086__exact3tag	86	exact3tag	108844	14524753	6dedac56f4a8fed800bd687ac861b317dcbfb03a4a9a7458f943081112df94fc
replica_0086__ge4tag	86	ge4tag	30436	3975511	56f7e5873b519ada996a2a6ebd385923cc64c0381e02a4e8db7c5c4868dc1fc5
replica_0087__exact3tag	87	exact3tag	108720	15395661	7ab7158306b1c47578bcbec314888baa6aff8a2f24b40ef8a621cdc5857bad9a
replica_0087__ge4tag	87	ge4tag	30744	4536180	b2ee41873df8eea20a4c5f5c02240772ea394622d4159b693beec213cbd1806e
replica_0088__exact3tag	88	exact3tag	108666	14375103	d378b4bef730050982308ae78900b4ae9e0b23ec7a46bf9c0e669751f73065d6
replica_0088__ge4tag	88	ge4tag	30534	4057131	3540d8885a0acc69c4451e316f5379eb6e3127982ef17ff5bd5b1ec37d75fbce
replica_0089__exact3tag	89	exact3tag	108275	14715207	e07829612a3ad62c1e3c9e6ad78fd234bd29ef85faeb6e71d3dfc307e4ab36d7
replica_0089__ge4tag	89	ge4tag	30588	4317665	68d15a25383494f1a1e215921bdc9b746f6b85a88add474b5d1aff5c5938fa96
replica_0090__exact3tag	90	exact3tag	107937	14558489	150293dbdc23a1fa1d245d243b5000c5c1363291324f0d54f90eb456c4a8acd1
replica_0090__ge4tag	90	ge4tag	30650	4134633	0769604dba6d32bf21306e8eca169281a14929463bd2da7cf013f07818d587be
replica_0091__exact3tag	91	exact3tag	108139	14185089	cb49fee26a1d5c1b2a18c45fec40f1996836bc58f8c5ddd933789d3fc28dc609
replica_0091__ge4tag	91	ge4tag	30587	3849907	62ed5fe672349b7947742775935d05d68dc15616001edb64b1477ff38fafeb30
replica_0092__exact3tag	92	exact3tag	108616	14214841	999f577f2b10d0f8439576acc3d73cf759ef6512bbbafe6749f0d84d166ce850
replica_0092__ge4tag	92	ge4tag	30743	3795906	33a2a32fb57fe8cfa1496ae458e9af0cfd1ab8323704cb56f66a0bea54e5c34a
replica_0093__exact3tag	93	exact3tag	108958	13772987	b74527a20238cbe2c7fbe0f014cd8ee739580791028696295234c7aeb63f10fa
replica_0093__ge4tag	93	ge4tag	30596	3683680	70b7b99b22b84a456ef4da7040d184aca73515460dbe40aface8d5758ee55227
replica_0094__exact3tag	94	exact3tag	108385	14233835	6f790d82035b9853592005c962d7adb597d9f563f007f7f934139a1048557904
replica_0094__ge4tag	94	ge4tag	30452	3934464	65f62e71f2c456db5ba059d1fb2f99e20e615bcb13d8245c5b3723e8519b38f8
replica_0095__exact3tag	95	exact3tag	108566	15175261	0568a2490137abf2ca1528e070da3aa09f7f722e54df2a039a74406af5a25cbb
replica_0095__ge4tag	95	ge4tag	30739	4282845	8921b8ba92dbfe3f8973e8cbc4dd68e4342d133eb6bb9069bd5da4834093d15d
replica_0096__exact3tag	96	exact3tag	108350	14767812	636c876ed92af95e2181d27d2defe28f41e2704285bcde38ef5b0dd5c2e58558
replica_0096__ge4tag	96	ge4tag	30459	4019220	8ee9d48ff0c6f1175d0a9d049adec865ba8896af84420ba1151b8c5bade545e4
replica_0097__exact3tag	97	exact3tag	108413	13881306	319eafbba0bb8ea650bd78b22acb26917f638a457d6c778eb2721c15acd57b7e
replica_0097__ge4tag	97	ge4tag	30806	3837943	a896f644445e92a656cbe3e5a4ac29453dd603b9c4584028ae577a2cee07453a
replica_0098__exact3tag	98	exact3tag	108770	14911951	8ff65898e426b0fefa279a3bb581adbb2f23ee782ff6dfc1c59bbd10bfdce423
replica_0098__ge4tag	98	ge4tag	30474	4102734	cd96b0678c100480b2b7d7cbffc8103e0fb090548fbdb827fe707db778845b7f
replica_0099__exact3tag	99	exact3tag	108514	14210698	8dd8c59f81370a0dacc5240ce89f898cc9679d57da767ce5804cc2baa6ef2fb6
replica_0099__ge4tag	99	ge4tag	30989	4075655	5f19c8125ab98ceee601c4e20805dcd73e1859277d8d60285b4f9d5a9976b8ec
