job_id,bin_id,shard_id,remote_bundle,receipt_adler32,eos_adler32,downloaded_adler32,bundle_bytes,bundle_sha256,receipt_sha256,all_checks_pass
10,0,1829,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1829_seed1201829_bundle.tar.gz,d7c47bb8,d7c47bb8,d7c47bb8,1609317840,fbb812999c997e699dd867944ba3c789c80a62ca18f4fb25c84331ce950bb55f,ffa49a1e1a416cc73898895ec2d7f886254e44ab072f029b07f3cf04894a5f89,True
11,0,1830,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1830_seed1201830_bundle.tar.gz,689a9a99,689a9a99,689a9a99,1619679312,bfac5bd6ca5d3491373d547c62e827d716c223e106131f8cb7d526b938489439,878ff7e3d501851e7f852ab69b400696035d1ef7259ff0808dba6993c25a1050,True
12,0,1831,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1831_seed1201831_bundle.tar.gz,fafc1255,fafc1255,fafc1255,1607718622,7ccff9998325fc8a399b4892bf00edcbe510adc8e9179c8166024bf4a67405b7,98b9206977a145e3f2a5e5e0e767db680cc4a699ef611b5d776f13a213c0fa48,True
13,0,1832,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1832_seed1201832_bundle.tar.gz,234b2232,234b2232,234b2232,1611575648,607acf9d458016fc8122605c3f3bf3e3b82cb612c516ad82e44d4f92506a2e70,33b63a4da616f69c91f88f2766aa1cd6fbce81906ad2995ca0718bb014917798,True
14,0,1833,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1833_seed1201833_bundle.tar.gz,f7d00fb9,f7d00fb9,f7d00fb9,1605327752,a1e255cbd788e441a855dfd00106b42528905acaa062fe8d9a000015fe1c67bb,cb88393671a695c36871a0d4379f04c996e4d90a1a8e1d6049e451b5977093c7,True
15,0,1834,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1834_seed1201834_bundle.tar.gz,a599e95f,a599e95f,a599e95f,1614488809,67673ff2dfcda29bcdfa6e72d66a84f2781e77186237fe31204c5053a1ba690f,80a2d6b042f565fb141ad505ba296ed39dde3d157e19d3f7006667d448b1e204,True
16,0,1835,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1835_seed1201835_bundle.tar.gz,5b7678c5,5b7678c5,5b7678c5,1610200590,915ba14efadafaec1ac19a8c5ec0bb3603e9d6ca024ba77b698597b4c170a3a0,fc005a78fffb8c33458ddc208fba50370e8761f6b96773adc2de6fcfe21ccd74,True
17,0,1836,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1836_seed1201836_bundle.tar.gz,648ec143,648ec143,648ec143,1613401471,2ea3b4dea1a5ab136b9aa8008dac922e653a08496f475919bbd80fa3afea4553,b4d801431f1b258e991fb52dd4e742b8532b9acfa0b1da6e909707c0386c2c1b,True
18,0,1837,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1837_seed1201837_bundle.tar.gz,eb0da49c,eb0da49c,eb0da49c,1597284096,e5102a3a3964d93de880487b337ec677d7a0574404a5d43a58754399c996ec78,a6229112af3f34ff148c85cceb902a20e7ff21860545bdfcad36ec8cc62b0d09,True
19,0,1838,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1838_seed1201838_bundle.tar.gz,f134bb8d,f134bb8d,f134bb8d,1599817547,950be8d01eb213854bb4615f42cb5bc0627fb34327ef6a75a271667bc1eae6b3,0108bd19e0a47b3976b8b69ec1593ac6bdf1e0b7b1e29aeb1a1c7be9bb8c93ca,True
20,0,1839,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1839_seed1201839_bundle.tar.gz,431b6f5a,431b6f5a,431b6f5a,1617466531,739ba01e4e72dfb48ba372254620792cb60e3842c13d98c74f4d3e620807e7a6,8c2777c9d57e883f8c931bd55aa1c52d4ff767de28b928544e33e587ae28ba7a,True
21,0,1840,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1840_seed1201840_bundle.tar.gz,b87171ff,b87171ff,b87171ff,1601389165,fab3cbb3179a08d74e10505669fe0378575d2525f5f1a882b545bb65ccc31847,a7d02d0a80bc64973f7c98bc4a3ca759697efff80743cf0c164c903788778c48,True
22,0,1841,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1841_seed1201841_bundle.tar.gz,5c762bcb,5c762bcb,5c762bcb,1610744205,9f591e720e743a8a20823f1f6cb3555a084e106064a39ea719285e69c3affbf6,debf9b37f252af07eb4ba4b6438047dae39c5a729287ae707ee218b225ca9a5d,True
23,0,1842,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1842_seed1201842_bundle.tar.gz,09ff8269,09ff8269,09ff8269,1597884425,4ab8af1a8b349e3e7697ddaee935233cd17c293119e4802c1f2ea884fae1d118,33f754b8fcd034e79e4017fafdc73ba2ba683fdd17cf1d25d0bd4b8e1edc23af,True
24,0,1843,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1843_seed1201843_bundle.tar.gz,8bfe017c,8bfe017c,8bfe017c,1590960929,c125e565cb1164a855c4633f8aea3af59997b057d127abc82fbdea93dfd0761b,c2b43815f1e1d58a5c7fc446412aad20dd62c3571d75b80c19bca65657c437b5,True
25,0,1844,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1844_seed1201844_bundle.tar.gz,89b4fe78,89b4fe78,89b4fe78,1602429644,934e35054b1929673a5067ea2c63e240a2bc093559078ae5359a05b293266bc5,e163e242c41f7a9cd8acb38ce05193c3099c9d94bc935a6d5a2b355946a429b5,True
26,0,1845,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1845_seed1201845_bundle.tar.gz,49730610,49730610,49730610,1616941581,fca9b912c9f30ece267dc42e7e1a889b4fa1a7aa880b24907e824a4350f5d86a,460d5db6d440fc7366812d6daf193903ad1c32d423bcc518f8f2d9aad726a966,True
27,0,1846,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1846_seed1201846_bundle.tar.gz,5627469e,5627469e,5627469e,1612371325,ff95533fa6161124db8d8dae7302fff11ba34e39230332a89383ecd3d6efca8d,6b0df4a3d5057e5a762e7c589f4f5e77a2510d77d76db96d69515aa9fe497fdd,True
28,0,1847,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1847_seed1201847_bundle.tar.gz,38db28d4,38db28d4,38db28d4,1598348626,232d6458bdf1962ab579e33ec7b38e4561461b276010a0709558ba778279ed20,3d5dcb0172f5510ed751f3fc7f258ccb71cf93437de33aa969642616b12dba92,True
29,0,1848,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1848_seed1201848_bundle.tar.gz,65bd1d4c,65bd1d4c,65bd1d4c,1619440915,9995ff63d459d6a177a5e9c9b5b38e05adf6719d1055f1d559a106198c00a842,25d49f49924495c68d9792ce5e89012bea2e3d14a394c70eb8ede5a0301f2585,True
30,0,1849,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1849_seed1201849_bundle.tar.gz,79e508ea,79e508ea,79e508ea,1483325685,e9b008f5329e5be8bd7a18c2465d11180639d4a464cf5ca90d4a097962bd0a8b,fb844c59f14c118c634c30203ea5635a963bca6d6c70cea7f134850a5e32ee37,True
31,1,1850,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin01_pthat75to100_shard1850_seed1211850_bundle.tar.gz,91f68571,91f68571,91f68571,1668487540,b70c48cfa448abad0e7678a9c9711f7699d955bb6275792cd8e0bb9c6050ceeb,7b566cb05a9fc242e2c0e16d7fbf7d809e5baf88387291c6b399bd2df83d5b0e,True
32,1,1851,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin01_pthat75to100_shard1851_seed1211851_bundle.tar.gz,46abd160,46abd160,46abd160,1669420982,08f7befcd08be20bc808ed1bf425cb4472251001f2d96291b4b916d75e546eff,78ecd096d8c19f5368108d3f34cac5e4898495effd00cf61ec61e59e9f2cb1be,True
33,1,1852,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin01_pthat75to100_shard1852_seed1211852_bundle.tar.gz,bc18b1ff,bc18b1ff,bc18b1ff,1666618710,8fd45e43605d448746811eaed519098ebdbd8a10a815fe96efab062f823502aa,2bf655bb289340c5a2725b4d02b173cb81b0c6c70bc3313e5926d339ed79832b,True
34,1,1853,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin01_pthat75to100_shard1853_seed1211853_bundle.tar.gz,fc1107c4,fc1107c4,fc1107c4,1664562501,8edf6ac7b4dab72716319d43bed494d617984856759791406543ebafcfe4f8d1,05bf57cb9ca483d45d3c9834b11de27999bcf88ada418a626319cfd9d9d9bcd0,True
35,1,1854,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin01_pthat75to100_shard1854_seed1211854_bundle.tar.gz,ea45472e,ea45472e,ea45472e,1662722522,170b799288243746b8b230711f71922c613752f2f8e68b92bafc7b0fc4868343,dccc6feae2ef6ad7b1a46c0aff485fde0aede788f9853b5454277444848f6b40,True
36,1,1855,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin01_pthat75to100_shard1855_seed1211855_bundle.tar.gz,dcc0a0dc,dcc0a0dc,dcc0a0dc,1685248387,6652c47d757def9ce41d80db07057bc44ec66fe9bd2f552b55ca96976d8e9ab4,dab2c8846a51bb1ab3998ada561f81dfe2c282bc1ddc87437c5f2a6e97e1ad44,True
37,1,1856,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin01_pthat75to100_shard1856_seed1211856_bundle.tar.gz,98a1dfc7,98a1dfc7,98a1dfc7,1660304115,ecb576f50eca60d53871cca9380b63c6731c428e490c990a1af0064dbe6ed1f9,061b601c7860f954d209d5ecd495d4ac1143a2a2fd2f786f34dec3ad28b37937,True
38,1,1857,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin01_pthat75to100_shard1857_seed1211857_bundle.tar.gz,c3075cd7,c3075cd7,c3075cd7,1231074864,6574b1dd777825b71e79164b4a894fe9c806e8b83c8ac885e68609412f6dfbc9,9ef2ab8268f0ae7feb593190d888b4482702e0b9edd66dd52cec51c5874fa498,True
39,2,1858,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin02_pthat100to200_shard1858_seed1221858_bundle.tar.gz,498fceea,498fceea,498fceea,1725809580,c8d7821cd2c81d466596dc349e13f29704ac542390342a765d104ebdacd2acd1,2ef60ef7d67d9165230d25a602fe264a30ed5c2215652e3aba757eb182aaf313,True
40,2,1859,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin02_pthat100to200_shard1859_seed1221859_bundle.tar.gz,437de5be,437de5be,437de5be,1718131760,ae365a520ff9e529656008cbb9f236aa9071ea31dbbc78b3b296016c5d9e2fa7,27ca9c4d855fc58e3044c4e20c982acbb8f370a80507c31c83c14bfe3e791df1,True
41,2,1860,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin02_pthat100to200_shard1860_seed1221860_bundle.tar.gz,27d93945,27d93945,27d93945,1717725046,43b7d75161b9f135d7714f1415cbfb9151c425f447bbcef2642cdf0014f32def,15dad70a4e9046d47cc2e3839ab756fb8dd08097f712b671e4e84f16464a7f6c,True
42,2,1861,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin02_pthat100to200_shard1861_seed1221861_bundle.tar.gz,f8bac3fc,f8bac3fc,f8bac3fc,1728590112,8e30e9e39b15155b829ea787d388c4178b3e1209a53f3cbb19c9678d1702528c,ec82cfa0a447fdff764689a1fe3a20cfb8c4beaba819a47472ff3b82151fc7e4,True
43,2,1862,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin02_pthat100to200_shard1862_seed1221862_bundle.tar.gz,a654643f,a654643f,a654643f,1483036533,d0e31fbc2e45764e1c2aa4b992123dd3b6b9c067c20de2aeb1a038fea3911384,c80ca35c59dde4c5f938d33df5638b7d177d7b6dd80c57b44e8adb208c89f038,True
44,3,1863,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin03_pthat200to300_shard1863_seed1231863_bundle.tar.gz,859c969c,859c969c,859c969c,1839949349,8fa5ca48202893c94659da86e1fb631013bf51169f0735e27846eb6d6ae0435d,3437215509b04ec6918f32bcb73408416641243ca2fefebefc2f3c99dd116d98,True
45,3,1864,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin03_pthat200to300_shard1864_seed1231864_bundle.tar.gz,654ef116,654ef116,654ef116,838214713,89b55fa9f2a1141ef9173fa8730478711829c9667e42563a43c8520e969cfa92,a07e447ca5f1dd69118c66469c60f720ce81a1621318c10ad422ee24867517a4,True
46,4,1865,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin04_pthat300to500_shard1865_seed1241865_bundle.tar.gz,00476738,00476738,00476738,1903799088,e89a3341850fe8048fe26fb35f58af246f118ce908f8f8f81763376ff43390ae,b08187fa7f1c8e317657139727c0eb1f2fd99b898f6e9842f6de068842211a35,True
47,4,1866,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin04_pthat300to500_shard1866_seed1241866_bundle.tar.gz,b1c7c2a8,b1c7c2a8,b1c7c2a8,548744894,c1ba860d17279170030fbe182f9be7940562279df4bc90e4ff3e8194d6b2ee70,3644b3e25209f1cb92a7a4a5fb74b8cb9747074f3260295fa5eb764cf9cf6f11,True
48,5,1867,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin05_pthat500to700_shard1867_seed1251867_bundle.tar.gz,cc6da2ee,cc6da2ee,cc6da2ee,1983341628,68a5b8d738947695742539b428ec9f2f79ea97f0b1950630691b8c3a8cc17e53,52b8a036c6c31c0dcbfe34b8779da9ea4fd987adfd5f89fd1b079ca7b3d2dd9a,True
49,5,1868,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin05_pthat500to700_shard1868_seed1251868_bundle.tar.gz,82f3d201,82f3d201,82f3d201,496326946,d0496b91fcd6044c5b82308982e571a203bc411da30934f54503de1b90c3e5c9,12ab35d8fac158d792118697e926d0651b7ef71e1d17dda6749efb1ca38738ad,True
50,6,1869,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin06_pthat700to1000_shard1869_seed1261869_bundle.tar.gz,00642e81,00642e81,00642e81,2000902482,d670d5aa4f1c075e2279773881672825a7b1b6b6ab9113c1f52e522eb8e0f72d,5e00f4511a2c0e0efc19cf3f7f35a6cb299a176bb01f7dcb3e54e405d2b3991b,True
51,6,1870,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin06_pthat700to1000_shard1870_seed1261870_bundle.tar.gz,5c4ab26e,5c4ab26e,5c4ab26e,500872669,1a311d174fe02971ce651dbcdf604e9e6558ce495e66537067a34904ddfcabed,d610bc6d4d49c15309d2fed645c6e6a93c8e3a0f46a4e0c52572e639f80ea59f,True
52,7,1871,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin07_pthat1000toInf_shard1871_seed1271871_bundle.tar.gz,971617e2,971617e2,971617e2,2008455630,6522352da1d6c75768cadf23ceed28d79aece2e01215ef94bab2ea8341fb7766,6b494219a35204129d8aa4d47d18e4dfcf3021752798086d5910ef4a9d63f014,True
53,7,1872,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin07_pthat1000toInf_shard1872_seed1271872_bundle.tar.gz,03122304,03122304,03122304,506515649,d5148c3191357b7a7f591822d0c251d761c28bcb59d2269b7faf15592707f437,6301bf0c233647dd16eef84a9afacb81cb9e31427b468a872fdc0be3376aae92,True
