ordinal	sample_class	process_or_mode	campaign	source_tag	remote_bundle_path	bin_index	pthat_min_GeV	pthat_max_GeV	shard_id	seed	n_events	sigma_gen_pb	event_weight_convention	sum_event_weights	sum_squared_event_weights	min_event_weight	max_event_weight	weights_uniform_positive	per_event_generator_weight_transport_required	source_bundle_size_bytes	source_bundle_sha256	small_provenance_members_opened	identity_pass	exact_metadata_recovered	normalization_denominator_authorized	status
25	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1058_seed1201058	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1058_seed1201058_bundle.tar.gz	0	50	75	1058	1201058	10000	18179463.297918748	pythia_info_weight_normalized_to_sigma_gen	10000.043193034202	10000.087890130533	1	1.0384968577319726	False	True	1609173839	a24f114f1c08c431d55db64d8c0c6a4a37ac98a34d75b0690b4c7c722a39109e	7	True	True	False	qcd_exact_small_bundle_provenance_recovered
26	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1059_seed1201059	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1059_seed1201059_bundle.tar.gz	0	50	75	1059	1201059	10000	18242466.132871542	pythia_info_weight_normalized_to_sigma_gen	10000.073427545263	10000.14831478995	1	1.0245159042131122	False	True	1610507238	0e4dc7a6a51b6b9da46568fbadb5cbeec5905cf244c1e189cf09bb1cfd074122	7	True	True	False	qcd_exact_small_bundle_provenance_recovered
27	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1060_seed1201060	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1060_seed1201060_bundle.tar.gz	0	50	75	1060	1201060	10000	18313247.935676116	pythia_info_weight_normalized_to_sigma_gen	10000.038078458623	10000.076743203856	1	1.0188425181687017	False	True	1596840688	e53248dc9a34004d4547f7a3be147f18c626023b50f7329a8757e0c346ef6baf	7	True	True	False	qcd_exact_small_bundle_provenance_recovered
28	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1061_seed1201061	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1061_seed1201061_bundle.tar.gz	0	50	75	1061	1201061	10000	18233949.803878874	pythia_info_weight_normalized_to_sigma_gen	10000.008898585693	10000.017876356214	1	1.0088985856932056	False	True	1601887897	0097c6ac61640f17d18d378144ede341ff24bc0f2532d2bbd64fffcfe5f0ef63	7	True	True	False	qcd_exact_small_bundle_provenance_recovered
29	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1062_seed1201062	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1062_seed1201062_bundle.tar.gz	0	50	75	1062	1201062	10000	18171930.092044394	pythia_info_weight_normalized_to_sigma_gen	10000.038523040403	10000.07850666849	1	1.0382164056428882	False	True	1607273801	81d355fa8e3a26e32133bc9c15370d755ed6b8c6fec211e497355e809f302dd3	7	True	True	False	qcd_exact_small_bundle_provenance_recovered
30	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1063_seed1201063	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1063_seed1201063_bundle.tar.gz	0	50	75	1063	1201063	10000	18359362.59419266	pythia_info_weight_normalized_to_sigma_gen	10000.016235176026	10000.032733932992	1	1.016235176025979	False	True	1595406061	e574587b5fda97ec7696650916402708716d7c1d6908599635e8477930910360	7	True	True	False	qcd_exact_small_bundle_provenance_recovered
31	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1064_seed1201064	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1064_seed1201064_bundle.tar.gz	0	50	75	1064	1201064	10000	18238562.983984787	pythia_info_weight_normalized_to_sigma_gen	10000.070786226686	10000.14428543059	1	1.0455821337526412	False	True	1618567740	53c741cce40915617a3d445841228909d69647f1e44e292a45f5500d8b5af173	7	True	True	False	qcd_exact_small_bundle_provenance_recovered
32	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1065_seed1201065	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1065_seed1201065_bundle.tar.gz	0	50	75	1065	1201065	10000	18303733.41254391	pythia_info_weight_normalized_to_sigma_gen	10000	10000	1	1	True	False	1611605812	592bc6e9409f34b03e6cf1c7957514cd20c7c292fdbdf64fd538f4e4b3cd6c69	7	True	True	False	qcd_exact_small_bundle_provenance_recovered
33	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1066_seed1201066	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1066_seed1201066_bundle.tar.gz	0	50	75	1066	1201066	10000	18253348.00337421	pythia_info_weight_normalized_to_sigma_gen	10000.075732628824	10000.153039866384	1	1.0242730922027963	False	True	1613691025	6a2a936e5f0a884881c6dca4c48157aac024324626b287936bf86dbaf4f53f4a	7	True	True	False	qcd_exact_small_bundle_provenance_recovered
34	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1067_seed1201067	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1067_seed1201067_bundle.tar.gz	0	50	75	1067	1201067	10000	18295957.14315473	pythia_info_weight_normalized_to_sigma_gen	10000.110531283004	10000.225462782457	1	1.0551947300349545	False	True	1599091766	2b085f6f9ef69a59d1aa005a23f5bd77f4501e427922d7d391f88345d7bf2237	7	True	True	False	qcd_exact_small_bundle_provenance_recovered
