sample_class	process_or_mode	campaign	members	train_members	validation_members	test_members	generated_events	sum_generator_weights_candidate	sum_squared_generator_weights_candidate	min_generator_weight_candidate	max_generator_weight_candidate	negative_weight_events	zero_weight_events	positive_weight_events	all_member_entry_count_closures	all_member_denominators_recovered	normalization_denominator_authorized	reference_cross_section_assigned	physics_normalization_ready	campaign_denominator_status	campaign_denominator_value_frozen	campaign_denominator_use_authorized	cross_campaign_process_aggregation_authorized	process_reference_cross_section_assigned	physical_weight_application_authorized	physical_yield_calculation_authorized
background	wz_zbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	5	3	1	1	50000	178216.5002822876	635225.6324771099	3.5495901107788086	3.5708699226379395	0	0	50000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	wzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	1	0	0	1	3300	100.86702873557806	3.0980808166724527	-0.030640045180916786	0.030640045180916786	4	0	3296	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	4	4	0	0	13200	402.0103596188128	12.332860608401818	-0.030611766502261162	0.030611766502261162	24	0	13176	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	zbbbb	unified_background_5m_wavea_pilots_20260720_retry1	1	1	0	0	10000	68993.020057678223	476003.68166791898	6.8993020057678223	6.8993020057678223	0	0	10000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	zbbbb	unified_background_5m_wavea_proven111_20260720_v1	9	6	2	1	90000	621061.70177459717	4285794.2333838511	6.866797924041748	6.9282422065734863	0	0	90000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	zbbbb	unified_background_5m_wavea_zbbbb_remaining15_20260721_v1	15	12	3	0	150000	1037608.0894470215	7177573.8061864013	6.8847589492797852	6.936920166015625	0	0	150000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	zzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	1	0	1	0	1500	15.810139574110508	0.16753265840337281	-0.010568275116384029	0.010568275116384029	2	0	1498	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	zzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	4	3	0	1	6000	62.954896301031113	0.66677293444457986	-0.010589055716991425	0.010589055716991425	14	0	5986	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	20	14	3	3	20000	19.852150115184486	0.019705580544910214	0.00098660995718091726	0.00100020004902035	0	0	20000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
signal	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	80	66	14	0	80000	79.365459969267249	0.07873673468846025	0.00098559004254639149	0.0010006000520661473	0	0	80000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	1	0	1	0	10000	14.25917143933475	0.020332397013633985	0.001425917143933475	0.001425917143933475	0	0	10000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
signal	vbf_hh4b	vbf_hh4b_sm_scaleout90k_20260722_v1	9	7	1	1	90000	128.18485382013023	0.18257224036224087	0.0014143929583951831	0.0014283836353570223	0	0	90000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
