target_index	fragment_id	sample_class	source_index	process_or_mode	campaign	member_id	final_split	generated_events_frozen	candidate_rows_metadata	root_tree_entries	event_weight_values	sum_generator_weights_candidate	sum_squared_generator_weights_candidate	min_generator_weight_candidate	max_generator_weight_candidate	negative_weight_events	zero_weight_events	positive_weight_events	uniform_event_weights	signed_weight_sample_candidate	bundle_sha256	root_member_sha256	normalization_denominator_authorized	reference_cross_section_assigned	physical_weight_calculated	denominator_source_branch	denominator_value_status	denominator_value_frozen	denominator_use_authorized_within_campaign	cross_campaign_process_aggregation_authorized	process_reference_cross_section_assigned	physical_weight_application_authorized	physical_yield_calculation_authorized
33	033_21eacc777bbecdd0	signal	27	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	ggf_shard_027	train	1000	74	1000	1000	0.99169998429715633	0.00098346885885498012	0.00099169998429715633	0.00099169998429715633	0	0	1000	True	False	95bc3b273bcafdfea907a7740b6c6f925557e216244921dce4b4bd1c3025f20c	f712453a12811e99fb34eec053bba1ba63aeb408bc192cf997e8c08889858a7c	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
34	034_414de89a67046e0e	signal	28	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	ggf_shard_028	train	1000	63	1000	1000	0.99494005553424358	0.00098990571410648371	0.00099494005553424358	0.00099494005553424358	0	0	1000	True	False	f4dc484057d4967d3408eccf55f7c6a7ef781c30b1c4c8eff52e094a86e1ce59	ca1cc64b95618394be5f3b85fd83e6478b15f0fd26eb8f03df2d4914bfa34300	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
35	035_de2b05ea76c02535	signal	29	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	ggf_shard_029	train	1000	54	1000	1000	1.0006000520661473	0.0010012004641947766	0.0010006000520661473	0.0010006000520661473	0	0	1000	True	False	9f7954d9b794ac233a18d292b11c7479fed1c2d240471b8bed20e34a17eba74a	315edb327ac5bb8186f63eadc5aeab3cfcd47693b2e414ed2b2d985ba64232cd	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
36	036_4ca4d1cc39101217	signal	30	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	ggf_shard_030	train	1000	68	1000	1000	0.9943000040948391	0.00098863249814299704	0.0009943000040948391	0.0009943000040948391	0	0	1000	True	False	b1151fac09bffb12189c15d5949c9742862893500b36ae68d7e34cca78a1ec14	e88e75a726313fefcde4b7e0997e751788fb6a71e66a92472c76ceef67a72c81	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
37	037_a83930738e5b5453	signal	31	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	ggf_shard_031	train	1000	58	1000	1000	0.99235994275659323	0.00098477825598786888	0.00099235994275659323	0.00099235994275659323	0	0	1000	True	False	8ee2339ae2244a6b73ebca3e0725ad482b2d73950cf8ecc5346f251e024a3035	f6e97c644c18fa9c0c491674e24c60b8786106727a989eec87a6ffcebaaec410	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
38	038_1ab068a8a42ebb2d	signal	32	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	ggf_shard_032	train	1000	75	1000	1000	0.9954000124707818	0.00099082118482683246	0.0009954000124707818	0.0009954000124707818	0	0	1000	True	False	8b6949ba505e9bd284d5a0dd98fa4caddbcac70f7059578014af5eae9fc4b549	86063fb34242af18197ab25ebef93730385db055aaa8bb1cc70745b28548c93d	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
39	039_647fc6aafaffc832	signal	33	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	ggf_shard_033	train	1000	55	1000	1000	0.98778994288295507	0.00097572897126071165	0.00098778994288295507	0.00098778994288295507	0	0	1000	True	False	b5fd9cc1b484fcba4fa053fa1bd7711975d21f9892b12dc8912bf7ac949254ff	154f357dd541e1f53550f040229746a6a9f1c68fdc20c39df37466bb0c8e4d30	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
40	040_2742ffff7e383c38	signal	34	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	ggf_shard_034	train	1000	56	1000	1000	0.99764997139573097	0.00099530546542590283	0.00099764997139573097	0.00099764997139573097	0	0	1000	True	False	82a59a1b1ad6c5d572480255caf8bd3ecff8fc550ffebb4da488487bba5213cf	423fd927f72a50d13f3424000b5d6e1c414bdd31ef21252f19b3c1dfa3f2913f	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
41	041_567e3825ca16f051	signal	35	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	ggf_shard_035	train	1000	56	1000	1000	0.98939996678382158	0.00097891229427182714	0.00098939996678382158	0.00098939996678382158	0	0	1000	True	False	3ae6f6b174fb9b4fb5287b150510595c6946b75d27278432519799ff1f1cecbe	f482928dea576f98e692a96558e8ed2eb47889ab434ddf9a17ea47c8eae146da	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
42	042_7d649ac4e9139c8a	signal	36	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	ggf_shard_036	train	1000	69	1000	1000	0.99553004838526249	0.00099108007723796307	0.00099553004838526249	0.00099553004838526249	0	0	1000	True	False	4113f54e7e56f4f7028cbb27cc1c8efd6a1da8d40bb7140036d3ee1280b451d7	c58d62bd4dc0cca6a41623396a9f213f6d04cc51e555833306ffb0de4c23b9c6	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
