region,sample,group,rows_in_region,region_xsec_pb,expected_events_450fb
rhh_lt_55,VBF_HH4b_SMnorm,signal,520,3.0524e-05,13.735800000000001
rhh_lt_55,Zbbbb_100k,background,2158,0.14918236736,67132.065312
rhh_lt_55,ggF_HH4b_SMnorm,signal,536,0.00056548,254.466
rhh_lt_55,qcd_bbbb_iht100to200_20000,background,217,2.2377030662536623,1006966.3798141481
rhh_lt_55,qcd_bbbb_iht200to400_20000,background,766,4.845127076721192,2180307.184524536
rhh_lt_55,qcd_bbbb_iht400to600_20000,background,776,0.3792648418426513,170669.1788291931
rhh_lt_55,qcd_bbbb_iht600plus_20000,background,500,0.044692191481590274,20111.486166715622
rhh_lt_55,ttbar_200k,background,435,1.1141973152160645,501388.791847229
rhh_lt_55_and_mhh_gt_400,VBF_HH4b_SMnorm,signal,267,1.56729e-05,7.052805
rhh_lt_55_and_mhh_gt_400,Zbbbb_100k,background,355,0.0245411216,11043.50472
rhh_lt_55_and_mhh_gt_400,ggF_HH4b_SMnorm,signal,103,0.000108665,48.89925
rhh_lt_55_and_mhh_gt_400,qcd_bbbb_iht100to200_20000,background,10,0.10311995697021485,46403.98063659668
rhh_lt_55_and_mhh_gt_400,qcd_bbbb_iht200to400_20000,background,151,0.9551099067687988,429799.4580459595
rhh_lt_55_and_mhh_gt_400,qcd_bbbb_iht400to600_20000,background,655,0.3201268961429595,144057.1032643318
rhh_lt_55_and_mhh_gt_400,qcd_bbbb_iht600plus_20000,background,469,0.041921275609731676,18864.574024379253
rhh_lt_55_and_mhh_gt_400,ttbar_200k,background,137,0.35090811996459964,157908.65398406982
