target_epsilon_sm,model_label,actual_epsilon_sm,n_qcd_pass,r_qcd_central,s_450,b_qcd_450_central_diagnostic,s_over_b_450_central_diagnostic,s_over_sqrt_b_450_central_diagnostic,z_a_450_central_diagnostic,z_a_450_using_b_qcd_95up_mcstat,support_label,primary_inference
0.10,SPA-Net 10M primary checkpoint,0.10000236142378111,6623,13230.153404801449,120.15776921863493,48422.657386118699,0.0024814369079438521,0.54604388405632787,0.5458182883200664,0.54032605123149635,ADEQUATE_RAW_SUPPORT,CENTRAL_WITH_B95_CROSSCHECK
0.075,Step2j BDT-K,0.075000787141260364,719244,121.82695441324502,90.11714467766997,5258599.6963644205,1.7137099205321382e-05,0.039298173601854954,0.0392980613600038,0.039259964938472697,ADEQUATE_RAW_SUPPORT,CENTRAL_WITH_B95_CROSSCHECK
0.075,Step2j BDT-KF,0.075000787141260364,7490,11698.705740987984,90.11714467766997,54761.54368443742,0.0016456282751444824,0.38509650914655125,0.38499096055201387,0.38134637231268215,ADEQUATE_RAW_SUPPORT,CENTRAL_WITH_B95_CROSSCHECK
0.075,SPA-Net 2M primary checkpoint,0.075000787141260364,2799,31305.218292247231,90.11714467766997,20464.293828136229,0.0044036283604259275,0.62995429521767199,0.62949279405892955,0.61977389140123662,ADEQUATE_RAW_SUPPORT,CENTRAL_WITH_B95_CROSSCHECK
0.075,SPA-Net 10M primary checkpoint,0.075008658553864072,2028,43206.758382642998,90.126602568119694,14827.29113378359,0.0060784267169859919,0.74015400354334171,0.73940606761006356,0.72601471447074506,ADEQUATE_RAW_SUPPORT,CENTRAL_WITH_B95_CROSSCHECK
0.05,Step2j BDT-K,0.050001180711890553,429544,203.9914560557242,60.078884609317463,3140519.6956459265,1.9130236531428834e-05,0.033901670653828583,0.033901562563914828,0.033859039505891343,ADEQUATE_RAW_SUPPORT,CENTRAL_WITH_B95_CROSSCHECK
0.05,Step2j BDT-KF,0.050003148565041483,2825,31017.099469026547,60.081249081929897,20654.387304210377,0.0029088855649415653,0.41805439619514173,0.41785196272123759,0.41142711582021235,ADEQUATE_RAW_SUPPORT,CENTRAL_WITH_B95_CROSSCHECK
0.05,SPA-Net 2M primary checkpoint,0.050005116418192407,345,253980.59710144927,60.083613554542325,2522.3942017531258,0.023820072815257321,1.196326063359392,1.191623160582699,1.1400764168779705,FINITE_SUPPORT_CAUTION,CENTRAL_WITH_B95_CROSSCHECK
0.05,SPA-Net 10M primary checkpoint,0.050005116418192407,34,2577156.0588235296,60.083613554542325,248.58377640465585,0.24170368003716991,3.8108306845180175,3.6709814933937595,3.2096873945180873,LIMITED,CENTRAL_WITH_B95_CROSSCHECK
0.04,Step2j BDT-K,0.040000550998882257,324770,269.80110847676815,48.062634792931483,2374486.8547923556,2.0241272212532197e-05,0.031190525389855926,0.031190420168082256,0.031145430399364901,ADEQUATE_RAW_SUPPORT,CENTRAL_WITH_B95_CROSSCHECK
