production_row_index	source_uid	generated_events	broad_eligible_rows	assignment_matchable_rows	transport_class	output_sha256	status
29	9524da743bed17f1a164de40::background::10::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9706_10k_bundle.tar.gz	10000	738	0	uniform_member_constant	312840d6ede0b476432ceca593b04757997bd460f129c7c5736dbc40a32c9ce5	pass
30	b01df2690d845a4ec70c448d::background::5::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9701_10k_bundle.tar.gz	10000	746	0	uniform_member_constant	e7d790036a9d7648dd2c81ec3baec98de364fc845840974f62a44c276a48442f	pass
31	c3243743a4a6a550a9c5c805::background::12::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9708_10k_bundle.tar.gz	10000	802	0	signed_exact_event_sidecar	f64b7a8824b31c0394a165efbdc0f60a7bda5a3955920b98868955db1ea9819d	pass
32	d57b5a8ba73ef272a21399fc::background::9::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9705_10k_bundle.tar.gz	10000	780	0	uniform_member_constant	3ef8497d5a056e605fe345d763b8c93430bbbca48acc98f6d500243769e6bc20	pass
33	db851bd542564798669015d6::background::7::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9703_10k_bundle.tar.gz	10000	766	0	signed_exact_event_sidecar	0df6149dda93dacea6d9d99ae980e1f3a11b05be5e425b534f126fe3b4557989	pass
34	01311a969155f53d6624fd5f::background::186::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin05_pthat500to700_shard1868_seed1251868_bundle.tar.gz	2526	1372	0	qcd_uniform_constant	8f9b222396f1fea83783c1219c0b26c9bc7a12ae8d336fa9a5a76d3da3281780	pass
35	03b82368ee8a80a11d321612::background::218::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin03_pthat200to300_shard9820_seed1239820_bundle.tar.gz	4532	1548	0	qcd_uniform_constant	ddfded4b4a4dfc36fb7935fcdca25329fb77ab570b4ff918f5164b0f0b921858	pass
36	0bc14151d9ef1452b67c229a::background::180::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin02_pthat100to200_shard1861_seed1221861_bundle.tar.gz	10000	1427	0	qcd_uniform_constant	235d44feaf22a2745e31138e77dcb22997920a9e69787ea9e0e630a2fc172f9f	pass
37	0c8c993da718c671b9e4b916::background::168::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1846_seed1201846_bundle.tar.gz	10000	129	0	qcd_variable_frozen_fragment	28d99067f749186a17fa5945e01bdad46b1e958c2e0f94bb6b22735fe65c22c8	pass
38	0d6f9c8a8ab14ab9a78b6ebe::background::166::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1844_seed1201844_bundle.tar.gz	10000	99	0	qcd_variable_frozen_fragment	f14d65ecbd78bc7553948ac400bdea3afa158fac69134b18953d3d73f7b7504f	pass
39	0f7f19ccd5e2f87f8428be14::background::157::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1832_seed1201832_bundle.tar.gz	10000	121	0	qcd_variable_frozen_fragment	ae6d6d671a2aeb240efe61814b0477e7ad3c791e2699782d7add0d98609f60d7	pass
40	11a8cc9e20b8e73dae12f48e::background::124::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin02_pthat100to200_shard1154_seed1221154_bundle.tar.gz	10000	1429	0	qcd_uniform_constant	e8ace0c870bfbd9a420a9c44359018bbc45fdef02013a9cd1a48824ffe24dc03	pass
41	12dc47153628d80559949d78::background::193::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin00_pthat50to75_shard9777_seed1209777_bundle.tar.gz	10000	137	0	qcd_uniform_constant	d9a40ffc19e6c76edaf369aeebafb835eba533a6e8cc55c731a264c218935e7c	pass
42	1522977d1bcb654e1261fadb::background::53::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1060_seed1201060_bundle.tar.gz	10000	121	0	qcd_variable_frozen_fragment	546053c7ad0897e458e8fce12e365e672359c1b5fb96536dcf5af04c26cd4103	pass
43	15c7311d3a472c2c062f532b::background::190::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin00_pthat50to75_shard9774_seed1209774_bundle.tar.gz	10000	101	0	qcd_variable_frozen_fragment	b614bbeccc775601cca8f3334ee496e628512ea3dc9b45bdc4c49b1d86400138	pass
44	171e76cc08c666b63c11b59f::background::196::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin00_pthat50to75_shard9782_seed1209782_bundle.tar.gz	10000	106	0	qcd_variable_frozen_fragment	6e1a17856e6358807b43b3f90a72e58fa9bcee23f599fa9faba5b680fb0e1b40	pass
45	1862b489d3ce604c66545fff::background::173::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin01_pthat75to100_shard1852_seed1211852_bundle.tar.gz	10000	565	0	qcd_variable_frozen_fragment	83442ec0412e9fd082169972d8d7e7269a89ec6b80e13d81a05cbc7a3107b3d8	pass
46	1a9ab3befc2c5033bf19f2d6::background::74::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1092_seed1201092_bundle.tar.gz	10000	115	0	qcd_variable_frozen_fragment	4943675d5be075db27fcd0f3e62daaf296438189788476bc92a58bfd084fad30	pass
47	1b967c0b64f53b628384c424::background::108::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin01_pthat75to100_shard1136_seed1211136_bundle.tar.gz	10000	547	0	qcd_variable_frozen_fragment	feba79fe67a427eaa12789c71f37b590295ade9a9018f4b15a50a932d0042993	pass
48	1bee4336cb3685c3fab75c05::background::115::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin01_pthat75to100_shard1144_seed1211144_bundle.tar.gz	10000	581	0	qcd_variable_frozen_fragment	7e5ae7ddf08ad230a0051cf2c742454c736f7412faebcd147d8035fd650ad1fc	pass
49	1d33e21f26bc3e7ef5c9922d::background::69::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1085_seed1201085_bundle.tar.gz	10000	127	0	qcd_variable_frozen_fragment	cbb0613aee151c7a865193d9a7cc8a5bb7a2ace4b5588c79e654d3cf80c6f5d2	pass
50	1d994f7dbd40f70a18de22e1::background::148::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1821_seed1201821_bundle.tar.gz	10000	123	0	qcd_variable_frozen_fragment	4e0f1c61c1ffa8dfae12557fd625225a35201ca38f4377d73692bc2a143b74f8	pass
51	20b7e4a97c9e106a368d399f::background::66::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1080_seed1201080_bundle.tar.gz	10000	151	0	qcd_variable_frozen_fragment	af6bb42a81f161412b4157a3e03d725c46cd52c44c0bfdffb42101aec375026a	pass
52	220483008330cbda9bc0e2f1::background::210::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin01_pthat75to100_shard9810_seed1219810_bundle.tar.gz	10000	583	0	qcd_variable_frozen_fragment	23cf1e20441d35f2efa715f3482242a814d243ca90cbcf32b4975c8263895564	pass
53	224e8975cd1789c339195c41::background::98::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin01_pthat75to100_shard1123_seed1211123_bundle.tar.gz	10000	577	0	qcd_variable_frozen_fragment	dc02be3d43d57e9f3a6e13aa4d5527bcd216fc643abce5c74cf1caec08f60993	pass
54	22579e48074d70b05aab8079::background::189::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin00_pthat50to75_shard9773_seed1209773_bundle.tar.gz	10000	120	0	qcd_variable_frozen_fragment	4916f189307739fd42d5a296a5400b5149a2fb8e255bd4ad7e74bce08d9314b8	pass
55	24553efcd3b3e4cf989bee14::background::41::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1042_seed1201042_bundle.tar.gz	10000	122	0	qcd_variable_frozen_fragment	8d14511809a57832d1c3dc712ea5def65d916c699e1e76db9c09c84cb4f71ac2	pass
56	2496984764c38b86a50c444a::background::84::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1105_seed1201105_bundle.tar.gz	10000	142	0	qcd_uniform_constant	0a5fd6b1168b1460995ce738a88ae89541ecc704ccf0f136e6e69fc1fed8edb3	pass
57	256666d525d1d35b7272b519::background::216::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin02_pthat100to200_shard9818_seed1229818_bundle.tar.gz	1052	167	0	qcd_uniform_constant	d45962749081cb6edbd8230c54d397f82f994aae56a3289795bb5b18d38a9acc	pass
