sample_class	process_or_mode	campaign	source_type	representative_locator	representative_exists	representative_size_bytes	metadata_access_method	event_payload_opened	bundle_downloaded	bundle_content_indexed	status	diagnostic
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	eos_bundle	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin00_pthat50to75_shard9773_seed1209773_bundle.tar.gz	True	1604481039	xrdfs_stat_only	False	False	False	representative_bundle_stat_pass	none
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	eos_bundle	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_testfill_bin3_10k_20260717/qcd_hardqcd_importance_testfill_bin3_10k_20260717_bin03_pthat200to300_shard3909_seed1233909_bundle.tar.gz	True	1847704870	xrdfs_stat_only	False	False	False	representative_bundle_stat_pass	none
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	eos_bundle	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/schannel_single_top_run2_frozen_v2_single_top_pilot_shard4203_10kevt_bundle.tar.gz	True	780640923	xrdfs_stat_only	False	False	False	representative_bundle_stat_pass	none
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	eos_bundle	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/schannel_single_top_run2_frozen_v2_single_top_scaleout_shard4315_10kevt_bundle.tar.gz	True	779365500	xrdfs_stat_only	False	False	False	representative_bundle_stat_pass	none
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	eos_bundle	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/tchannel_antitop_run2_frozen_v2_single_top_pilot_shard4202_10kevt_bundle.tar.gz	True	781762307	xrdfs_stat_only	False	False	False	representative_bundle_stat_pass	none
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	eos_bundle	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/tchannel_antitop_run2_frozen_v2_single_top_scaleout_shard4308_10kevt_bundle.tar.gz	True	775673980	xrdfs_stat_only	False	False	False	representative_bundle_stat_pass	none
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	eos_bundle	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/tchannel_top_run2_frozen_v2_single_top_pilot_shard4201_10kevt_bundle.tar.gz	True	791506809	xrdfs_stat_only	False	False	False	representative_bundle_stat_pass	none
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	eos_bundle	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/tchannel_top_run2_frozen_v2_single_top_scaleout_shard4301_10kevt_bundle.tar.gz	True	790733540	xrdfs_stat_only	False	False	False	representative_bundle_stat_pass	none
background	ttbar_inclusive	parquet	local_candidate_reference	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard000_hh4b_candidates.parquet	True	12970	local_stat_only	False	False	False	legacy_local_reference_stat_pass	Legacy ttbar source requires original production artifact recovery; candidate file was not opened.
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	eos_bundle	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_pilots_20260720_retry1/ttbar_inclusive_run2_frozen_v2_unified5m_pilot_shard000_10k_bundle.tar.gz	True	903935916	xrdfs_stat_only	False	False	False	representative_bundle_stat_pass	none
