sample_class	process_or_mode	campaign	representative_locator	representative_size_bytes	source_type	content_index_required	event_payload_extraction_authorized	candidate_content_access_authorized	next_action
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/schannel_single_top_run2_frozen_v2_single_top_pilot_shard4203_10kevt_bundle.tar.gz	780640923	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/schannel_single_top_run2_frozen_v2_single_top_scaleout_shard4315_10kevt_bundle.tar.gz	779365500	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/tchannel_antitop_run2_frozen_v2_single_top_pilot_shard4202_10kevt_bundle.tar.gz	781762307	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/tchannel_antitop_run2_frozen_v2_single_top_scaleout_shard4308_10kevt_bundle.tar.gz	775673980	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/tchannel_top_run2_frozen_v2_single_top_pilot_shard4201_10kevt_bundle.tar.gz	791506809	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/tchannel_top_run2_frozen_v2_single_top_scaleout_shard4301_10kevt_bundle.tar.gz	790733540	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	ttbar_inclusive	parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard000_hh4b_candidates.parquet	12970	local_candidate_reference	True	False	False	recover_original_legacy_ttbar_generation_directory
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_pilots_20260720_retry1/ttbar_inclusive_run2_frozen_v2_unified5m_pilot_shard000_10k_bundle.tar.gz	903935916	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard001_10k_bundle.tar.gz	909282663	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_pilots10k_20260721_v1/tth_hbb_run2_frozen_v2_waveb_pilot_shard1001_10000evt_bundle.tar.gz	1012172139	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_scale400k_20260721_v1/tth_hbb_run2_frozen_v2_waveb_scale400k_shard2006_10000evt_bundle.tar.gz	1012173681	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_pilots10k_20260721_v1/tttt_run2_frozen_v2_waveb_pilot_shard1003_10000evt_bundle.tar.gz	1164973491	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_scale400k_20260721_v1/tttt_run2_frozen_v2_waveb_scale400k_shard2201_10000evt_bundle.tar.gz	1165198481	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_pilot40k_20260721_v1/ttw_run2_frozen_v2_wavec1_pilot_shard3202_10kevt_bundle.tar.gz	900359881	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_scaleout180k_20260721_v2/ttw_run2_frozen_v2_wavec1_scaleout_shard3401_10kevt_bundle.tar.gz	896621135	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_pilots10k_20260721_v1/ttz_zbb_run2_frozen_v2_waveb_pilot_shard1002_10000evt_bundle.tar.gz	995033631	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	ttz_zbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_scale400k_20260721_v1/ttz_zbb_run2_frozen_v2_waveb_scale400k_shard2103_10000evt_bundle.tar.gz	998430208	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	tw_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/tw_antitop_run2_frozen_v2_single_top_pilot_shard4205_10kevt_bundle.tar.gz	848633845	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	tw_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/tw_antitop_run2_frozen_v2_single_top_scaleout_shard4323_10kevt_bundle.tar.gz	852990950	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	tw_top	unified_background_5m_single_top_pilot50k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/tw_top_run2_frozen_v2_single_top_pilot_shard4204_10kevt_bundle.tar.gz	847823885	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	tw_top	unified_background_5m_single_top_scaleout280k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/tw_top_run2_frozen_v2_single_top_scaleout_shard4317_10kevt_bundle.tar.gz	843393738	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	vbf_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_pilots10k_20260721_v1/vbf_hbb_run2_frozen_v2_waveb_pilot_shard1004_10000evt_bundle.tar.gz	791038433	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	vbf_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_scale400k_20260721_v1/vbf_hbb_run2_frozen_v2_waveb_scale400k_shard2302_10000evt_bundle.tar.gz	794296132	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	wh_hbb	unified_background_5m_wavec1_pilot40k_20260721_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_pilot40k_20260721_v1/wh_hbb_run2_frozen_v2_wavec1_pilot_shard3201_10kevt_bundle.tar.gz	773016067	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	wh_hbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_scaleout180k_20260721_v2/wh_hbb_run2_frozen_v2_wavec1_scaleout_shard3301_10kevt_bundle.tar.gz	772629511	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	ww	unified_background_5m_wavec1_pilot40k_20260721_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_pilot40k_20260721_v1/ww_run2_frozen_v2_wavec1_pilot_shard3204_10kevt_bundle.tar.gz	719774097	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	ww	unified_background_5m_wavec1_scaleout180k_20260721_v2	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_scaleout180k_20260721_v2/ww_run2_frozen_v2_wavec1_scaleout_shard3601_10kevt_bundle.tar.gz	721126187	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	wwz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_pilot10k_20260722_v1/wwz_zbb_run2_frozen_v2_pilot_validation_shard9601_5200_bundle.tar.gz	474353085	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wwz_zbb_run2_frozen_v2_train_shard9901_5200_bundle.tar.gz	472106981	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	wz_zbb	unified_background_5m_wavec1_pilot40k_20260721_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_pilot40k_20260721_v1/wz_zbb_run2_frozen_v2_wavec1_pilot_shard3203_10kevt_bundle.tar.gz	754415624	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	wz_zbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_scaleout180k_20260721_v2/wz_zbb_run2_frozen_v2_wavec1_scaleout_shard3501_10kevt_bundle.tar.gz	760265475	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	wzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_pilot10k_20260722_v1/wzz_zbb_run2_frozen_v2_pilot_validation_shard9602_3300_bundle.tar.gz	291219832	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wzz_zbb_run2_frozen_v2_train_shard9911_3300_bundle.tar.gz	291764214	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	zbbbb	unified_background_5m_wavea_pilots_20260720_retry1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_pilots_20260720_retry1/zbbbb_run2_frozen_v2_unified5m_pilot_shard000_10k_bundle.tar.gz	846981639	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	zbbbb	unified_background_5m_wavea_proven111_20260720_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/zbbbb_run2_frozen_v2_unified5m_wavea_shard001_10k_bundle.tar.gz	850787671	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	zbbbb	unified_background_5m_wavea_zbbbb_remaining15_20260721_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_zbbbb_remaining15_20260721_v1/zbbbb_run2_frozen_v2_unified5m_wavea_shard010_10k_bundle.tar.gz	854468021	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	zzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_pilot10k_20260722_v1/zzz_zbb_run2_frozen_v2_pilot_validation_shard9603_1500_bundle.tar.gz	130964009	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	zzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/zzz_zbb_run2_frozen_v2_train_shard9921_1500_bundle.tar.gz	131197947	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard000_seed86000_bundle.tar.gz	185192232	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
signal	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard020_seed86020_bundle.tar.gz	185982525	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/vbf_hh4b_sm_pilot10k_20260722_v1/vbf_hh4b_sm_run2_frozen_v2_pilot_shard9301_10k_bundle.tar.gz	880212701	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
signal	vbf_hh4b	vbf_hh4b_sm_scaleout90k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/vbf_hh4b_sm_scaleout90k_20260722_v1/vbf_hh4b_sm_run2_frozen_v2_train_shard9401_10k_bundle.tar.gz	879313063	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
