sample_class	process_or_mode	campaign	required_artifact_types	located_artifact_types	unresolved_artifact_types	located_required_count	required_count	sidecar_provenance_complete	physics_normalization_ready	status
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version,importance_sampling_record,stitching_definition	importance_sampling_record	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version,stitching_definition	1	10	False	False	representative_bundle_content_index_required
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version,importance_sampling_record,stitching_definition	importance_sampling_record	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version,stitching_definition	1	10	False	False	representative_bundle_content_index_required
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	generator_stdout_or_summary	generator_banner_or_lhe_init,proc_card,run_card,param_card,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	1	8	False	False	representative_bundle_content_index_required
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	generator_stdout_or_summary	generator_banner_or_lhe_init,proc_card,run_card,param_card,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	1	8	False	False	representative_bundle_content_index_required
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	generator_stdout_or_summary	generator_banner_or_lhe_init,proc_card,run_card,param_card,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	1	8	False	False	representative_bundle_content_index_required
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	generator_stdout_or_summary	generator_banner_or_lhe_init,proc_card,run_card,param_card,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	1	8	False	False	representative_bundle_content_index_required
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	generator_stdout_or_summary	generator_banner_or_lhe_init,proc_card,run_card,param_card,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	1	8	False	False	representative_bundle_content_index_required
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	generator_stdout_or_summary	generator_banner_or_lhe_init,proc_card,run_card,param_card,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	1	8	False	False	representative_bundle_content_index_required
background	ttbar_inclusive	parquet	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version		generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	0	8	False	False	representative_bundle_content_index_required
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version		generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	0	8	False	False	representative_bundle_content_index_required
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version		generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	0	8	False	False	representative_bundle_content_index_required
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version		generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	0	8	False	False	representative_bundle_content_index_required
background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version		generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	0	8	False	False	representative_bundle_content_index_required
background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version		generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	0	8	False	False	representative_bundle_content_index_required
background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version		generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	0	8	False	False	representative_bundle_content_index_required
background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version		generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	0	8	False	False	representative_bundle_content_index_required
background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version		generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	0	8	False	False	representative_bundle_content_index_required
background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version		generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	0	8	False	False	representative_bundle_content_index_required
background	ttz_zbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version		generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	0	8	False	False	representative_bundle_content_index_required
background	tw_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	generator_stdout_or_summary	generator_banner_or_lhe_init,proc_card,run_card,param_card,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	1	8	False	False	representative_bundle_content_index_required
background	tw_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	generator_stdout_or_summary	generator_banner_or_lhe_init,proc_card,run_card,param_card,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	1	8	False	False	representative_bundle_content_index_required
background	tw_top	unified_background_5m_single_top_pilot50k_20260722_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	generator_stdout_or_summary	generator_banner_or_lhe_init,proc_card,run_card,param_card,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	1	8	False	False	representative_bundle_content_index_required
background	tw_top	unified_background_5m_single_top_scaleout280k_20260722_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	generator_stdout_or_summary	generator_banner_or_lhe_init,proc_card,run_card,param_card,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	1	8	False	False	representative_bundle_content_index_required
background	vbf_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version		generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	0	8	False	False	representative_bundle_content_index_required
background	vbf_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version		generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	0	8	False	False	representative_bundle_content_index_required
background	wh_hbb	unified_background_5m_wavec1_pilot40k_20260721_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version		generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	0	8	False	False	representative_bundle_content_index_required
background	wh_hbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version		generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	0	8	False	False	representative_bundle_content_index_required
background	ww	unified_background_5m_wavec1_pilot40k_20260721_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version		generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	0	8	False	False	representative_bundle_content_index_required
background	ww	unified_background_5m_wavec1_scaleout180k_20260721_v2	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version		generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	0	8	False	False	representative_bundle_content_index_required
background	wwz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version		generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	0	8	False	False	representative_bundle_content_index_required
background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version		generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	0	8	False	False	representative_bundle_content_index_required
background	wz_zbb	unified_background_5m_wavec1_pilot40k_20260721_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version		generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	0	8	False	False	representative_bundle_content_index_required
background	wz_zbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version		generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	0	8	False	False	representative_bundle_content_index_required
background	wzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version		generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	0	8	False	False	representative_bundle_content_index_required
background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version		generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	0	8	False	False	representative_bundle_content_index_required
background	zbbbb	unified_background_5m_wavea_pilots_20260720_retry1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version		generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	0	8	False	False	representative_bundle_content_index_required
background	zbbbb	unified_background_5m_wavea_proven111_20260720_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version		generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	0	8	False	False	representative_bundle_content_index_required
background	zbbbb	unified_background_5m_wavea_zbbbb_remaining15_20260721_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version		generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	0	8	False	False	representative_bundle_content_index_required
background	zzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version		generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	0	8	False	False	representative_bundle_content_index_required
background	zzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version		generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	0	8	False	False	representative_bundle_content_index_required
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version		generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	0	8	False	False	representative_bundle_content_index_required
signal	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version		generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	0	8	False	False	representative_bundle_content_index_required
signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	generator_stdout_or_summary	generator_banner_or_lhe_init,proc_card,run_card,param_card,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	1	8	False	False	representative_bundle_content_index_required
signal	vbf_hh4b	vbf_hh4b_sm_scaleout90k_20260722_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version		generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	0	8	False	False	representative_bundle_content_index_required
