sample_class	process_or_mode	campaign	search_root	artifact_path	bytes	artifact_types	event_payload	content_opened
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/bbh_hbb_4fs_scaleout40k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/bbh_hbb_4fs_scaleout40k_20260722_v1/receipts/bbh_hbb_4fs_84919108_3_receipt.json	1861	manifest_or_submission_record	False	False
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/bbh_hbb_4fs_scaleout40k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/bbh_hbb_4fs_scaleout40k_20260722_v1/receipts/bbh_hbb_4fs_84919108_1_receipt.json	1861	manifest_or_submission_record	False	False
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/ggh_hbb_pilot10k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/ggh_hbb_pilot10k_20260722_v1/ggh_hbb_pilot10k_20260722_v1.sub	1841		False	False
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/ggh_hbb_pilot10k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/ggh_hbb_pilot10k_20260722_v1/ggh_hbb_pilot10k_20260722_v1_dryrun.classads	2983		False	False
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/ggh_hbb_pilot10k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/ggh_hbb_pilot10k_20260722_v1/ggh_hbb_pilot10k_20260722_v1_dryrun.log	166		False	False
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/ggh_hbb_pilot10k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/ggh_hbb_pilot10k_20260722_v1/ggh_hbb_pilot10k_20260722_v1_authorization.json	1194	manifest_or_submission_record	False	False
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/ggh_hbb_pilot10k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/ggh_hbb_pilot10k_20260722_v1/receipts/ggh_hbb_3615067_0_receipt.json	1833	manifest_or_submission_record	False	False
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/ggh_hbb_scaleout90k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_scaleout90k_20260722_v1_queue.tsv	708		False	False
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/ggh_hbb_scaleout90k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_scaleout90k_20260722_v1.sub	2178		False	False
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/ggh_hbb_scaleout90k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_scaleout90k_20260722_v1_dryrun.classads	9224		False	False
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/ggh_hbb_scaleout90k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/ggh_hbb_scaleout90k_20260722_v1/receipts/ggh_hbb_84919107_3_receipt.json	1837	manifest_or_submission_record	False	False
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/ggh_hbb_scaleout90k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/ggh_hbb_scaleout90k_20260722_v1/receipts/ggh_hbb_84919107_1_receipt.json	1837	manifest_or_submission_record	False	False
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/ggh_hbb_scaleout90k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/ggh_hbb_scaleout90k_20260722_v1/receipts/ggh_hbb_84919107_2_receipt.json	1837	manifest_or_submission_record	False	False
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/ggh_hbb_scaleout90k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/ggh_hbb_scaleout90k_20260722_v1/receipts/ggh_hbb_84919107_8_receipt.json	1857	manifest_or_submission_record	False	False
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/ggh_hbb_scaleout90k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/ggh_hbb_scaleout90k_20260722_v1/receipts/ggh_hbb_84919107_0_receipt.json	1837	manifest_or_submission_record	False	False
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/ggh_hbb_scaleout90k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/ggh_hbb_scaleout90k_20260722_v1/receipts/ggh_hbb_84919107_4_receipt.json	1837	manifest_or_submission_record	False	False
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/ggh_hbb_scaleout90k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/ggh_hbb_scaleout90k_20260722_v1/receipts/ggh_hbb_84919107_7_receipt.json	1836	manifest_or_submission_record	False	False
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/ggh_hbb_scaleout90k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/ggh_hbb_scaleout90k_20260722_v1/receipts/ggh_hbb_84919107_6_receipt.json	1837	manifest_or_submission_record	False	False
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/ggh_hbb_scaleout90k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/ggh_hbb_scaleout90k_20260722_v1/receipts/ggh_hbb_84919107_5_receipt.json	1836	manifest_or_submission_record	False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1/qcd_bbbb_general_inputs.tar.gz	28125449	bundle_archive	False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1/unified_background_5m_wavea_pilots_20260720_retry1_qcd_bbbb_general.sub	1891		False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1/unified_background_5m_wavea_pilots_20260720_retry1_qcd_bbbb_general_dryrun.txt	3104		False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1/qcd_bbbb_iht400to600_inputs.tar.gz	28125498	bundle_archive	False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1/unified_background_5m_wavea_pilots_20260720_retry1_qcd_bbbb_iht400to600.sub	1931		False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1/unified_background_5m_wavea_pilots_20260720_retry1_qcd_bbbb_iht400to600_dryrun.txt	3148		False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1/ttbar_inclusive_inputs.tar.gz	15340716	bundle_archive	False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1/unified_background_5m_wavea_pilots_20260720_retry1_ttbar_inclusive.sub	1892		False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1/unified_background_5m_wavea_pilots_20260720_retry1_ttbar_inclusive_dryrun.txt	3104		False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1/zbbbb_inputs.tar.gz	17119288	bundle_archive	False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1/unified_background_5m_wavea_pilots_20260720_retry1_zbbbb.sub	1793		False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1/unified_background_5m_wavea_pilots_20260720_retry1_zbbbb_dryrun.txt	2995		False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1/zz4b_forced_inputs.tar.gz	16460587	bundle_archive	False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1/unified_background_5m_wavea_pilots_20260720_retry1_zz4b_forced.sub	1869		False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1/unified_background_5m_wavea_pilots_20260720_retry1_zz4b_forced_dryrun.txt	3077		False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1/zh4b_forced_inputs.tar.gz	16616042	bundle_archive	False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1/unified_background_5m_wavea_pilots_20260720_retry1_zh4b_forced.sub	1869		False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1/unified_background_5m_wavea_pilots_20260720_retry1_zh4b_forced_dryrun.txt	3077		False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1/unified_background_5m_wavea_pilots_20260720_retry1_manifest.csv	5955	manifest_or_submission_record	False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1/submit_commands.sh	1150		False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/unified_background_5m_wavea_pilots_20260720_retry1/preparation_summary.json	1029		False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/unified_background_5m_wavea_pilots_20260720_retry1/receipts/ttbar_inclusive_59843299_receipt.json	1909	manifest_or_submission_record	False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/unified_background_5m_wavea_pilots_20260720_retry1/receipts/zz4b_forced_3600462_receipt.json	1413	manifest_or_submission_record	False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/unified_background_5m_wavea_pilots_20260720_retry1/receipts/zh4b_forced_3600461_receipt.json	1413	manifest_or_submission_record	False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/unified_background_5m_wavea_pilots_20260720_retry1/receipts/zbbbb_3600460_receipt.json	1870	manifest_or_submission_record	False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/unified_background_5m_wavea_pilots_20260720_retry1/receipts/qcd_bbbb_iht400to600_3600459_receipt.json	1919	manifest_or_submission_record	False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/unified_background_5m_wavea_pilots_20260720_retry1/receipts/qcd_bbbb_general_3600458_receipt.json	1903	manifest_or_submission_record	False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/unified_background_5m_wavea_pilots_20260720_retry1/preparation.log	4605		False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/unified_background_5m_wavea_pilots_20260720_retry1/ttbar_canary_submission.log	178	manifest_or_submission_record	False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/unified_background_5m_wavea_pilots_20260720_retry1/unified_5m_plan_snapshot.txt	1010		False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/unified_background_5m_wavea_pilots_20260720_retry1/signal_artifact_discovery.txt	178237		False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/unified_background_5m_wavea_pilots_20260720_retry1/monitor_ttbar_canary_59843299.sh	4753		False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/unified_background_5m_wavea_pilots_20260720_retry1/monitor_ttbar_canary_59843299.log	862		False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/unified_background_5m_wavea_pilots_20260720_retry1/remaining_five_submissions.txt	2638	manifest_or_submission_record	False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/unified_background_5m_wavea_pilots_20260720_retry1/monitor_remaining_five.sh	2069		False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/unified_background_5m_wavea_pilots_20260720_retry1/monitor_remaining_five.log	1338		False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/unified_background_5m_wavea_pilots_20260720_retry1/monitor_remaining_five_schedd4.sh	3739		False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/unified_background_5m_wavea_pilots_20260720_retry1/monitor_remaining_five_schedd4.log	1428		False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/unified_background_5m_wavea_pilots_20260720_retry1/monitor_remaining_five_simple.sh	2771		False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/unified_background_5m_wavea_pilots_20260720_retry1/monitor_remaining_five_simple.log	1448		False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/unified_background_5m_wavea_pilots_20260720_retry1/show_pilot_status.sh	2246		False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/unified_background_5m_wavea_pilots_20260720_retry1/focused_signal_inventory/signal_inventory.txt	861		False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/unified_background_5m_wavea_pilots_20260720_retry1/focused_signal_content_audit/parquet_sha256.txt	752	manifest_or_submission_record	False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/unified_background_5m_wavea_pilots_20260720_retry1/focused_signal_content_audit/signal_parquet_audit.json	1856		False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/unified_background_5m_wavea_pilots_20260720_retry1	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/unified_background_5m_wavea_pilots_20260720_retry1/focused_signal_content_audit/ggf_event_population_comparison.json	1738		False	False
