member_index	sample_class	stratum	candidate_rows	fold	weight_eligibility	candidate_bearing_members_in_stratum	hierarchical_stratum_fraction	hierarchical_member_fraction	per_row_raw_weight	per_row_training_weight	aggregate_raw_weight	aggregate_training_weight	status
104	signal	vbf_hh4b	645	2	candidate_bearing_member	8	0.25	0.03125	4.8449612403100775e-05	2.777422480620155	0.03125	1791.4375	pass
105	signal	vbf_hh4b	639	0	candidate_bearing_member	8	0.25	0.03125	4.890453834115806e-05	2.803501564945227	0.03125	1791.4375	pass
106	signal	vbf_hh4b	617	1	candidate_bearing_member	8	0.25	0.03125	5.06482982171799e-05	2.903464343598055	0.03125	1791.4375	pass
108	background	single_higgs	344	1	candidate_bearing_member	21	0.0625	0.002976190476190476	8.65171650055371e-06	0.495968300110742	0.002976190476190476	170.61309523809524	pass
109	background	single_higgs	334	2	candidate_bearing_member	21	0.0625	0.002976190476190476	8.910749928714e-06	0.5108176504134588	0.002976190476190476	170.61309523809524	pass
110	background	single_higgs	334	0	candidate_bearing_member	21	0.0625	0.002976190476190476	8.910749928714e-06	0.5108176504134588	0.002976190476190476	170.61309523809524	pass
111	background	single_higgs	359	4	candidate_bearing_member	21	0.0625	0.002976190476190476	8.290224167661493e-06	0.4752453906353628	0.002976190476190476	170.61309523809524	pass
113	background	single_higgs	7	3	candidate_bearing_member	21	0.0625	0.002976190476190476	0.00042517006802721087	24.37329931972789	0.002976190476190476	170.61309523809524	pass
114	background	single_higgs	1	3	candidate_bearing_member	21	0.0625	0.002976190476190476	0.002976190476190476	170.61309523809524	0.002976190476190476	170.61309523809524	pass
115	background	single_higgs	7	3	candidate_bearing_member	21	0.0625	0.002976190476190476	0.00042517006802721087	24.37329931972789	0.002976190476190476	170.61309523809524	pass
116	background	single_higgs	6	3	candidate_bearing_member	21	0.0625	0.002976190476190476	0.000496031746031746	28.435515873015873	0.002976190476190476	170.61309523809524	pass
117	background	single_higgs	3	3	candidate_bearing_member	21	0.0625	0.002976190476190476	0.000992063492063492	56.87103174603175	0.002976190476190476	170.61309523809524	pass
118	background	single_higgs	6	3	candidate_bearing_member	21	0.0625	0.002976190476190476	0.000496031746031746	28.435515873015873	0.002976190476190476	170.61309523809524	pass
119	background	single_higgs	2	3	candidate_bearing_member	21	0.0625	0.002976190476190476	0.001488095238095238	85.30654761904762	0.002976190476190476	170.61309523809524	pass
120	background	single_higgs	6	3	candidate_bearing_member	21	0.0625	0.002976190476190476	0.000496031746031746	28.435515873015873	0.002976190476190476	170.61309523809524	pass
123	background	qcd_multijet	0	4	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
124	background	qcd_multijet	0	3	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
125	background	qcd_multijet	0	4	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
126	background	qcd_multijet	0	3	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
127	background	qcd_multijet	0	4	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
