seed,working_point,qcd_threshold,top_threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB,n_signal_test_rows,n_background_test_rows,neff_signal,neff_background
15,v2_loose_best_sqrtB,0.8,0.5,82.26571098486522,233017.67358022011,0.0003530449417028615,0.17042151606764974,0.0035304494170286145,134,215,63.46811017220605,115.01185761242397
15,v2_nominal_balanced,0.825,0.525,71.5778033683164,173185.4755839311,0.00041330142222941526,0.1719976974618631,0.004133014222294153,114,156,55.06443106606865,82.45433772062485
15,v2_multiseed_median_best,0.825,0.55,68.79867323133008,168336.86788730026,0.0004086964079514065,0.16768354308478572,0.004086964079514064,112,153,53.07436112057797,80.89629349383644
15,v2_tighter_qcd,0.85,0.55,57.01687812693328,134283.9299752799,0.0004245994151156391,0.15559348670306075,0.004245994151156391,95,114,44.119027806429635,62.48354835224422
15,v2_higher_purity,0.875,0.75,21.8193316040654,42286.51704867467,0.0005159879112046485,0.10610613242533759,0.005159879112046484,46,40,17.49834728491476,21.996781125224036
16,v2_single_seed_best,0.7,0.5,125.1251128606034,455921.7630949799,0.00027444426432114997,0.1853101981735737,0.0027444426432114994,188,436,99.49543918738647,210.04689731312496
16,v2_single_seed_next,0.725,0.5,120.58405061825587,386895.567462643,0.00031167079894214335,0.19386213502350494,0.0031167079894214335,178,362,95.67931608170382,170.1023695636009
16,v2_loose_mid,0.775,0.5,105.1351689374587,273858.9058676541,0.0003839026837720102,0.20090214910227833,0.0038390268377201013,157,254,83.53765130337099,108.21540171576504
16,v2_loose_best_sqrtB,0.8,0.5,93.84383464545256,230814.59648996923,0.000406576690003792,0.19533232110281,0.004065766900037919,141,207,74.62157939053989,85.05028160783782
16,v2_nominal_balanced,0.825,0.525,76.6767242953094,158769.76816967654,0.00048294284975818145,0.192433042228457,0.0048294284975818145,114,156,60.89285107001214,75.68792680453868
16,v2_multiseed_median_best,0.825,0.55,75.26530750880863,155903.194635044,0.00048276950119590723,0.1906195031033921,0.0048276950119590725,112,152,59.778330456999335,73.78469105085688
16,v2_tighter_qcd,0.85,0.55,65.6154989154371,112370.57653394598,0.0005839206395422857,0.195740246476263,0.005839206395422857,101,104,52.331985255578154,50.123955512167385
16,v2_higher_purity,0.875,0.75,31.664793068707336,40491.603892985186,0.0007820088616986837,0.15735993385733293,0.007820088616986838,52,37,25.468471261951123,18.616451590931423
17,v2_single_seed_best,0.7,0.5,126.96941060539352,484886.16246367194,0.00026185406067327435,0.18233884870842693,0.0026185406067327434,192,458,101.92633845532721,197.56099271860433
17,v2_single_seed_next,0.725,0.5,121.59962991744635,438196.2838290898,0.00027750036776869155,0.1836952422427651,0.002775003677686915,187,404,97.82188736460061,171.66721471727166
17,v2_loose_mid,0.775,0.5,97.86919651898735,322183.7358585145,0.0003037682714125773,0.17242261061447425,0.003037682714125773,154,283,78.9637912738876,112.36684557399381
17,v2_loose_best_sqrtB,0.8,0.5,89.15704833516786,264733.5895126554,0.0003367802646399949,0.17328108475202553,0.0033678026463999484,138,228,71.78224872747839,84.2822762419379
17,v2_nominal_balanced,0.825,0.525,73.36526058888279,198759.70164895713,0.00036911536886112913,0.16456076453352522,0.0036911536886112917,111,162,58.8987957310498,56.30642904110989
17,v2_multiseed_median_best,0.825,0.55,70.56434486516237,197857.30391711358,0.0003566426079207225,0.15863874677684753,0.0035664260792072243,107,158,56.66586096801833,55.83089386220373
17,v2_tighter_qcd,0.85,0.55,57.80552360209137,135239.33101095594,0.00042743130397035505,0.15718743693416165,0.00427431303970355,87,118,46.3769706315392,42.39604567699642
17,v2_higher_purity,0.875,0.75,25.59499277930655,38043.03326512864,0.0006727905369934756,0.13122526028297213,0.006727905369934756,41,41,20.699255533347387,20.532443292547782
18,v2_single_seed_best,0.7,0.5,122.1493884793416,500938.58356255357,0.00024384104656232467,0.17258341381416298,0.0024384104656232464,193,501,93.87512541190922,280.72336371975763
18,v2_single_seed_next,0.725,0.5,106.2728175646266,423197.56662864995,0.0002511186876882011,0.16336183912945101,0.0025111868768820105,174,423,82.04441717536385,232.693709020219
18,v2_loose_mid,0.775,0.5,86.80400316615112,284618.8728287509,0.00030498330031114714,0.16270762540776026,0.0030498330031114708,142,282,67.00658426684906,150.08952365313357
18,v2_loose_best_sqrtB,0.8,0.5,77.72741880357933,229054.08682968316,0.0003393408948925447,0.16240717919628495,0.003393408948925447,126,224,59.9296797089432,116.34239436410091
18,v2_nominal_balanced,0.825,0.525,65.79778490885992,164332.8792566593,0.0004003933066011413,0.1623114064589704,0.004003933066011413,107,160,50.752329309121386,81.86740195561501
18,v2_multiseed_median_best,0.825,0.55,64.33430044520549,154222.704082842,0.0004171519415886248,0.16382056751660762,0.004171519415886248,105,153,49.64671615332974,78.90347352820152
18,v2_tighter_qcd,0.85,0.55,55.1098772923111,105860.87101576284,0.0005205877938044281,0.16937983775065135,0.0052058779380442805,87,98,42.3488651796157,48.82679978559356
18,v2_higher_purity,0.875,0.75,23.061057882235968,38032.85587417138,0.0006063456806538959,0.1182496208797443,0.006063456806538958,45,31,18.25821825439317,16.859553313104698
19,v2_single_seed_best,0.7,0.5,134.53232452337136,449654.5258079266,0.0002991904157567356,0.20062597565337234,0.002991904157567356,190,446,102.5026352275658,251.83781378426164
19,v2_single_seed_next,0.725,0.5,124.47848915807877,385925.9557937323,0.0003225450045257111,0.20037443661516857,0.0032254500452571105,178,383,94.97367322597108,214.97113545521236
19,v2_loose_mid,0.775,0.5,105.60562996319472,276865.9846371432,0.0003814323023523457,0.20070226351048268,0.003814323023523457,153,266,80.69315604819836,144.20711615726717
19,v2_loose_best_sqrtB,0.8,0.5,93.79745241442768,222558.6462335332,0.0004214504985620959,0.19882400027138325,0.004214504985620958,135,212,71.61708497528195,115.99563899777968
19,v2_nominal_balanced,0.825,0.525,79.14855847442031,167378.73898891517,0.00047287104056663976,0.19346074848699585,0.004728710405666398,114,161,60.437240077180476,84.71734387948283
19,v2_multiseed_median_best,0.825,0.55,74.850374555576,152789.80973418415,0.0004898911431711108,0.19149030147194648,0.004898911431711108,109,154,57.22654972164974,81.5010274441125
19,v2_tighter_qcd,0.85,0.55,57.80607620813396,100855.38381279686,0.0005731580608074522,0.18202202762946537,0.005731580608074522,91,104,44.60852590389266,48.66022447980842
19,v2_higher_purity,0.875,0.75,28.80516298398969,24582.23436516806,0.0011717878267731973,0.18372136330012637,0.011717878267731973,53,30,22.706741464272675,14.418852438619593
20,v2_single_seed_best,0.7,0.5,106.23389467315948,435888.7448468517,0.00024371791180450065,0.1609071253009067,0.0024371791180450063,165,432,86.68669534693689,211.90163013276458
